--- ABOUT ---
"Kewal Kiran Clothing Limited was incorporated in 1992. The Company is engaged in manufacturing, marketing and retailing of branded readymade garments and finished accessories. The company has consumers in Asia, Middle East and CIS (Commonwealth of Independent States). Its registered office is in Mumbai. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,041",494,595,21.4

Book Value,Dividend Yield,ROCE,ROE
152,0.81,18.1,16.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,199,178,262,200,219,151,308,255,288,234,354,301,324
Expenses +,160,144,201,161,177,124,244,208,236,192,283,238,262
Operating Profit,39,34,62,39,42,28,64,47,52,42,71,63,62
OPM %,20%,19%,24%,19%,19%,18%,21%,18%,18%,18%,20%,21%,19%
Other Income +,8,11,8,9,9,11,34,2,3,14,7,3,-0
Interest,2,2,1,1,1,1,3,3,4,4,4,4,3
Depreciation,2,2,3,3,3,3,9,10,10,11,11,11,12
Profit before tax,42,41,66,44,48,35,86,36,41,41,63,51,47
Tax %,26%,18%,25%,25%,21%,28%,22%,27%,26%,22%,25%,26%,27%
Net Profit +,31,34,50,33,38,25,68,26,30,32,47,38,35
EPS in Rs,5.11,5.47,8.06,5.39,6.14,4.09,10.63,3.99,4.73,5.08,7.28,5.54,5.03
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,87,444,466,460,503,530,303,608,779,860,"1,003","1,213"
Expenses +,68,340,368,362,391,435,284,508,628,683,812,975
Operating Profit,20,104,99,98,112,95,19,100,152,177,191,238
OPM %,23%,23%,21%,21%,22%,18%,6%,16%,19%,21%,19%,20%
Other Income +,1,7,17,21,22,18,17,17,20,37,49,24
Interest,1,3,3,5,7,9,7,5,6,4,10,14
Depreciation,2,4,5,6,8,8,7,7,9,10,32,44
Profit before tax,18,104,108,108,119,96,23,105,157,199,198,203
Tax %,34%,34%,31%,33%,33%,24%,12%,22%,24%,23%,24%,25%
Net Profit +,12,68,75,73,80,73,20,82,119,154,149,152
EPS in Rs,,11.03,12.10,11.88,13.03,11.86,3.21,13.25,19.31,25.00,23.44,23.03
Dividend Payout %,12%,109%,31%,56%,52%,73%,143%,143%,26%,8%,9%,9%

--- BALANCE SHEET ---
,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,12,12,12,12,12,12,62,62,62,62,62
Reserves,28,286,362,387,418,434,421,416,485,614,758,877
Borrowings +,16,29,41,48,93,88,50,82,66,20,164,128
Other Liabilities +,493,96,98,109,122,102,100,183,204,142,442,430
Total Liabilities,546,424,513,556,645,636,582,743,817,837,"1,426","1,497"
Fixed Assets +,18,60,65,70,82,83,82,86,109,117,486,486
CWIP,8,3,7,9,2,3,1,1,1,0,0,11
Investments,2,160,205,230,235,195,131,140,152,177,174,165
Other Assets +,518,202,236,248,325,356,368,516,554,543,766,834
Total Assets,546,424,513,556,645,636,582,743,817,837,"1,426","1,497"

--- CASH FLOW ---
,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-4,47,80,56,-0,51,97,57,75,136,14,183
Cash from Investing Activity +,-12,10,-9,-14,3,46,62,-2,-18,-10,-184,-28
Cash from Financing Activity +,496,-79,-27,-46,-11,-70,-85,-32,-52,-66,-20,-51
Net Cash Flow,480,-22,43,-4,-8,26,74,23,5,59,-191,104
Free Cash Flow,-18,36,66,47,-12,40,94,48,51,126,-70,166
CFO/OP,10%,76%,111%,88%,34%,78%,532%,80%,72%,99%,25%,96%

--- RATIOS ---
,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,55,90,83,96,129,118,158,103,80,86,114,97
Inventory Days,179,156,128,146,262,267,168,376,493,123,548,161
Days Payable,93,131,99,120,141,148,122,178,143,65,264,57
Cash Conversion Cycle,142,114,112,121,250,237,205,301,430,144,398,201
Working Capital Days,"-1,933",75,51,62,111,122,60,25,48,70,84,147
ROCE %,,,30%,26%,26%,20%,6%,19%,26%,31%,18%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.26%,74.26%,74.26%,74.26%,74.26%,74.26%,74.26%,74.28%,74.28%,74.28%,74.28%,74.29%
FIIs +,2.62%,2.60%,2.53%,2.10%,2.80%,2.81%,2.05%,2.39%,2.62%,2.37%,2.33%,2.32%
DIIs +,6.53%,7.99%,8.61%,8.85%,6.91%,6.83%,7.20%,7.76%,8.50%,8.65%,8.83%,8.60%
Public +,16.58%,15.14%,14.59%,14.80%,16.03%,16.10%,16.48%,15.59%,14.60%,14.71%,14.57%,14.80%
No. of Shareholders,"29,342","30,263","32,016","33,372","33,495","34,814","36,514","35,786","34,915","35,368","34,175","33,321"

--- CAGR BOXES ---




