--- ABOUT ---
"Incorporated in 2008, KPI Green Energy Ltd is part of KP Group. They develop, build, own, manage, and maintain renewable power facilities (solar and wind solar hybrid power project) as an Independent Power Producer (IPP) and as a service provider to Captive Power Producers (CPPs) under the ‘Solarism’ brand. [1] Group Companies: [2] KP Energy Limited KP Green Engineering Private Limited KPF Green Hydrogen & Ammonia Technology Private Limited KP Human Development Foundation"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,088",409,563,17.0

Book Value,Dividend Yield,ROCE,ROE
154,0.16,13.8,17.4

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,182,189,215,330,289,348,360,458,569,603,634,663,796
Expenses +,128,120,144,227,196,216,226,322,408,397,409,427,505
Operating Profit,54,69,71,104,93,132,134,137,161,206,226,236,291
OPM %,30%,37%,33%,31%,32%,38%,37%,30%,28%,34%,36%,36%,37%
Other Income +,2,1,1,1,3,0,1,8,8,11,7,16,14
Interest,13,20,18,23,25,28,23,15,14,38,43,48,53
Depreciation,6,9,10,10,11,14,15,15,16,30,32,33,39
Profit before tax,37,41,44,72,60,91,97,115,139,149,158,170,214
Tax %,14%,19%,21%,29%,28%,27%,28%,26%,25%,25%,26%,26%,27%
Net Profit +,32,33,35,51,43,66,70,85,104,111,117,126,155
EPS in Rs,1.95,2.05,2.14,2.80,2.38,3.66,3.55,4.29,5.04,5.27,5.53,5.97,7.36
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,34,59,102,230,644,"1,024","1,735","2,696"
Expenses +,19,32,44,121,435,687,"1,172","1,738"
Operating Profit,15,27,58,109,208,337,564,958
OPM %,45%,46%,57%,47%,32%,33%,32%,36%
Other Income +,6,0,0,1,3,7,17,48
Interest,4,8,16,37,47,86,79,182
Depreciation,4,7,13,14,23,40,61,133
Profit before tax,13,12,30,59,142,217,441,691
Tax %,31%,46%,27%,27%,23%,26%,26%,26%
Net Profit +,9,6,22,43,110,162,325,509
EPS in Rs,0.55,0.40,1.35,2.66,6.74,8.94,16.23,24.13
Dividend Payout %,0%,0%,0%,4%,9%,3%,5%,4%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,36,60,98,99
Reserves,81,80,102,136,222,775,"2,325","2,935"
Borrowings +,40,139,240,446,676,"1,036","1,475","5,197"
Other Liabilities +,22,61,49,177,322,564,894,"1,651"
Total Liabilities,161,298,409,777,"1,255","2,436","4,792","9,882"
Fixed Assets +,84,213,244,482,801,979,"2,361","4,508"
CWIP,18,1,21,31,0,101,163,918
Investments,0,0,0,0,2,0,4,199
Other Assets +,59,85,144,264,453,"1,355","2,264","4,257"
Total Assets,161,298,409,777,"1,255","2,436","4,792","9,882"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-17,40,-27,102,159,-57,208,424
Cash from Investing Activity +,-15,-119,-63,-189,-309,-387,"-1,587","-4,071"
Cash from Financing Activity +,33,87,101,91,177,562,"1,807","3,643"
Net Cash Flow,1,8,11,4,27,118,427,-4
Free Cash Flow,-32,-79,-90,-88,-151,-244,"-1,297","-2,608"
CFO/OP,-101%,154%,-43%,95%,80%,-11%,48%,48%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,143,175,178,58,83,152,122,100
Inventory Days,,,,,,,,374
Days Payable,,,,,,,,118
Cash Conversion Cycle,143,175,178,58,83,152,122,356
Working Capital Days,388,-24,232,85,13,96,168,101
ROCE %,,11%,16%,20%,25%,22%,18%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,54.81%,54.83%,53.08%,53.08%,53.09%,48.77%,48.78%,48.78%,48.67%,48.67%,49.25%,49.49%
FIIs +,3.48%,4.24%,5.96%,5.60%,6.05%,9.95%,8.78%,8.05%,8.26%,9.16%,8.68%,8.24%
DIIs +,0.06%,0.00%,2.09%,0.63%,0.33%,1.50%,1.87%,1.64%,0.81%,0.77%,0.63%,0.64%
Public +,41.66%,40.91%,38.86%,40.69%,40.51%,39.80%,40.54%,41.52%,42.26%,41.39%,41.46%,41.63%
No. of Shareholders,"47,863","59,420","81,436","1,54,894","1,95,775","2,58,693","2,91,593","3,21,909","3,24,889","3,12,709","3,05,430","3,11,134"

--- CAGR BOXES ---




