--- ABOUT ---
"Kalyani Steels Ltd, a part of Kalyani Group, is primarily engaged in the business of manufacture and sale of Iron and Steel Products. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,620",829,989 / 574,13.7

Book Value,Dividend Yield,ROCE,ROE
482,1.21,14.8,13.2

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,377,390,461,407,449,461,492,484,544,443,456,462,484
Expenses +,274,294,375,346,352,382,396,401,430,357,371,371,385
Operating Profit,104,96,86,61,97,79,96,83,114,85,85,92,99
OPM %,27%,25%,19%,15%,22%,17%,20%,17%,21%,19%,19%,20%,20%
Other Income +,12,12,13,12,15,13,15,13,14,15,15,8,14
Interest,3,3,4,4,3,4,5,6,4,3,2,2,1
Depreciation,11,11,11,12,12,16,16,16,16,15,15,14,14
Profit before tax,102,93,83,58,96,72,90,76,108,83,84,83,98
Tax %,26%,25%,26%,26%,24%,28%,25%,25%,26%,26%,25%,26%,26%
Net Profit +,76,70,62,43,73,52,67,56,80,62,63,62,72
EPS in Rs,17.34,16.02,14.15,9.80,15.95,11.96,15.44,12.93,18.37,14.13,14.33,14.19,16.42
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales +,950,989,"1,180","1,257","1,345","1,407","1,199","1,188","1,706","1,959","1,982","1,846"
Expenses +,868,978,"1,004",970,"1,141","1,194","1,005",925,"1,368","1,588","1,609","1,484"
Operating Profit,83,11,177,287,204,212,194,263,338,371,373,361
OPM %,9%,1%,15%,23%,15%,15%,16%,22%,20%,19%,19%,20%
Other Income +,57,51,61,14,17,25,23,43,52,49,55,52
Interest,19,28,12,10,9,7,10,7,13,26,19,9
Depreciation,19,32,52,52,37,38,43,44,46,61,63,57
Profit before tax,102,2,174,239,175,192,165,255,331,333,346,348
Tax %,25%,-112%,35%,35%,34%,32%,19%,25%,25%,25%,26%,26%
Net Profit +,88,4,113,156,115,131,134,190,248,249,256,258
EPS in Rs,20.04,0.82,25.99,35.79,26.48,30.17,31.29,43.59,55.93,56.99,58.70,59.07
Dividend Payout %,20%,-0%,-0%,-0%,19%,17%,16%,17%,18%,18%,17%,17%

--- BALANCE SHEET ---
,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,44,44,22,22,22,22,22,22,22,22,22,22
Reserves,519,516,567,679,763,868,941,"1,131","1,346","1,658","1,870","2,083"
Borrowings +,226,249,327,245,176,25,5,173,340,596,438,475
Other Liabilities +,393,307,340,416,320,416,397,324,551,297,403,416
Total Liabilities,"1,182","1,115","1,256","1,362","1,280","1,332","1,364","1,650","2,258","2,573","2,732","2,996"
Fixed Assets +,261,256,545,436,437,423,418,382,358,734,678,627
CWIP,26,15,3,7,7,7,5,11,154,381,429,560
Investments,279,382,181,226,272,359,177,144,147,41,3,11
Other Assets +,616,463,527,692,563,543,763,"1,113","1,597","1,418","1,622","1,798"
Total Assets,"1,182","1,115","1,256","1,362","1,280","1,332","1,364","1,650","2,258","2,573","2,732","2,996"

--- CASH FLOW ---
,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-66,98,160,152,191,286,257,62,362,323,382,141
Cash from Investing Activity +,-40,-66,-255,-38,-77,-116,-183,-226,-474,-304,-135,-105
Cash from Financing Activity +,105,-28,97,-98,-105,-181,-80,160,123,-10,-252,-42
Net Cash Flow,-1,3,2,16,10,-12,-6,-3,11,9,-5,-6
Free Cash Flow,-146,81,76,139,158,264,223,46,187,-253,357,80
CFO/OP,-57%,"1,022%",120%,84%,124%,163%,159%,48%,133%,108%,125%,63%

--- RATIOS ---
,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Debtor Days,82,50,107,135,102,80,72,77,68,78,79,98
Inventory Days,100,83,90,81,53,71,74,71,82,93,95,102
Days Payable,130,63,120,147,88,153,184,140,172,67,97,96
Cash Conversion Cycle,53,70,77,69,67,-1,-39,7,-22,105,78,104
Working Capital Days,102,71,30,27,24,26,11,-11,-18,4,1,17
ROCE %,18%,4%,,27%,19%,20%,18%,23%,23%,,16%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%
FIIs +,2.85%,2.73%,2.71%,2.54%,2.45%,2.11%,2.66%,2.18%,1.76%,1.86%,1.78%,1.82%
DIIs +,9.26%,8.75%,9.37%,12.18%,12.03%,12.13%,10.83%,10.49%,10.54%,10.74%,11.10%,11.14%
Public +,23.18%,23.81%,23.21%,20.59%,20.82%,21.06%,21.80%,22.63%,22.98%,22.70%,22.42%,22.33%
No. of Shareholders,"41,836","42,757","42,135","45,777","46,153","47,179","44,048","44,429","47,214","47,085","45,854","44,840"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,5%
5 Years:,9%
3 Years:,%
TTM:,-7%

Compounded Profit Growth
10 Years:,9%
5 Years:,7%
3 Years:,%
TTM:,4%

Stock Price CAGR
10 Years:,17%
5 Years:,16%
3 Years:,34%
1 Year:,-6%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,14%
Last Year:,13%

