--- ABOUT ---
"Incorporated in 1990, Lahoti Overseas Ltd is a merchat exporter of yarn and textiles and also deals in generation of power through wind mills and solar panels [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
129,44.2,67.8 / 34.1,8.97

Book Value,Dividend Yield,ROCE,ROE
73.9,0.45,7.95,6.90

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,84.03,121.56,144.83,119.52,101.62,119.69,157.23,121.04,123.64,85.90,108.80,99.87,88.46
Expenses +,83.10,118.94,137.22,115.66,102.11,115.93,156.19,113.74,117.89,85.99,107.97,95.41,88.74
Operating Profit,0.93,2.62,7.61,3.86,-0.49,3.76,1.04,7.30,5.75,-0.09,0.83,4.46,-0.28
OPM %,1.11%,2.16%,5.25%,3.23%,-0.48%,3.14%,0.66%,6.03%,4.65%,-0.10%,0.76%,4.47%,-0.32%
Other Income +,2.09,2.25,2.02,1.87,2.18,1.23,2.16,0.84,2.54,2.94,8.24,2.25,2.00
Interest,0.18,0.49,0.32,0.45,0.48,0.47,0.89,1.38,0.69,0.41,0.38,0.72,0.73
Depreciation,0.77,0.60,0.65,0.63,0.78,0.59,0.63,0.61,0.64,0.56,0.57,0.57,0.57
Profit before tax,2.07,3.78,8.66,4.65,0.43,3.93,1.68,6.15,6.96,1.88,8.12,5.42,0.42
Tax %,31.40%,18.52%,28.41%,21.08%,304.65%,-17.05%,117.86%,25.85%,38.51%,13.30%,14.29%,20.11%,-242.86%
Net Profit +,1.43,3.09,6.20,3.67,-0.88,4.59,-0.30,4.57,4.28,1.63,6.97,4.32,1.45
EPS in Rs,0.49,1.06,2.13,1.26,-0.30,1.57,-0.10,1.57,1.47,0.56,2.39,1.48,0.50
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,588,461,566,459,642,396,470,892,319,488,522,383
Expenses +,576,446,549,449,616,386,461,856,299,474,504,378
Operating Profit,12,14,17,11,26,11,9,36,19,14,18,5
OPM %,2%,3%,3%,2%,4%,3%,2%,4%,6%,3%,3%,1%
Other Income +,10,2,8,3,5,4,7,9,5,8,7,15
Interest,9,8,7,5,6,3,2,5,1,2,3,2
Depreciation,3,4,3,3,4,3,3,3,3,3,2,2
Profit before tax,10,4,15,7,22,8,11,36,21,18,19,16
Tax %,28%,31%,21%,43%,25%,34%,26%,35%,24%,31%,30%,9%
Net Profit +,8,3,12,4,16,5,8,24,16,12,13,14
EPS in Rs,2.59,1.02,4.03,1.29,5.56,1.85,2.82,8.12,5.40,4.13,4.50,4.92
Dividend Payout %,15%,39%,10%,16%,5%,16%,14%,5%,7%,5%,4%,4%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,87,89,105,106,121,123,131,155,171,184,195,210
Borrowings +,102,61,60,65,35,36,50,62,9,10,6,32
Other Liabilities +,16,9,9,9,13,16,12,25,18,21,25,14
Total Liabilities,210,165,180,186,175,180,199,248,203,221,232,262
Fixed Assets +,42,26,48,45,40,37,35,32,29,28,28,24
CWIP,0,0,0,0,0,0,0,0,1,0,0,0
Investments,25,42,16,16,15,11,14,22,61,33,44,82
Other Assets +,143,97,116,125,121,132,151,193,112,160,161,156
Total Assets,210,165,180,186,175,180,199,248,203,221,232,262

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,31,47,-1,-4,32,-14,-19,14,88,-36,20,-5
Cash from Investing Activity +,-28,-4,5,1,9,11,1,-6,-36,32,-8,-23
Cash from Financing Activity +,1,-47,-2,1,-43,5,13,9,-55,-1,-7,25
Net Cash Flow,5,-3,3,-1,-1,3,-4,17,-2,-5,5,-3
Free Cash Flow,12,47,-0,-4,32,-14,-19,14,88,-37,18,3
CFO/OP,289%,342%,15%,-20%,145%,-100%,-167%,65%,484%,-215%,128%,6%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,62,50,47,53,41,90,78,51,54,74,78,99
Inventory Days,6,8,4,11,4,3,11,4,19,10,6,9
Days Payable,2,2,2,3,2,4,5,2,2,2,3,2
Cash Conversion Cycle,66,56,49,61,43,89,84,54,71,82,80,107
Working Capital Days,14,21,16,16,30,62,60,35,76,87,78,99
ROCE %,9%,7%,11%,6%,15%,7%,8%,20%,11%,10%,11%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%,59.80%
Public +,40.20%,40.19%,40.20%,40.20%,40.20%,40.19%,40.18%,40.18%,40.20%,40.20%,40.20%,40.19%
No. of Shareholders,"5,107","5,077","5,203","5,272","5,223","5,474","5,477","5,348","5,214","4,950","4,874","4,767"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-2%
5 Years:,-4%
3 Years:,6%
TTM:,-27%

Compounded Profit Growth
10 Years:,17%
5 Years:,12%
3 Years:,-3%
TTM:,9%

Stock Price CAGR
10 Years:,17%
5 Years:,13%
3 Years:,18%
1 Year:,1%

Return on Equity
10 Years:,8%
5 Years:,9%
3 Years:,7%
Last Year:,7%

