--- ABOUT ---
"Incorporated in 2003, Le Merite Exports Ltd is in the business of manufacturing, purchase and sale of textiles [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
341,27.3,108,29.4

Book Value,Dividend Yield,ROCE,ROE
10.8,0.00,9.95,9.33

Face Value
2.00

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,95.51,126.10,98.21,73.49,75.31
Expenses +,93.72,121.49,92.60,71.46,75.39
Operating Profit,1.79,4.61,5.61,2.03,-0.08
OPM %,1.87%,3.66%,5.71%,2.76%,-0.11%
Other Income +,1.04,1.55,2.28,2.45,3.10
Interest,2.20,2.51,1.89,1.46,1.64
Depreciation,0.36,0.36,0.36,0.34,0.29
Profit before tax,0.27,3.29,5.64,2.68,1.09
Tax %,11.11%,28.27%,22.87%,23.51%,20.18%
Net Profit +,0.25,2.35,4.35,2.05,0.87
EPS in Rs,0.02,0.19,0.36,0.17,0.06
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,268,525,377,468,525,357
Expenses +,258,494,371,462,517,344
Operating Profit,10,31,6,6,8,13
OPM %,4%,6%,2%,1%,1%,4%
Other Income +,1,1,3,4,11,10
Interest,2,4,4,7,9,7
Depreciation,0,0,1,0,1,1
Profit before tax,9,28,4,2,9,15
Tax %,24%,25%,48%,24%,21%,23%
Net Profit +,7,21,2,2,7,12
EPS in Rs,8.19,2.47,0.37,0.15,0.50,0.93
Dividend Payout %,0%,8%,27%,27%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,17,23,23,24,25
Reserves,23,28,70,71,90,110
Borrowings +,54,100,86,92,103,90
Other Liabilities +,14,31,22,12,21,33
Total Liabilities,92,177,202,198,238,259
Fixed Assets +,2,3,2,3,13,13
CWIP,0,0,7,8,0,9
Investments,2,2,2,1,2,29
Other Assets +,89,172,191,186,223,207
Total Assets,92,177,202,198,238,259

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-22,-44,11,0,-12,39
Cash from Investing Activity +,-0,-2,-7,-2,-3,-25
Cash from Financing Activity +,25,46,30,4,25,-7
Net Cash Flow,3,0,34,3,9,7
Free Cash Flow,-22,-46,4,-1,-14,27
CFO/OP,-191%,-119%,222%,17%,-136%,333%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,80,88,89,69,81,85
Inventory Days,16,10,20,15,8,9
Days Payable,18,16,24,11,15,14
Cash Conversion Cycle,77,83,85,74,74,80
Working Capital Days,17,22,35,28,38,58
ROCE %,,28%,5%,5%,9%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.74%,72.74%,72.74%,72.74%,72.96%,73.06%,62.22%,61.53%,59.65%,59.65%
FIIs +,0.00%,0.58%,0.58%,0.40%,0.40%,0.20%,0.52%,0.34%,0.15%,0.22%
DIIs +,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.16%
Public +,27.08%,26.68%,26.68%,26.86%,26.64%,26.74%,37.26%,38.13%,40.04%,39.97%
No. of Shareholders,"1,646","1,657","1,651","1,700","1,484","1,027","1,225","1,465","1,715","1,700"

--- CAGR BOXES ---




