--- ABOUT ---
"Incorporated in 2010, Laxmi Goldorna House Ltd is in the business of real estate development and manufacture & sale of jewelries [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,148",229,400,97.6

Book Value,Dividend Yield,ROCE,ROE
13.0,0.00,17.0,19.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,127.28,15.85,22.16,27.72,28.67
Expenses +,118.48,12.73,15.41,22.44,23.46
Operating Profit,8.80,3.12,6.75,5.28,5.21
OPM %,6.91%,19.68%,30.46%,19.05%,18.17%
Other Income +,0.10,0.30,-0.30,0.56,0.00
Interest,3.38,1.86,1.85,2.72,2.24
Depreciation,0.08,0.00,0.05,0.11,0.05
Profit before tax,5.44,1.56,4.55,3.01,2.92
Tax %,-0.37%,25.00%,22.20%,77.74%,23.97%
Net Profit +,5.45,1.17,3.54,0.68,2.22
EPS in Rs,1.09,0.23,0.71,0.14,0.44
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025
Sales +,202,88
Expenses +,185,65
Operating Profit,17,23
OPM %,9%,26%
Other Income +,0,0
Interest,4,9
Depreciation,0,0
Profit before tax,13,14
Tax %,27%,24%
Net Profit +,9,11
EPS in Rs,1.89,2.11
Dividend Payout %,0%,0%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025
Equity Capital,21,21
Reserves,25,44
Borrowings +,53,102
Other Liabilities +,10,14
Total Liabilities,108,181
Fixed Assets +,1,1
CWIP,0,0
Investments,15,21
Other Assets +,92,159
Total Assets,108,181

--- CASH FLOW ---
,Mar 2024,Mar 2025
Cash from Operating Activity +,-9,-45
Cash from Investing Activity +,-8,3
Cash from Financing Activity +,17,41
Net Cash Flow,0,-0
Free Cash Flow,-9,-45
CFO/OP,-50%,-183%

--- RATIOS ---
,Mar 2024,Mar 2025
Debtor Days,64,119
Inventory Days,107,682
Days Payable,10,53
Cash Conversion Cycle,161,748
Working Capital Days,128,471
ROCE %,,17%

--- SHAREHOLDING PATTERN ---
,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.63%,74.97%,74.97%,74.97%,74.97%,74.97%,74.97%,74.97%,74.97%,74.97%,74.97%,74.97%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.10%,0.11%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%
Public +,26.37%,25.03%,25.03%,25.03%,25.03%,25.03%,25.03%,25.03%,25.03%,24.69%,24.93%,24.93%
No. of Shareholders,64,57,254,909,"1,317","1,531","1,758","1,680","1,660","2,548","3,053","2,881"

--- CAGR BOXES ---




