--- ABOUT ---
"LIC Housing Finance Limited is a housing finance company registered with National Housing Bank (NHB) and is mainly engaged in financing purchase / construction of residential flats / houses to individuals and project finance to developers, Loan against Property (LAP), Lease Rental Discounting (LRD)for commercial properties as well as purchase of commercial shops/showrooms. etc.(Source : 201903 Annual Report Page No: 36 and 50)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"30,248",550,647,5.40

Book Value,Dividend Yield,ROCE,ROE
753,1.82,8.59,14.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,"6,431","6,759","6,765","6,804","6,948","6,797","6,938","7,070","7,303","7,250","7,179","7,206","7,212"
Interest,"4,378","4,493","4,600","4,646","4,649","4,749","4,879","4,950","4,951","5,046","4,994","4,942","4,786"
Expenses +,582,602,670,686,800,392,372,297,546,475,450,474,463
Financing Profit,"1,472","1,664","1,496","1,473","1,500","1,656","1,687","1,823","1,806","1,729","1,735","1,790","1,962"
Financing Margin %,23%,25%,22%,22%,22%,24%,24%,26%,25%,24%,24%,25%,27%
Other Income +,0,0,0,0,0,2,2,1,0,0,1,6,2
Depreciation,19,19,13,18,18,22,24,25,26,25,32,34,31
Profit before tax,"1,453","1,645","1,483","1,454","1,482","1,635","1,665","1,798","1,780","1,705","1,703","1,762","1,933"
Tax %,18%,20%,20%,20%,27%,20%,20%,20%,23%,20%,21%,21%,23%
Net Profit +,"1,191","1,319","1,192","1,169","1,082","1,306","1,328","1,435","1,374","1,364","1,349","1,398","1,493"
EPS in Rs,21.65,23.98,21.67,21.25,19.66,23.75,24.14,26.09,24.97,24.80,24.53,25.42,27.13
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,"10,812","12,491","14,092","14,876","17,398","19,740","19,886","19,978","22,717","27,277","28,111","28,837"
Interest,"8,310","9,307","10,231","11,144","12,891","14,781","14,450","14,151","16,135","18,388","19,528","19,771"
Expenses +,390,611,887,940,"1,104","1,592","2,012","3,012","2,964","2,756","1,609","1,851"
Financing Profit,"2,112","2,573","2,974","2,792","3,404","3,367","3,423","2,815","3,618","6,133","6,974","7,215"
Financing Margin %,20%,21%,21%,19%,20%,17%,17%,14%,16%,22%,25%,25%
Other Income +,17,12,9,0,0,-33,-5,27,11,4,3,10
Depreciation,10,10,10,10,12,51,52,55,69,69,98,122
Profit before tax,"2,119","2,575","2,973","2,782","3,392","3,282","3,365","2,787","3,561","6,068","6,879","7,103"
Tax %,34%,35%,35%,28%,28%,27%,19%,18%,19%,22%,21%,21%
Net Profit +,"1,396","1,668","1,942","2,008","2,434","2,404","2,741","2,286","2,891","4,763","5,443","5,604"
EPS in Rs,27.65,33.05,38.49,39.79,48.23,47.62,54.31,41.55,52.55,86.59,98.94,101.87
Dividend Payout %,18%,17%,16%,17%,16%,17%,16%,20%,16%,10%,10%,10%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,101,101,101,101,101,101,101,110,110,110,110,110
Reserves,"7,779","9,114","11,055","14,210","16,230","18,164","20,500","24,641","27,075","31,367","36,242","41,319"
Borrowing,"96,532","110,931","126,337","150,913","170,657","191,428","207,925","223,757","244,913","252,618","270,726","277,539"
Other Liabilities +,"8,218","10,441","13,504","6,004","13,719","7,227","7,195","6,179","6,461","7,198","6,963","6,245"
Total Liabilities,"112,630","130,587","150,997","171,228","200,707","216,920","235,721","254,687","278,559","291,293","314,040","325,213"
Fixed Assets +,90,102,102,129,168,294,282,315,388,389,377,416
CWIP,0,0,5,3,2,3,6,4,1,0,52,0
Investments,241,280,537,"2,008","3,617","5,485","4,644","6,279","7,050","6,337","7,201","5,132"
Other Assets +,"112,298","130,204","150,352","169,088","196,920","211,138","230,789","248,088","271,120","284,567","306,411","319,664"
Total Assets,"112,630","130,587","150,997","171,228","200,707","216,920","235,721","254,687","278,559","291,293","314,040","325,213"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"-14,345","-13,039","-14,273","-18,977","-21,538","-14,738","-17,140","-16,729","-19,632","-7,151","-16,609","-8,504"
Cash from Investing Activity +,-58,-58,-278,"1,368","-1,642","-1,851",858,"-1,629",-799,587,-939,"1,752"
Cash from Financing Activity +,"14,232","14,098","15,072","18,074","24,068","15,156","16,245","17,850","20,249","7,346","17,413","6,192"
Net Cash Flow,-171,"1,001",521,465,887,"-1,434",-37,-508,-183,781,-134,-560
Free Cash Flow,"-14,364","-13,062","-14,288","-19,012","-21,588","-14,752","-17,151","-16,765","-19,673","-7,188","-16,682","-8,556"
CFO/OP,-132%,-104%,-100%,-129%,-126%,-76%,-92%,-92%,-94%,-23%,-58%,-27%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,18%,20%,19%,16%,16%,14%,14%,10%,11%,16%,16%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%
FIIs +,17.15%,21.21%,21.91%,22.59%,23.19%,21.95%,21.24%,21.55%,20.25%,20.17%,20.36%,21.39%
DIIs +,25.03%,21.51%,21.76%,21.99%,21.22%,20.53%,21.44%,21.34%,22.20%,22.14%,21.81%,20.89%
Public +,12.56%,12.03%,11.09%,10.18%,10.36%,12.29%,12.08%,11.87%,12.31%,12.45%,12.60%,12.49%
No. of Shareholders,"3,49,173","3,24,814","3,05,862","2,97,899","3,03,961","3,61,857","3,66,899","3,64,182","3,64,388","3,58,982","3,52,873","3,47,941"

--- CAGR BOXES ---




