--- ABOUT ---
"Life Insurance Corporation (LIC) is the largest insurance provider company in India. It has a market share of above 66.2% in new business premium. The company offers participating insurance products and non-participating products like unit-linked insurance products, saving insurance products, term insurance products, health insurance, and annuity & pension products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,56,790",440,490,9.69

Book Value,Dividend Yield,ROCE,ROE
140,2.27,35.1,37.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"201,231","190,163","203,033","214,054","238,717","211,952","231,132","203,751","243,134","224,671","241,524","235,954","276,744"
Expenses +,"189,692","180,169","194,558","204,815","237,152","202,180","224,544","191,818","221,621","214,198","232,032","223,588","265,521"
Operating Profit,"11,539","9,994","8,475","9,239","1,564","9,773","6,588","11,934","21,514","10,474","9,492","12,366","11,222"
OPM %,6%,5%,4%,4%,1%,5%,3%,6%,9%,5%,4%,5%,4%
Other Income +,612,117,288,206,"14,249","1,001",794,818,954,780,"1,044",822,"3,166"
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"12,151","10,111","8,763","9,445","15,813","10,774","7,382","12,752","22,468","11,253","10,537","13,188","14,388"
Tax %,8%,14%,13%,15%,12%,15%,16%,14%,15%,15%,14%,15%,-63%
Net Profit +,"13,189","9,634","8,032","9,434","13,842","10,527","7,723","11,009","19,039","10,955","10,096","12,908","23,467"
EPS in Rs,10.43,7.62,6.35,7.49,10.94,8.34,6.11,8.70,15.05,8.66,7.98,10.22,18.55
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"571,508","628,043","690,914","723,606","784,628","845,966","889,970","977,772"
Expenses +,"565,587","634,989","691,166","720,280","750,498","813,316","836,692","930,108"
Operating Profit,"5,920","-6,947",-252,"3,326","34,130","32,651","53,278","47,664"
OPM %,1%,-1%,-0%,0%,4%,4%,6%,5%
Other Income +,"2,615","20,870","12,820","9,248","7,800","14,829","3,495","5,812"
Interest,0,0,0,0,0,0,0,0
Depreciation,336,379,417,436,466,466,506,0
Profit before tax,"8,199","13,544","12,151","12,138","41,463","47,014","56,267","53,475"
Tax %,68%,80%,76%,66%,13%,13%,14%,-7%
Net Profit +,"2,627","2,710","2,974","4,125","35,997","40,916","48,320","57,453"
EPS in Rs,,,,3.26,28.46,32.34,38.20,45.42
Dividend Payout %,2%,2%,0%,23%,5%,15%,16%,11%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,100,100,100,"6,325","6,325","6,325","6,325","6,325"
Reserves,710,902,"6,784","5,012","39,908","76,422","120,901","170,280"
Borrowings +,"269,401","253,414",4,1,0,0,0,1
Other Liabilities +,"3,157,039","3,245,419","3,822,637","4,242,719","4,532,258","5,233,300","5,533,342","5,771,950"
Total Liabilities,"3,427,249","3,499,834","3,829,524","4,254,058","4,578,491","5,316,047","5,660,568","5,948,556"
Fixed Assets +,"25,194","28,216","17,723","17,770","20,473","20,667","21,330","4,757"
CWIP,710,734,148,199,331,403,326,0
Investments,"2,900,287","2,976,100","3,517,445","3,926,211","4,243,008","4,976,133","5,298,429","5,580,356"
Other Assets +,"501,059","494,784","294,208","309,878","314,678","318,844","340,483","363,444"
Total Assets,"3,427,249","3,499,834","3,829,524","4,254,058","4,578,491","5,316,047","5,660,568","5,948,556"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"13,274","54,367","80,602","-3,783","54,519","26,548","-9,145","-26,211"
Cash from Investing Activity +,"9,636","-40,415","148,447","12,531","-52,848","-25,695","40,832","34,708"
Cash from Financing Activity +,"-13,700","-18,664","-256,125",0,-949,"-4,427","-3,794","-7,626"
Net Cash Flow,"9,210","-4,712","-27,077","8,748",722,"-3,574","27,893",871
Free Cash Flow,"11,281","53,447","86,765","-3,879","53,976","25,835","-9,860","-27,181"
CFO/OP,500%,-908%,"-27,549%",108%,143%,64%,-18%,-43%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0,0,0,0,0,0,0,0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0
Working Capital Days,78,63,35,42,43,39,38,45
ROCE %,,5%,9%,131%,143%,73%,53%,35%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%
FIIs +,0.10%,0.06%,0.14%,0.19%,0.16%,0.07%,0.10%,0.11%,0.13%,0.20%,0.31%,0.33%
DIIs +,0.84%,1.00%,0.85%,0.94%,1.16%,1.26%,1.27%,1.37%,1.35%,1.33%,1.27%,1.09%
Public +,2.55%,2.43%,2.49%,2.37%,2.17%,2.15%,2.13%,2.02%,2.03%,1.96%,1.90%,2.10%
No. of Shareholders,"31,34,541","29,36,740","27,16,181","25,63,693","23,98,130","23,75,396","23,71,841","22,77,180","22,27,966","21,55,417","21,11,766","21,51,423"

--- CAGR BOXES ---




