--- ABOUT ---
Company core business  is trading in Iron & Steel products [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,607",77.2,88.2 / 40.7,40.6

Book Value,Dividend Yield,ROCE,ROE
27.7,0.19,10.6,8.66

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,242,151,149,324,334,323,385,290,489,331,407,299,720
Expenses +,223,140,124,287,318,300,356,249,465,308,383,275,674
Operating Profit,18,11,25,38,15,23,29,41,25,22,24,25,45
OPM %,8%,8%,17%,12%,5%,7%,8%,14%,5%,7%,6%,8%,6%
Other Income +,0,8,15,63,49,4,24,18,37,282,40,34,67
Interest,2,2,2,1,2,2,4,3,17,14,4,13,17
Depreciation,1,1,1,1,3,2,2,3,3,3,6,7,7
Profit before tax,16,17,37,99,59,22,46,53,42,288,54,39,88
Tax %,36%,12%,16%,24%,11%,21%,13%,22%,35%,18%,4%,30%,32%
Net Profit +,34,15,39,75,46,17,40,41,25,249,62,38,69
EPS in Rs,0.20,0.05,0.19,0.39,0.14,0.04,0.14,0.13,0.06,1.50,0.15,-0.05,0.26
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,294,132,46,243,15,1,1,48,380,958,"1,488","1,756"
Expenses +,293,137,48,243,17,2,2,44,329,869,"1,370","1,640"
Operating Profit,1,-5,-2,-1,-2,-2,-1,4,51,89,118,116
OPM %,0%,-4%,-4%,-0%,-17%,-311%,-172%,8%,13%,9%,8%,7%
Other Income +,-0,2,0,-5,-6,0,1,159,14,135,83,423
Interest,0,1,2,0,0,0,0,1,5,6,27,48
Depreciation,0,0,0,0,0,0,0,1,2,5,11,23
Profit before tax,0,-5,-4,-6,-8,-2,-0,161,57,213,163,469
Tax %,11%,7%,0%,0%,0%,-45%,0%,4%,22%,18%,23%,20%
Net Profit +,3,-3,-1,-4,-44,-1,1,154,68,175,123,417
EPS in Rs,0.02,-0.02,-0.01,-0.03,-0.32,-0.00,0.01,0.99,0.32,0.77,0.37,1.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,17%,26%,11%,22%,3%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,114,114,114,114,114,114,114,127,127,127,127,151
Reserves,336,333,350,282,222,198,213,612,891,"1,423","2,327","3,992"
Borrowings +,0,0,0,0,0,0,2,23,70,125,596,798
Other Liabilities +,49,30,12,1,1,1,6,93,209,722,"1,207","2,239"
Total Liabilities,499,478,475,397,336,314,335,855,"1,297","2,396","4,257","7,180"
