--- ABOUT ---
"Lumax Auto Technologies Ltd was incorporated in 1981 and is a part of the D.K. Jain Group of companies. It is engaged in the business of manufacturing and supplying of Automotive Lamps, Plastic Moulded Parts, and Frame Chassis to two, three, and four-wheeler segments [1] It has Partnerships with 7 Global players like  Yokowo(Japan), JOPP(Germany), and few others. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,221","1,646","1,899 / 954",39.0

Book Value,Dividend Yield,ROCE,ROE
178,0.33,21.4,26.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,493,632,700,732,757,756,842,906,"1,133","1,026","1,156","1,271","1,417"
Expenses +,437,552,610,627,666,668,740,788,976,901,"1,002","1,095","1,214"
Operating Profit,57,80,90,106,92,88,102,118,157,125,155,176,203
OPM %,11%,13%,13%,14%,12%,12%,12%,13%,14%,12%,13%,14%,14%
Other Income +,-4,8,9,10,18,17,15,9,9,11,16,0,5
Interest,7,16,16,18,19,19,19,20,21,23,24,27,31
Depreciation,17,29,30,30,29,30,29,33,37,38,41,48,52
Profit before tax,29,43,53,68,62,56,70,74,108,74,104,101,126
Tax %,19%,30%,29%,30%,17%,26%,26%,25%,26%,27%,26%,-7%,23%
Net Profit +,24,30,38,48,51,42,52,56,80,54,78,108,98
EPS in Rs,2.74,3.25,4.02,5.35,6.49,4.65,6.29,6.58,8.57,6.08,9.81,12.10,12.93
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,835,903,965,"1,013","1,187","1,141","1,108","1,508","1,847","2,822","3,637","4,870"
Expenses +,768,834,892,925,"1,077","1,050","1,009","1,357","1,647","2,453","3,171","4,212"
Operating Profit,67,68,73,88,110,91,98,151,201,369,465,659
OPM %,8%,8%,8%,9%,9%,8%,9%,10%,11%,13%,13%,14%
Other Income +,25,7,10,22,21,26,17,11,15,45,51,32
Interest,5,5,4,2,3,10,10,10,17,69,80,105
Depreciation,19,21,24,24,27,35,34,40,52,118,129,179
Profit before tax,68,50,56,82,100,73,72,113,147,227,308,406
Tax %,31%,31%,28%,31%,31%,19%,28%,27%,24%,26%,26%,17%
Net Profit +,47,34,40,57,69,59,51,82,111,167,229,337
EPS in Rs,6.60,4.66,5.06,7.15,9.67,8.52,6.91,10.18,13.63,19.10,26.08,40.91
Dividend Payout %,21%,20%,19%,28%,31%,35%,43%,34%,33%,29%,21%,13%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,245,269,358,438,467,433,517,530,648,776,921,"1,197"
Borrowings +,43,38,35,11,70,95,98,165,664,810,902,"1,231"
Other Liabilities +,179,218,218,396,379,319,360,430,853,990,"1,398","1,506"
Total Liabilities,481,538,624,858,929,860,990,"1,139","2,179","2,589","3,235","3,947"
Fixed Assets +,222,229,248,273,307,355,381,409,"1,028","1,014","1,316","1,516"
CWIP,7,5,14,12,22,21,9,12,13,36,69,65
Investments,19,22,85,142,120,62,131,122,201,405,390,565
Other Assets +,233,282,277,430,479,422,469,595,937,"1,135","1,461","1,801"
Total Assets,481,538,624,858,929,860,990,"1,139","2,179","2,589","3,235","3,947"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,39,49,64,95,56,76,98,87,137,265,290,460
Cash from Investing Activity +,-11,-32,-57,-57,-89,-32,-76,-65,-476,-249,-216,-280
Cash from Financing Activity +,-24,-23,3,-37,37,-33,-43,10,365,-40,-53,-170
Net Cash Flow,4,-5,10,1,4,11,-20,32,26,-24,21,10
Free Cash Flow,7,19,26,48,-35,63,56,41,60,167,118,214
CFO/OP,81%,92%,108%,134%,84%,106%,114%,80%,87%,89%,78%,86%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58,71,59,101,85,62,73,64,91,75,80,76
Inventory Days,28,32,30,41,27,31,41,41,49,54,64,48
Days Payable,75,90,76,141,110,76,101,84,118,105,120,100
Cash Conversion Cycle,11,13,13,1,3,17,14,21,23,24,24,24
Working Capital Days,7,13,7,12,9,-8,-8,-12,-5,-16,-10,1
ROCE %,18%,17%,17%,19%,20%,14%,13%,17%,15%,18%,19%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%,55.98%
FIIs +,18.24%,17.97%,15.89%,9.04%,6.93%,5.74%,5.91%,5.31%,7.04%,7.33%,8.00%,8.38%
DIIs +,6.85%,6.75%,8.32%,14.19%,15.85%,16.17%,16.09%,16.09%,16.31%,16.59%,16.52%,16.81%
Public +,18.94%,19.29%,19.81%,20.77%,21.23%,22.10%,22.00%,22.61%,20.66%,20.08%,19.49%,18.83%
No. of Shareholders,"25,952","27,140","26,561","29,662","34,704","41,124","42,799","43,692","42,978","48,760","51,736","58,405"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,18%
5 Years:,34%
3 Years:,38%
TTM:,34%

Compounded Profit Growth
10 Years:,25%
5 Years:,44%
3 Years:,44%
TTM:,65%

Stock Price CAGR
10 Years:,38%
5 Years:,61%
3 Years:,68%
1 Year:,53%

Return on Equity
10 Years:,17%
5 Years:,20%
3 Years:,22%
Last Year:,27%

