--- ABOUT ---
"Incorporated  in  2003, Maan Aluminium Ltd  is in the business of manufacturing & trading of aluminium profiles, anodizing and fabrication of profiles, aluminium ingots, aluminium billets etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
763,127,186 / 99.0,"1,003"

Book Value,Dividend Yield,ROCE,ROE
4.81,0.00,,2.90

Face Value
5.00

--- QUARTERLY RESULTS ---
,Dec 2008,Mar 2009
Sales +,10.83,7.60
Expenses +,10.17,7.61
Operating Profit,0.66,-0.01
OPM %,6.09%,-0.13%
Other Income +,0.00,0.00
Interest,0.15,0.11
Depreciation,0.30,0.29
Profit before tax,0.21,-0.41
Tax %,23.81%,-41.46%
Net Profit +,0.16,-0.24
EPS in Rs,0.03,-0.04
Raw PDF,,

--- ANNUAL RESULTS ---
,Mar 2009
Sales +,42.16
Expenses +,39.51
Operating Profit,2.65
OPM %,6.29%
Other Income +,0.00
Interest,0.46
Depreciation,1.10
Profit before tax,1.09
Tax %,30.28%
Net Profit +,0.76
EPS in Rs,0.14
Dividend Payout %,0.00%

--- BALANCE SHEET ---
,Mar 2009
Equity Capital,3.38
Reserves,22.80
Borrowings +,1.62
Other Liabilities +,1.78
Total Liabilities,29.58
Fixed Assets +,11.05
CWIP,0.00
Investments,2.42
Other Assets +,16.11
Total Assets,29.58

--- CASH FLOW ---
,Mar 2009
Cash from Operating Activity +,5.21
Cash from Investing Activity +,-3.56
Cash from Financing Activity +,0.56
Net Cash Flow,2.21
Free Cash Flow,3.71
CFO/OP,197%

--- RATIOS ---
,Mar 2009
Debtor Days,48.91
Inventory Days,39.65
Days Payable,3.98
Cash Conversion Cycle,84.59
Working Capital Days,93.50
ROCE %,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.38%,60.71%,60.71%,58.87%,58.87%,58.87%,58.87%,58.87%,58.87%,58.87%,58.87%,55.82%
FIIs +,0.67%,0.18%,0.15%,0.27%,0.33%,0.41%,0.37%,0.41%,0.37%,0.39%,0.01%,0.01%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.00%,0.00%,1.43%,1.58%
Public +,33.94%,39.08%,39.13%,40.86%,40.81%,40.71%,40.22%,40.71%,40.76%,40.75%,39.69%,42.59%
No. of Shareholders,"23,355","27,187","26,618","27,842","28,728","28,239","33,575","33,516","32,353","31,109","30,671","29,626"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,%

Stock Price CAGR
10 Years:,52%
5 Years:,25%
3 Years:,16%
1 Year:,1%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,3%

