--- ABOUT ---
"Incorporated in 1983, Madhucon Projects Ltd is an integrated construction, Infrastructure development and management company. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
45.5,6.16,8.55 / 3.61,

Book Value,Dividend Yield,ROCE,ROE
-255,0.00,-34.0,

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,445,211,257,276,421,236,190,111,139,157,129,139,126
Expenses +,595,238,309,273,642,255,392,137,175,194,180,169,156
Operating Profit,-150,-28,-52,3,-221,-18,-202,-26,-36,-36,-51,-30,-30
OPM %,-34%,-13%,-20%,1%,-53%,-8%,-106%,-23%,-26%,-23%,-39%,-21%,-24%
Other Income +,727,20,44,1,237,26,205,67,37,47,54,51,48
Interest,25,3,3,8,27,4,3,5,27,6,6,6,-18
Depreciation,662,10,9,12,2,10,12,484,26,131,131,131,131
Profit before tax,-109,-21,-20,-17,-13,-7,-12,-447,-52,-127,-133,-116,-95
Tax %,-11%,-4%,-5%,-13%,-46%,57%,-55%,-0%,18%,0%,-2%,0%,1%
Net Profit +,-97,-20,-19,-14,-7,-10,-5,-446,-61,-127,-131,-116,-96
EPS in Rs,-10.48,-2.65,-2.42,-1.69,0.65,-1.30,-0.61,-57.22,-5.27,-15.97,-16.36,-14.45,-13.46
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,038","2,599","1,576","1,035",942,734,909,948,"1,162","1,164",677,552
Expenses +,"1,383","1,654","1,212","1,010",885,687,945,"1,012","1,415","1,463",959,699
Operating Profit,655,945,365,26,57,47,-36,-63,-253,-299,-282,-147
OPM %,32%,36%,23%,2%,6%,6%,-4%,-7%,-22%,-26%,-42%,-27%
Other Income +,147,101,25,48,41,-924,135,127,902,301,335,200
Interest,515,748,751,835,279,150,246,31,47,41,39,1
Depreciation,198,222,269,249,224,72,129,141,799,32,531,523
Profit before tax,88,76,-630,"-1,010",-405,"-1,099",-276,-108,-197,-71,-518,-471
Tax %,94%,68%,2%,-4%,-6%,1%,-5%,17%,-10%,-14%,1%,-0%
Net Profit +,6,25,-644,-966,-381,"-1,115",-262,-127,-177,-61,-523,-470
EPS in Rs,-0.48,2.78,-98.22,-117.33,-46.60,-144.43,-31.63,-14.41,-19.47,-6.11,-64.39,-60.24
Dividend Payout %,-42%,0%,-0%,-0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,-322,-296,-829,"-1,775","-2,130","-2,438","-1,892","-2,095","-1,927","-1,510","-1,475","-1,886"
Borrowings +,"6,453","6,729","6,748","6,994","7,070","4,446","4,241","4,178","4,011","3,913","3,554","3,657"
Other Liabilities +,"2,067","2,013","2,303","2,665","2,758","2,951","2,978","3,413","2,019","1,802","1,526","1,357"
Total Liabilities,"8,205","8,454","8,229","7,892","7,705","4,966","5,335","5,503","4,110","4,213","3,612","3,135"
Fixed Assets +,"5,575","5,289","4,791","4,552","4,336","1,236",749,677,53,169,124,83
CWIP,"1,623",151,150,150,151,151,613,550,232,87,87,87
Investments,13,2,1,1,3,971,754,754,1,1,1,1
Other Assets +,994,"3,013","3,287","3,189","3,215","2,608","3,218","3,522","3,825","3,956","3,400","2,964"
Total Assets,"8,205","8,454","8,229","7,892","7,705","4,966","5,335","5,503","4,110","4,213","3,612","3,135"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,509",-301,683,571,190,-587,-405,232,-241,-256,85,204
Cash from Investing Activity +,"-1,366",466,107,-2,3,"2,843",839,-158,949,467,51,-445
Cash from Financing Activity +,-175,-162,-859,-588,-204,"-2,209",-451,-43,-720,-261,-109,258
Net Cash Flow,-32,2,-68,-20,-11,47,-16,30,-13,-49,27,18
Free Cash Flow,135,147,774,563,182,"2,349",-581,226,-98,-259,-402,-277
CFO/OP,240%,-25%,203%,"2,237%",390%,"-1,252%","1,272%",-215%,96%,86%,-30%,-139%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,26,57,49,11,14,58,2,6,2,11,3,4
Inventory Days,54,28,22,54,31,17,6,3,1,1,1,2
Days Payable,122,200,190,308,320,280,258,293,162,142,77,169
Cash Conversion Cycle,-43,-116,-119,-243,-276,-204,-250,-284,-159,-130,-73,-163
Working Capital Days,-379,-340,-726,"-1,497","-1,757","-1,882",-941,"-1,090",-666,-625,"-1,011","-1,447"
ROCE %,8%,13%,2%,-3%,-2%,1%,-1%,-4%,-8%,-2%,-28%,-34%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%
FIIs +,0.03%,0.03%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,40.90%,40.89%,40.89%,40.90%,40.92%,40.91%,40.92%,40.93%,40.93%,40.93%,40.92%,40.93%
No. of Shareholders,"19,704","19,395","19,688","19,714","19,615","20,606","20,510","20,643","20,667","20,435","20,219","20,067"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-14%
5 Years:,-10%
3 Years:,-22%
TTM:,-18%

Compounded Profit Growth
10 Years:,%
5 Years:,-38%
3 Years:,%
TTM:,6%

Stock Price CAGR
10 Years:,-18%
5 Years:,-1%
3 Years:,3%
1 Year:,-23%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,%

