--- ABOUT ---
"Established in 1983, Mallcom (India) Ltd. manufactures industrial safety products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
686,"1,099","1,530",22.8

Book Value,Dividend Yield,ROCE,ROE
510,0.27,11.4,9.74

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,112.73,94.47,108.32,95.56,122.36,102.38,129.08,117.74,137.57,122.43,139.34,131.20,146.69
Expenses +,96.04,80.32,92.92,83.92,105.88,88.06,113.23,102.44,122.17,104.78,129.48,111.91,133.04
Operating Profit,16.69,14.15,15.40,11.64,16.48,14.32,15.85,15.30,15.40,17.65,9.86,19.29,13.65
OPM %,14.81%,14.98%,14.22%,12.18%,13.47%,13.99%,12.28%,12.99%,11.19%,14.42%,7.08%,14.70%,9.31%
Other Income +,1.39,0.91,0.98,1.26,0.99,0.66,2.13,0.58,25.54,0.17,0.30,-0.09,0.30
Interest,0.99,1.12,0.97,0.85,1.30,1.38,1.12,1.14,2.41,2.00,2.14,2.05,2.01
Depreciation,2.36,2.41,2.98,3.28,-0.79,2.10,2.32,2.50,2.68,2.39,2.97,3.33,3.67
Profit before tax,14.73,11.53,12.43,8.77,16.96,11.50,14.54,12.24,35.85,13.43,5.05,13.82,8.27
Tax %,33.67%,26.11%,26.39%,22.12%,30.42%,25.83%,30.47%,26.31%,16.96%,26.66%,26.14%,26.56%,23.70%
Net Profit +,9.77,8.52,9.15,6.83,11.81,8.53,10.10,9.03,29.77,9.85,3.74,10.15,6.30
EPS in Rs,15.66,13.65,14.66,10.95,18.93,13.67,16.19,14.47,47.71,15.79,5.99,16.27,10.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,268,275,253,247,301,288,317,357,411,421,487,540
Expenses +,250,253,232,225,269,256,275,308,352,363,426,479
Operating Profit,18,22,21,22,32,32,42,50,58,58,61,60
OPM %,7%,8%,8%,9%,11%,11%,13%,14%,14%,14%,12%,11%
Other Income +,1,1,3,1,0,2,3,3,3,4,29,1
Interest,3,3,3,4,4,3,2,2,2,4,6,8
Depreciation,5,6,5,5,6,6,6,8,8,8,10,12
Profit before tax,11,14,15,14,23,25,37,42,51,50,74,41
Tax %,36%,33%,34%,38%,34%,25%,24%,26%,27%,27%,23%,26%
Net Profit +,7,9,10,8,15,19,28,32,37,36,57,30
EPS in Rs,10.87,15.03,16.15,13.54,24.02,30.26,45.30,52.28,59.20,58.21,92.04,48.14
Dividend Payout %,14%,13%,12%,15%,8%,7%,7%,6%,5%,5%,3%,6%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,48,56,64,73,87,104,135,162,197,231,292,312
Borrowings +,60,65,53,51,49,36,57,53,91,93,116,120
Other Liabilities +,42,36,41,43,57,51,54,54,60,58,78,74
Total Liabilities,156,163,165,173,199,197,253,275,354,388,493,512
Fixed Assets +,33,42,43,44,46,43,52,63,107,124,129,224
CWIP,8,3,2,0,0,3,15,15,8,10,74,0
Investments,1,0,6,0,5,21,19,0,27,15,13,6
Other Assets +,114,119,114,129,147,130,167,197,212,239,277,282
Total Assets,156,163,165,173,199,197,253,275,354,388,493,512

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,21,7,28,6,21,38,19,1,53,6,2,35
Cash from Investing Activity +,-10,-9,-10,2,-14,-21,-12,-2,-75,-10,-43,-32
Cash from Financing Activity +,-10,2,-17,-7,-7,-14,18,-1,33,-4,15,-6
Net Cash Flow,1,0,0,0,1,2,25,-2,11,-8,-26,-2
Free Cash Flow,15,-7,24,1,13,32,-5,-22,8,-18,-50,0
CFO/OP,138%,52%,160%,46%,87%,140%,25%,27%,113%,34%,30%,75%

--- RATIOS ---
