--- ABOUT ---
"The MCX) commenced operation in Nov,03 is India’s first listed, national-level, electronic exchange, and India’s leading commodity derivatives exchange which offers the benefits of fair price discovery and price risk management to the Indian commodity market ecosystem. The Exchange operates under SEBI. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"71,495","2,804","3,480",53.7

Book Value,Dividend Yield,ROCE,ROE
112,0.21,71.4,56.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,134,146,165,192,181,234,286,301,291,373,374,666,889
Expenses +,134,136,195,212,79,102,106,108,131,132,132,172,224
Operating Profit,-0,9,-30,-21,102,133,179,193,160,241,242,494,665
OPM %,-0%,6%,-18%,-11%,56%,57%,63%,64%,55%,65%,65%,74%,75%
Other Income +,20,20,19,18,20,19,26,24,30,33,27,31,36
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,4,7,11,14,13,14,15,22,17,20,22,19
Profit before tax,14,25,-17,-14,108,138,191,202,168,256,249,503,682
Tax %,61%,23%,9%,-63%,19%,20%,20%,21%,20%,21%,21%,20%,22%
Net Profit +,5,20,-19,-5,88,111,154,160,135,203,197,401,530
EPS in Rs,0.21,0.77,-0.75,-0.21,3.45,4.35,6.02,6.28,5.31,7.97,7.74,15.73,20.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,222,235,259,260,300,398,391,367,514,684,"1,113","2,302"
Expenses +,135,160,180,184,206,219,205,206,369,621,447,660
Operating Profit,88,75,80,76,94,178,185,161,145,63,665,"1,642"
OPM %,39%,32%,31%,29%,31%,45%,47%,44%,28%,9%,60%,71%
Other Income +,110,111,117,88,75,105,104,46,68,75,98,127
Interest,1,0,0,0,0,0,0,0,0,0,0,0
Depreciation,26,25,19,17,15,18,22,23,22,36,64,78
Profit before tax,170,162,178,147,154,265,267,184,191,102,699,"1,690"
Tax %,26%,29%,29%,26%,5%,11%,16%,22%,22%,18%,20%,21%
Net Profit +,126,115,127,108,146,236,225,143,149,83,560,"1,332"
EPS in Rs,4.93,4.50,4.96,4.25,5.73,9.27,8.83,5.63,5.84,3.26,21.96,52.22
Dividend Payout %,41%,29%,60%,80%,70%,65%,62%,62%,65%,47%,27%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,51,51,51,51,51,51,51,51,51,51,51,51
Reserves,"1,154","1,242","1,311","1,329","1,200","1,308","1,367","1,367","1,428","1,327","1,833","2,797"
Borrowings +,0,0,0,0,0,0,2,1,2,2,1,5
Other Liabilities +,622,568,507,586,825,"1,375","1,083","1,382","1,542","2,029","2,440","4,648"
Total Liabilities,"1,827","1,862","1,869","1,966","2,075","2,735","2,503","2,801","3,023","3,409","4,325","7,501"
Fixed Assets +,143,137,152,156,158,158,159,156,150,379,412,419
CWIP,2,3,0,6,19,24,26,95,169,16,18,28
Investments,"1,295","1,114","1,198","1,322","1,066","1,256","1,205","1,157","1,047",914,"1,401","2,949"
