--- ABOUT ---
"Global Health Limited is one of the largest private multi-specialty tertiary care providers operating in the North and East regions of India. The company has key specialties in cardiology and cardiac science, neurosciences, oncology, digestive and hepatobiliary sciences, orthopedics, liver transplant, and kidney and urology. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"34,033","1,266","1,456",61.1

Book Value,Dividend Yield,ROCE,ROE
147,0.04,17.1,15.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,707,780,844,836,809,861,957,943,931,"1,031","1,099","1,121","1,159"
Expenses +,540,595,631,620,629,675,728,706,707,784,868,904,915
Operating Profit,167,184,213,216,179,186,228,238,225,247,231,217,244
OPM %,24%,24%,25%,26%,22%,22%,24%,25%,24%,24%,21%,19%,21%
Other Income +,25,15,21,18,27,22,18,16,-27,20,36,-15,37
Interest,20,18,20,18,18,18,16,16,15,14,17,22,27
Depreciation,38,40,43,44,45,47,49,48,49,45,50,61,67
Profit before tax,133,141,171,172,143,144,181,189,133,208,200,120,187
Tax %,24%,28%,27%,28%,11%,26%,28%,24%,24%,24%,21%,21%,24%
Net Profit +,101,102,125,124,127,106,131,143,101,159,158,95,142
EPS in Rs,3.77,3.80,4.66,4.61,4.74,3.96,4.87,5.32,3.78,5.92,5.89,3.54,5.36
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,382","1,343","1,456","1,500","1,447","2,167","2,710","3,275","3,692","4,410"
Expenses +,"1,081","1,218","1,283","1,309","1,250","1,709","2,073","2,466","2,806","3,491"
Operating Profit,301,125,172,192,197,458,637,809,886,919
OPM %,22%,9%,12%,13%,14%,21%,24%,25%,24%,21%
Other Income +,45,49,50,44,31,39,49,75,29,98
Interest,14,28,38,57,73,86,86,84,74,79
Depreciation,70,86,102,115,123,130,150,173,194,223
Profit before tax,262,60,83,64,32,281,449,627,647,715
Tax %,35%,45%,38%,43%,11%,30%,27%,24%,26%,23%
Net Profit +,170,33,51,36,29,196,326,478,481,554
EPS in Rs,35.10,6.78,10.44,7.36,5.81,7.75,12.16,17.81,17.92,20.70
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,48,48,49,49,50,51,54,54,54,54
Reserves,976,"1,136","1,246","1,300","1,333","1,565","2,375","2,852","3,333","3,908"
Borrowings +,165,456,787,929,931,"1,109","1,122",802,718,"1,190"
Other Liabilities +,295,343,347,388,380,421,547,572,662,753
Total Liabilities,"1,485","1,984","2,430","2,666","2,694","3,146","4,097","4,280","4,766","5,905"
Fixed Assets +,914,"1,094","1,194","1,703","1,616","1,776","2,050","2,236","2,514","3,795"
CWIP,12,317,666,382,464,439,327,388,533,132
Investments,0,0,0,0,0,0,0,0,3,3
Other Assets +,559,573,570,581,615,930,"1,720","1,656","1,716","1,975"
Total Assets,"1,485","1,984","2,430","2,666","2,694","3,146","4,097","4,280","4,766","5,905"

--- CASH FLOW ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,228,63,166,175,242,311,645,612,624,714
Cash from Investing Activity +,-241,-69,-249,-87,-239,-421,-342,-441,-721,"-1,089"
Cash from Financing Activity +,-7,9,97,-1,-81,160,346,-514,-97,272
Net Cash Flow,-20,3,14,87,-78,50,648,-343,-194,-103
Free Cash Flow,71,-81,-133,-13,100,38,409,335,110,-263
CFO/OP,108%,93%,135%,121%,131%,89%,118%,98%,89%,91%

--- RATIOS ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,41,41,36,34,30,26,24,29,34
Inventory Days,28,26,26,43,42,36,35,32,28,29
Days Payable,92,124,142,147,138,90,114,90,81,89
Cash Conversion Cycle,-45,-56,-75,-67,-62,-24,-52,-34,-24,-26
Working Capital Days,-23,-33,-18,-31,-48,-20,-37,-32,-21,-7
ROCE %,,,6%,6%,5%,15%,17%,20%,20%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.07%,33.06%,33.05%,33.04%,33.04%,33.04%,33.03%,33.03%,33.01%,33.01%,33.01%,33.01%
FIIs +,10.58%,10.69%,11.36%,12.10%,12.94%,12.21%,12.48%,11.76%,11.54%,11.41%,10.54%,10.15%
DIIs +,10.79%,10.93%,11.15%,10.25%,10.57%,11.11%,10.51%,11.93%,12.20%,12.97%,13.99%,14.76%
Public +,45.55%,45.31%,44.45%,44.60%,43.44%,43.64%,43.98%,43.28%,43.19%,42.56%,42.41%,42.01%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,0.06%,0.08%
No. of Shareholders,"1,09,798","1,16,627","1,24,775","1,66,253","1,55,307","1,49,722","1,48,633","1,54,688","1,56,372","1,55,806","1,51,241","1,47,390"

--- CAGR BOXES ---




