--- ABOUT ---
"The company is one of the largest Indian footwear & accessories specialty retailers and are among the aspirational Indian brands in the footwear category.Its a one-stop shop for of branded products for the entire family, including men, women, unisex, and children, and for every occasion, including casual and formal events. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"28,281","1,038","1,340",68.8

Book Value,Dividend Yield,ROCE,ROE
73.1,0.53,20.2,22.2

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,544,583,556,636,583,576,585,703,643,628,651,811,773
Expenses +,401,396,400,437,424,396,431,478,446,434,480,546,535
Operating Profit,144,187,155,199,159,180,155,225,197,194,171,265,238
OPM %,26%,32%,28%,31%,27%,31%,26%,32%,31%,31%,26%,33%,31%
Other Income +,19,14,16,16,26,23,24,24,23,29,28,17,32
Interest,18,18,20,20,20,21,22,23,24,24,29,29,29
Depreciation,50,54,57,59,59,60,62,66,70,69,78,80,84
Profit before tax,95,128,95,136,105,123,94,160,126,131,91,173,157
Tax %,28%,28%,29%,28%,-48%,25%,24%,41%,24%,24%,24%,25%,25%
Net Profit +,69,94,68,99,156,92,72,95,95,99,69,130,118
EPS in Rs,2.52,3.42,2.45,3.60,5.71,3.37,2.56,3.48,3.48,3.62,2.49,4.71,4.28
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,732,803,910,"1,075","1,217","1,285",800,"1,343","2,127","2,357","2,507","2,864"
Expenses +,600,663,758,848,880,930,625,930,"1,447","1,653","1,748","1,996"
Operating Profit,132,140,152,227,337,355,175,412,680,704,759,867
OPM %,18%,17%,17%,21%,28%,28%,22%,31%,32%,30%,30%,30%
Other Income +,6,7,9,8,19,23,76,55,53,69,93,106
Interest,1,1,0,0,34,40,45,50,63,79,90,111
Depreciation,12,13,16,20,94,121,122,134,181,229,258,311
Profit before tax,125,133,144,215,228,218,85,283,489,465,504,551
Tax %,34%,34%,35%,34%,34%,27%,23%,25%,26%,11%,30%,25%
Net Profit +,82,87,95,142,153,161,65,214,365,415,354,416
EPS in Rs,55.83,57.67,61.80,94.39,11.13,11.80,2.57,7.79,13.30,15.17,12.88,15.09
Dividend Payout %,21%,22%,22%,21%,22%,25%,58%,29%,30%,33%,155%,40%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,15,133,133,133,136,136,136,136,136
Reserves,318,381,449,562,517,675,695,"1,129","1,412","1,728","1,573","1,857"
Borrowings +,8,3,3,6,424,549,567,692,943,"1,098","1,227","1,570"
Other Liabilities +,114,118,170,189,247,261,265,348,416,391,398,452
Total Liabilities,455,517,636,772,"1,322","1,617","1,659","2,305","2,906","3,353","3,334","4,015"
Fixed Assets +,122,135,172,185,593,708,724,848,"1,302","1,482","1,602","1,989"
CWIP,0,1,4,6,4,13,5,6,18,9,9,14
Investments,37,76,83,185,210,348,400,401,478,750,550,673
Other Assets +,296,305,377,397,515,548,532,"1,050","1,109","1,111","1,173","1,340"
Total Assets,455,517,636,772,"1,322","1,617","1,659","2,305","2,906","3,353","3,334","4,015"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,,82,155,196,273,265,220,381,590,698,474
Cash from Investing Activity +,,,-83,-94,-67,-163,-122,-301,-52,-251,122,-100
Cash from Financing Activity +,,,-1,-50,-132,-112,-127,116,-359,-323,-773,-436
Net Cash Flow,,,-1,10,-4,-1,16,35,-30,16,47,-62
Free Cash Flow,,,24,121,137,229,241,172,289,479,611,335
CFO/OP,,,87%,98%,82%,94%,163%,71%,77%,96%,110%,70%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,11,10,13,13,16,20,23,13,18,12,13,13
Inventory Days,230,218,221,214,243,241,293,284,276,274,228,259
Days Payable,92,82,89,108,129,129,207,141,126,99,81,84
Cash Conversion Cycle,148,146,145,119,129,132,109,155,168,186,160,188
Working Capital Days,79,75,66,55,65,43,25,41,56,52,58,147
ROCE %,39%,36%,32%,40%,31%,21%,9%,20%,24%,20%,19%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.20%,74.20%,74.17%,74.16%,74.16%,71.95%,71.93%,71.88%,71.87%,71.86%,71.83%,71.80%
FIIs +,2.61%,2.33%,2.69%,2.68%,3.05%,3.39%,3.43%,3.46%,3.65%,3.88%,3.81%,3.77%
DIIs +,5.72%,6.10%,5.98%,6.02%,5.59%,7.00%,7.18%,7.36%,7.39%,7.36%,7.51%,7.58%
Public +,17.45%,17.36%,17.16%,17.13%,17.19%,17.64%,17.47%,17.30%,17.09%,16.90%,16.84%,16.86%
No. of Shareholders,"63,451","62,690","58,872","62,653","64,470","71,258","68,342","67,176","64,907","61,324","60,189","59,425"

--- CAGR BOXES ---




