--- ABOUT ---
"Mahanagar Gas Ltd is engaged in the business of City gas distribution (CGD), presently supplying natural gas in the city of Mumbai including adjoining areas and the Raigad District in the state of Maharashtra. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,942","1,209","1,587",14.2

Book Value,Dividend Yield,ROCE,ROE
651,2.48,18.1,13.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,610","1,538","1,571","1,569","1,613","1,666","1,786","1,847","1,964","2,083","2,050","2,060","2,052"
Expenses +,"1,221","1,017","1,092","1,120","1,218","1,229","1,373","1,523","1,570","1,583","1,714","1,709","1,794"
Operating Profit,390,521,479,449,395,437,413,325,394,500,336,351,258
OPM %,24%,34%,30%,29%,24%,26%,23%,18%,20%,24%,16%,17%,13%
Other Income +,34,39,44,48,44,36,47,42,42,32,29,30,29
Interest,2,3,2,3,6,3,3,3,4,5,5,6,5
Depreciation,64,62,66,68,81,83,84,91,93,96,104,104,106
Profit before tax,357,496,454,426,352,386,373,272,339,431,256,271,176
Tax %,25%,26%,25%,26%,26%,25%,23%,19%,27%,26%,25%,26%,26%
Net Profit +,269,368,338,317,261,289,287,221,247,319,191,201,130
EPS in Rs,27.21,37.30,34.27,32.11,26.38,29.24,29.03,22.40,25.01,32.26,19.37,20.36,13.15
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"6,299","6,290","7,264","8,246"
Expenses +,"5,115","4,446","5,695","6,800"
Operating Profit,"1,184","1,844","1,569","1,446"
OPM %,19%,29%,22%,18%
Other Income +,112,175,167,120
Interest,9,13,14,21
Depreciation,231,277,352,410
Profit before tax,"1,056","1,728","1,370","1,135"
Tax %,25%,26%,24%,26%
Net Profit +,790,"1,285","1,040",841
EPS in Rs,79.98,130.06,105.34,85.15
Dividend Payout %,20%,23%,28%,35%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,99,99,99,99
Reserves,"4,035","5,040","5,781","6,329"
Borrowings +,115,141,201,223
Other Liabilities +,"1,783","1,974","2,189","2,331"
Total Liabilities,"6,032","7,253","8,270","8,981"
Fixed Assets +,"3,026","4,235","4,854","5,392"
CWIP,709,823,"1,068","1,270"
Investments,"1,310","1,069","1,162","1,148"
Other Assets +,988,"1,126","1,186","1,171"
Total Assets,"6,032","7,253","8,270","8,981"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,969,"1,568","1,406","1,162"
Cash from Investing Activity +,-649,"-1,057","-1,052",-888
Cash from Financing Activity +,-285,-499,-332,-369
Net Cash Flow,35,11,22,-95
Free Cash Flow,257,786,229,88
CFO/OP,104%,108%,107%,99%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,17,17,18,20
Inventory Days,3,4,4,4
Days Payable,26,35,34,31
Cash Conversion Cycle,-7,-13,-11,-7
Working Capital Days,-63,-72,-66,-10
ROCE %,,34%,23%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%,32.50%
FIIs +,32.38%,30.51%,30.85%,30.54%,31.49%,34.20%,25.75%,23.76%,25.48%,23.59%,24.89%,24.13%
DIIs +,15.15%,16.10%,17.23%,17.40%,16.67%,15.46%,21.10%,23.82%,22.52%,22.89%,20.83%,21.01%
Government +,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%
Public +,9.96%,10.89%,9.43%,9.55%,9.32%,7.84%,10.64%,9.92%,9.50%,11.01%,11.79%,12.34%
No. of Shareholders,"1,54,383","1,53,582","1,41,617","1,49,718","1,47,540","1,42,738","1,73,905","1,67,650","1,66,589","1,78,576","1,79,761","1,84,373"

--- CAGR BOXES ---




