--- ABOUT ---
"Incorporated in 1979, Mirza International Ltd is a manufacturer & exporter of finished leather, Footwear and trader of footwear and apparels and allied products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
462,33.4,44.0 / 24.8,

Book Value,Dividend Yield,ROCE,ROE
40.7,0.00,-1.84,-3.20

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,161,128,209,142,152,144,201,114,122,142,164,118,103
Expenses +,152,118,197,126,140,133,185,111,116,129,152,120,109
Operating Profit,9,9,12,15,12,11,17,3,6,13,13,-1,-7
OPM %,6%,7%,6%,11%,8%,7%,8%,3%,5%,9%,8%,-1%,-7%
Other Income +,5,3,3,2,1,0,0,1,0,19,1,1,1
Interest,3,2,2,4,3,2,3,4,3,2,2,2,1
Depreciation,6,7,6,7,8,8,7,8,8,8,8,8,8
Profit before tax,5,3,6,6,1,1,7,-8,-4,22,3,-10,-15
Tax %,34%,15%,38%,25%,14%,41%,20%,-27%,6%,17%,30%,-26%,-10%
Net Profit +,3,2,4,4,1,1,6,-6,-4,18,2,-7,-13
EPS in Rs,0.23,0.18,0.29,0.32,0.09,0.05,0.43,-0.41,-0.32,1.29,0.16,-0.53,-0.96
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,287,289,936,972,"1,152","1,261","1,049","1,399",653,630,581,527
Expenses +,258,286,775,797,"1,009","1,089",930,"1,223",590,582,546,509
Operating Profit,29,3,161,175,143,172,119,176,63,49,35,18
OPM %,10%,1%,17%,18%,12%,14%,11%,13%,10%,8%,6%,3%
Other Income +,21,27,1,-1,3,2,0,18,8,8,3,21
Interest,14,15,26,25,34,46,41,23,10,12,11,8
Depreciation,8,9,29,32,35,63,67,58,26,28,31,31
Profit before tax,28,6,107,118,76,64,12,113,36,17,-4,-0
Tax %,37%,44%,33%,33%,36%,26%,30%,23%,26%,27%,-7%,850%
Net Profit +,18,3,72,78,49,48,8,86,26,12,-3,-1
EPS in Rs,1.90,0.35,5.96,6.52,4.06,3.97,0.69,7.19,1.91,0.87,-0.24,-0.04
Dividend Payout %,26%,86%,15%,14%,22%,23%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,19,19,24,24,24,24,24,28,28,28,28,28
Reserves,107,113,478,548,588,604,614,481,506,525,537,535
Borrowings +,112,113,156,283,357,288,140,49,45,35,48,15
Other Liabilities +,62,63,106,146,147,344,392,174,151,131,122,114
Total Liabilities,300,308,764,"1,002","1,115","1,260","1,170",732,729,719,734,692
Fixed Assets +,118,124,354,357,409,585,568,361,399,392,415,389
CWIP,18,30,2,25,5,11,8,4,1,11,2,5
Investments,2,6,1,1,1,1,2,7,7,8,9,9
Other Assets +,163,148,408,619,701,663,592,360,322,308,308,288
Total Assets,300,308,764,"1,002","1,115","1,260","1,170",732,729,719,734,692

--- CASH FLOW ---
,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,29,,114,-24,35,228,238,-4,47,50,28,44
Cash from Investing Activity +,-19,,-36,-59,-67,-63,-41,55,-53,-25,-29,10
Cash from Financing Activity +,-10,,-82,89,26,-157,-201,-12,-32,-22,1,-41
Net Cash Flow,-1,,-5,6,-6,8,-3,39,-39,3,1,13
Free Cash Flow,9,,80,-83,-33,165,196,51,-7,19,-16,55
CFO/OP,151%,,91%,6%,45%,144%,200%,-3%,93%,115%,87%,245%

--- RATIOS ---
,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,45,39,26,50,49,41,28,15,48,46,42,48
Inventory Days,218,180,192,291,240,214,264,70,155,149,171,164
Days Payable,59,58,29,65,45,50,68,47,91,73,73,69
Cash Conversion Cycle,204,161,189,275,244,206,224,38,113,121,140,142
Working Capital Days,150,123,70,82,76,61,91,28,91,90,96,122
ROCE %,18%,9%,,19%,12%,12%,6%,20%,7%,5%,1%,-2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.77%,71.76%,71.77%,71.39%,71.27%,71.27%,71.27%,71.27%,71.27%,71.37%,72.99%,72.99%
FIIs +,2.40%,1.38%,0.47%,0.34%,0.34%,0.30%,0.17%,0.14%,0.14%,0.14%,0.25%,0.17%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,25.83%,26.85%,27.75%,28.27%,28.38%,28.44%,28.55%,28.57%,28.58%,28.46%,26.75%,26.82%
No. of Shareholders,"91,500","87,644","87,980","87,833","84,125","81,943","81,079","83,184","81,699","83,053","78,777","77,176"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,-13%
3 Years:,-7%
TTM:,-9%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,-314%

Stock Price CAGR
10 Years:,11%
5 Years:,35%
3 Years:,-13%
1 Year:,7%

Return on Equity
10 Years:,6%
5 Years:,4%
3 Years:,-1%
Last Year:,-3%

