--- ABOUT ---
"Incorporated in 2005, Mittal Lifestyle Ltd operates as a supplier of denim and garment products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
44.4,1.00,1.83,26.4

Book Value,Dividend Yield,ROCE,ROE
1.45,0.00,6.20,2.75

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,13.29,19.49,18.08,21.27,21.48,24.95,21.51,23.33
Expenses +,12.89,18.48,17.20,20.50,21.14,22.99,18.98,21.22
Operating Profit,0.40,1.01,0.88,0.77,0.34,1.96,2.53,2.11
OPM %,3.01%,5.18%,4.87%,3.62%,1.58%,7.86%,11.76%,9.04%
Other Income +,1.02,0.02,0.00,-0.12,0.19,0.00,0.00,1.19
Interest,0.01,0.06,0.10,0.00,0.09,0.02,0.48,0.63
Depreciation,0.32,0.27,0.27,0.14,0.33,0.52,0.67,1.10
Profit before tax,1.09,0.70,0.51,0.51,0.11,1.42,1.38,1.57
Tax %,34.86%,37.14%,33.33%,-11.76%,72.73%,31.69%,39.86%,70.70%
Net Profit +,0.70,0.44,0.34,0.58,0.03,0.97,0.83,0.46
EPS in Rs,0.02,0.01,0.01,0.01,0.00,0.02,0.02,0.01
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,72.02,91.45
Expenses +,69.06,84.33
Operating Profit,2.96,7.12
OPM %,4.11%,7.79%
Other Income +,1.02,1.19
Interest,0.17,1.21
Depreciation,0.99,2.62
Profit before tax,2.82,4.48
Tax %,16.67%,48.88%
Net Profit +,2.34,2.29
EPS in Rs,0.05,0.05
Dividend Payout %,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,44.39,44.39
Reserves,13.27,19.92
Borrowings +,4.28,18.96
Other Liabilities +,5.25,26.82
Total Liabilities,67.19,110.09
Fixed Assets +,13.75,60.75
CWIP,0.00,0.00
Investments,13.31,13.04
Other Assets +,40.13,36.30
Total Assets,67.19,110.09

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,-3.09,
Cash from Investing Activity +,-17.38,
Cash from Financing Activity +,24.42,
Net Cash Flow,3.95,
Free Cash Flow,-16.32,
CFO/OP,-90%,

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,148.65,106.85
Inventory Days,27.46,8.39
Days Payable,26.14,116.10
Cash Conversion Cycle,149.97,-0.86
Working Capital Days,199.68,33.33
ROCE %,,6.20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.96%,63.32%,48.98%,37.49%,37.49%,37.49%,37.49%,34.85%,34.05%,34.05%,34.05%,34.05%
Public +,32.04%,36.68%,51.02%,62.51%,62.51%,62.51%,62.51%,65.15%,65.95%,65.95%,65.95%,65.95%
No. of Shareholders,"13,201","12,681","31,258","62,701","65,858","73,039","93,306","95,177","94,839","93,333","91,288","90,849"

--- CAGR BOXES ---




