--- ABOUT ---
"Mahindra & Mahindra Ltd is one of the most diversified automobile company in India with presence across 2-wheelers, 3-wheelers, PVs, CVs, tractors & earthmovers. It also has presence across financial services, auto components, hospitality, infrastructure, retail, logistics, steel trading and processing, IT businesses, agri, aerospace, consulting services, defence, energy and industrial equipment through its subsidiaries and group companies. It was incorporated in 1945 by Ghulam Mohammad and two Mahindra Brothers (KC & JC Mahindra) and was later renamed as Mahindra & Mahindra in 1948. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,82,360","3,075","3,840",21.6

Book Value,Dividend Yield,ROCE,ROE
749,1.07,15.4,20.8

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"32,456","33,892","34,436","35,299","35,452","37,218","37,924","41,470","42,599","45,529","46,106","52,100","54,982"
Expenses +,"26,798","27,642","28,706","29,075","28,848","29,975","30,790","33,239","34,658","37,301","37,166","41,939","44,855"
Operating Profit,"5,658","6,249","5,730","6,224","6,604","7,243","7,133","8,231","7,942","8,228","8,940","10,160","10,127"
OPM %,17%,18%,17%,18%,19%,19%,19%,20%,19%,18%,19%,20%,18%
Other Income +,662,"1,065",812,756,750,733,"1,126",719,"1,110","1,395","1,134",976,"1,137"
Interest,"1,634","1,719","1,835","1,945","1,989","2,108","2,217","2,362","2,397","2,431","2,347","2,405","2,407"
Depreciation,"1,194","1,128","1,139","1,123","1,335","1,248","1,302","1,495","2,029","1,548","1,669","2,163","1,943"
Profit before tax,"3,492","4,468","3,568","3,912","4,030","4,621","4,740","5,092","4,627","5,644","6,058","6,569","6,914"
Tax %,14%,18%,30%,24%,22%,23%,29%,29%,23%,22%,35%,24%,24%
Net Profit +,"2,998","3,684","2,484","2,977","3,125","3,546","3,361","3,624","3,542","4,377","3,964","5,021","5,260"
EPS in Rs,21.20,28.21,18.88,21.38,22.15,26.40,25.50,25.58,26.50,32.84,29.54,37.59,37.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"71,448","75,841","83,773","92,094","104,721","75,382","74,278","90,171","121,362","139,078","159,211","198,639"
Expenses +,"62,655","65,759","73,038","78,868","89,514","65,224","62,791","75,488","101,037","114,186","128,693","161,077"
Operating Profit,"8,793","10,082","10,735","13,226","15,207","10,158","11,487","14,683","20,325","24,892","30,518","37,561"
OPM %,12%,13%,13%,14%,15%,13%,15%,16%,17%,18%,19%,19%
Other Income +,800,"1,399","2,077","4,366","2,676",885,"1,152","3,204","3,922","3,298","3,718","4,536"
Interest,"3,157","3,368","3,648","3,987","5,021","6,021","6,102","5,018","5,830","7,488","9,083","9,591"
Depreciation,"2,124","2,442","2,813","3,280","3,991","3,367","3,378","3,508","4,357","4,724","6,074","7,322"
Profit before tax,"4,313","5,672","6,350","10,326","8,871","1,655","3,158","9,362","14,060","15,978","19,080","25,185"
Tax %,40%,37%,36%,23%,32%,119%,52%,23%,19%,23%,26%,26%
Net Profit +,"3,381","3,554","4,051","7,958","6,017",-321,"1,512","7,253","11,374","12,270","14,073","18,622"
EPS in Rs,25.26,25.35,29.77,60.41,42.76,1.02,14.58,52.91,82.68,90.62,103.97,137.50
Dividend Payout %,23%,21%,22%,11%,17%,205%,54%,20%,18%,21%,22%,22%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,296,270,311,543,544,554,555,556,557,557,558,559
Reserves,"25,561","26,222","29,467","36,232","39,439","39,415","41,027","46,567","55,809","65,633","76,481","92,538"
Borrowings +,"37,911","41,553","48,762","55,898","70,848","82,092","80,625","77,605","92,647","108,647","129,025","133,963"
Other Liabilities +,"30,608","31,806","35,296","43,696","51,057","43,655","42,762","47,661","55,270","59,884","69,950","90,575"
Total Liabilities,"94,376","99,852","113,835","136,369","161,889","165,716","164,968","172,388","204,283","234,722","276,013","317,635"
