--- ABOUT ---
"Incorporated in 1983, MMP Industries Ltd manufactures and sells aluminium  powder products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
686,270,320,17.8

Book Value,Dividend Yield,ROCE,ROE
136,0.74,12.5,11.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,144,151,126,141,160,156,145,168,223,183,188,203,250
Expenses +,132,140,119,128,146,138,134,152,205,171,175,186,228
Operating Profit,11,12,7,13,14,17,11,17,18,13,13,18,22
OPM %,8%,8%,6%,9%,9%,11%,8%,10%,8%,7%,7%,9%,9%
Other Income +,1,2,2,2,3,2,2,2,1,-15,2,3,10
Interest,1,1,2,2,2,2,3,3,3,3,3,4,4
Depreciation,2,2,2,2,2,2,2,3,3,3,3,3,3
Profit before tax,9,10,6,11,13,15,8,14,14,-8,9,14,25
Tax %,23%,21%,19%,21%,21%,23%,29%,22%,24%,-30%,21%,21%,27%
Net Profit +,7,8,5,9,10,11,6,11,11,-5,7,11,18
EPS in Rs,2.71,3.16,1.84,3.52,3.94,4.46,2.30,4.27,4.28,-2.13,2.76,4.50,7.08
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,157,180,203,243,261,242,231,448,538,579,692,824
Expenses +,144,161,182,213,231,215,205,406,503,532,628,759
Operating Profit,13,19,21,30,29,27,26,42,35,46,64,65
OPM %,9%,11%,10%,12%,11%,11%,11%,9%,7%,8%,9%,8%
Other Income +,0,1,5,1,6,3,3,5,3,9,7,-0
Interest,6,7,4,4,3,2,2,4,4,7,10,13
Depreciation,2,2,2,2,2,3,5,6,7,8,10,11
Profit before tax,6,12,20,24,30,24,22,37,27,40,51,40
Tax %,37%,34%,28%,37%,26%,24%,22%,22%,22%,21%,24%,23%
Net Profit +,4,9,17,19,23,19,17,29,21,32,39,31
EPS in Rs,3.12,7.16,13.88,10.18,8.90,7.31,6.87,11.41,8.39,12.46,15.31,12.21
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,15%,9%,12%,12%,10%,16%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,8,12,17,25,25,25,25,25,25,25
Reserves,15,26,46,89,157,165,184,213,232,264,298,321
Borrowings +,43,39,41,38,23,17,30,52,58,93,156,185
Other Liabilities +,21,21,19,24,25,27,33,45,43,53,69,94
Total Liabilities,87,95,114,163,221,234,272,335,358,435,549,625
Fixed Assets +,34,37,37,37,44,90,112,147,160,183,223,250
CWIP,2,1,1,0,25,17,29,4,15,27,28,38
Investments,1,7,16,20,21,19,22,29,32,42,48,54
Other Assets +,50,51,61,106,131,107,109,155,151,182,250,282
Total Assets,87,95,114,163,221,234,272,335,358,435,549,625

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,6,14,14,14,10,18,36,19,33,43,57,53
Cash from Investing Activity +,-12,-3,-11,-6,-76,-7,-27,-19,-24,-42,-51,-55
Cash from Financing Activity +,5,-10,-1,22,43,-3,-1,0,-7,-3,5,-7
Net Cash Flow,-0,1,2,31,-23,8,7,-0,2,-2,11,-9
Free Cash Flow,-6,11,18,12,-26,-24,1,3,3,-1,6,4
CFO/OP,59%,86%,92%,73%,71%,92%,151%,61%,107%,101%,102%,92%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64,55,62,68,60,57,62,42,30,36,47,39
Inventory Days,62,54,49,40,48,78,116,84,76,92,95,88
Days Payable,48,27,24,21,26,28,33,23,16,19,19,26
Cash Conversion Cycle,78,82,86,87,82,108,144,103,90,109,123,102
Working Capital Days,2,7,17,30,41,63,63,46,37,36,30,23
ROCE %,,26%,23%,24%,20%,13%,11%,15%,10%,13%,14%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%,74.48%
FIIs +,7.19%,6.05%,5.96%,5.07%,5.07%,0.00%,0.03%,0.02%,0.07%,0.00%,0.01%,0.02%
DIIs +,0.67%,0.47%,0.47%,0.47%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,17.65%,19.00%,19.08%,19.97%,19.97%,25.51%,25.49%,25.49%,25.45%,25.52%,25.51%,25.50%
No. of Shareholders,"5,196","4,483","5,004","7,874","7,702","9,991","9,605","9,374","10,326","10,731","10,940","10,750"

--- CAGR BOXES ---




