--- ABOUT ---
"Incorporated in 1971, Modi Rubber Ltd manufactures automobile tyres, tubes & flaps, resin coated sand and operates salons [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
316,126,168 / 98.4,494

Book Value,Dividend Yield,ROCE,ROE
270,0.00,0.63,0.09

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,3,5,5,7,5,5,6,10,7,7,8,7,12
Expenses +,7,8,8,11,13,9,10,16,14,12,12,15,21
Operating Profit,-4,-3,-3,-4,-8,-4,-4,-6,-7,-5,-4,-8,-9
OPM %,-156%,-69%,-64%,-56%,-141%,-68%,-60%,-55%,-105%,-72%,-53%,-104%,-76%
Other Income +,9,10,11,12,17,12,14,11,10,11,10,14,-1
Interest,0,0,1,1,2,0,0,0,1,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,4,6,7,7,6,7,9,4,1,4,5,5,-11
Tax %,19%,38%,54%,20%,51%,8%,31%,-55%,18%,-9%,-0%,1%,22%
Net Profit +,3,4,3,6,3,7,6,6,1,5,5,5,-14
EPS in Rs,1.29,1.44,1.27,2.23,1.26,2.71,2.52,2.47,0.46,1.95,1.82,2.03,-5.54
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,143.78,146.37,5.15,5.93,5.24,4.89,2.77,5.13,5.32,22.44,29.20,34.25
Expenses +,118.98,127.16,19.53,26.05,21.19,20.20,16.70,26.92,24.80,40.55,49.64,60.21
Operating Profit,24.80,19.21,-14.38,-20.12,-15.95,-15.31,-13.93,-21.79,-19.48,-18.11,-20.44,-25.96
OPM %,17.25%,13.12%,-279.22%,-339.29%,-304.39%,-313.09%,-502.89%,-424.76%,-366.17%,-80.70%,-70.00%,-75.80%
Other Income +,8.88,11.37,39.56,61.13,32.98,19.59,20.97,52.52,53.49,50.72,47.88,34.69
Interest,0.14,0.21,0.47,0.51,0.58,0.61,0.64,0.59,0.48,3.61,1.99,1.68
Depreciation,6.25,6.90,1.32,3.22,3.34,2.97,2.68,2.60,2.12,2.92,3.52,4.29
Profit before tax,27.29,23.47,23.39,37.28,13.11,0.70,3.72,27.54,31.41,26.08,21.93,2.76
Tax %,41.77%,31.70%,-4.53%,58.80%,30.82%,432.86%,-23.92%,6.94%,11.94%,40.45%,6.70%,76.81%
Net Profit +,15.89,16.03,24.45,15.36,9.06,-2.33,4.62,25.63,27.66,15.53,20.46,0.64
EPS in Rs,6.35,6.40,9.76,6.13,3.62,-0.93,1.85,10.24,11.05,6.20,8.17,0.26
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.00,25.00,25.00,25.00
Reserves,300.48,313.58,369.83,381.04,391.31,381.65,408.80,594.00,613.31,629.86,662.51,650.52
Borrowings +,3.47,3.03,3.87,3.56,3.22,3.34,4.34,4.60,21.16,20.76,20.51,22.73
Other Liabilities +,53.79,51.31,40.64,39.76,33.83,30.15,21.63,63.23,66.84,68.87,62.88,72.67
Total Liabilities,382.78,392.96,439.38,449.40,453.40,440.18,459.81,686.87,726.31,744.49,770.90,770.92
Fixed Assets +,54.35,59.77,13.03,32.30,29.39,29.47,27.01,215.55,248.44,253.20,250.12,246.19
CWIP,11.03,7.36,19.05,0.00,0.00,0.00,0.25,1.67,10.26,9.52,0.00,0.00
Investments,185.75,186.79,291.08,311.64,346.67,343.15,370.35,402.52,376.82,390.36,411.43,402.27
Other Assets +,131.65,139.04,116.22,105.46,77.34,67.56,62.20,67.13,90.79,91.41,109.35,122.46
Total Assets,382.78,392.96,439.38,449.40,453.40,440.18,459.81,686.87,726.31,744.49,770.90,770.92

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-1.28,0.86,0.02,-13.33,21.39,4.33,-5.86,-24.64,-18.13,-22.35,-28.92,-23.44
Cash from Investing Activity +,9.29,-2.99,-3.48,24.92,-24.58,-6.32,1.55,26.60,24.47,25.03,35.98,25.71
Cash from Financing Activity +,-1.98,-2.00,0.74,-0.48,-0.63,-0.33,-0.82,-0.68,-0.68,-3.97,-5.52,0.04
Net Cash Flow,6.04,-4.13,-2.73,11.11,-3.82,-2.32,-5.13,1.28,5.67,-1.29,1.54,2.31
Free Cash Flow,-11.48,-9.98,-16.64,-14.87,20.91,2.95,-6.31,-29.43,-27.69,-21.47,-30.82,-23.80
CFO/OP,43%,62%,-28%,81%,-145%,-36%,64%,108%,74%,81%,115%,91%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,26.73,29.62,204.83,68.32,29.95,51.50,104.10,21.35,"1,240.45",364.67,296.88,262.16
Inventory Days,138.31,117.51,,,,,,82.21,95.72,105.29,71.29,0.00
Days Payable,110.23,96.12,,,,,,852.76,"1,132.01","1,210.12",971.43,
Cash Conversion Cycle,54.82,51.01,204.83,68.32,29.95,51.50,104.10,-749.21,204.16,-740.15,-603.27,262.16
Working Capital Days,0.43,11.97,-942.62,-890.65,"-1,827.79","-1,730.20","1,839.49",-589.83,-482.32,54.82,135.62,501.62
