--- ABOUT ---
"Incorporated in 1985, Moldtek Technologies Ltd provides Civil and Mechanical Engineering Design  Services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
388,135,221,38.5

Book Value,Dividend Yield,ROCE,ROE
44.5,0.74,10.6,8.21

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,42.56,36.68,40.07,41.75,42.24,39.29,43.08,33.60,29.88,33.29,40.23,52.67,55.49
Expenses +,28.58,27.68,27.69,30.71,32.69,31.81,30.74,30.86,32.92,32.82,35.79,47.23,54.46
Operating Profit,13.98,9.00,12.38,11.04,9.55,7.48,12.34,2.74,-3.04,0.47,4.44,5.44,1.03
OPM %,32.85%,24.54%,30.90%,26.44%,22.61%,19.04%,28.64%,8.15%,-10.17%,1.41%,11.04%,10.33%,1.86%
Other Income +,0.71,1.06,0.43,0.32,0.62,1.15,0.42,-0.29,2.73,1.97,1.53,1.23,3.53
Interest,0.27,0.18,0.23,0.31,0.21,0.21,0.19,0.15,0.14,0.13,0.12,0.12,0.26
Depreciation,1.17,1.43,1.62,1.67,1.66,1.66,1.75,1.59,1.52,1.50,1.51,1.50,1.46
Profit before tax,13.25,8.45,10.96,9.38,8.30,6.76,10.82,0.71,-1.97,0.81,4.34,5.05,2.84
Tax %,23.70%,25.68%,25.82%,25.27%,22.65%,23.22%,25.97%,23.94%,-20.81%,16.05%,25.35%,22.97%,19.72%
Net Profit +,10.11,6.28,8.13,7.01,6.42,5.18,8.00,0.54,-1.56,0.68,3.24,3.89,2.28
EPS in Rs,3.58,2.21,2.86,2.47,2.26,1.81,2.80,0.19,-0.55,0.24,1.12,1.35,0.79
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,47,53,65,74,89,101,83,98,147,161,146,182
Expenses +,37,46,56,64,70,81,68,78,105,119,126,170
Operating Profit,10,7,9,10,19,20,15,20,42,42,20,11
OPM %,21%,13%,14%,14%,21%,20%,18%,20%,29%,26%,14%,6%
Other Income +,1,4,3,0,2,1,5,3,2,2,4,8
Interest,1,1,1,1,1,1,1,0,1,1,1,1
Depreciation,2,2,3,3,4,6,5,4,5,6,7,6
Profit before tax,7,8,9,7,17,14,14,18,39,37,16,13
Tax %,25%,25%,28%,16%,28%,22%,29%,26%,25%,25%,25%,23%
Net Profit +,5,6,6,6,12,11,10,13,29,28,12,10
EPS in Rs,2.23,2.17,2.28,2.01,4.28,3.85,3.57,4.71,10.36,9.81,4.26,3.50
Dividend Payout %,32%,37%,26%,35%,33%,39%,39%,42%,29%,20%,23%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,5,6,6,6,6,6,6,6,6
Reserves,20,24,30,35,45,46,56,67,98,116,112,122
Borrowings +,7,8,5,2,3,5,4,6,7,10,7,5
Other Liabilities +,8,7,10,8,8,11,11,12,18,14,13,39
Total Liabilities,39,45,50,52,62,68,76,90,129,146,137,172
Fixed Assets +,18,19,21,20,22,23,22,25,35,38,34,53
CWIP,0,1,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,4,12,15,13,52,27
Other Assets +,21,25,29,31,40,45,51,54,80,94,50,92
Total Assets,39,45,50,52,62,68,76,90,129,146,137,172

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,2,9,3,7,17,17,15,34,33,24,15
Cash from Investing Activity +,-2,-1,-2,-2,-5,-3,-3,-7,-11,-5,-47,1
