--- ABOUT ---
"Mold-Tek Packaging is engaged in the manufacturing of injection-molded containers for lubes, paints, food and other products."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,320",698,893,36.5

Book Value,Dividend Yield,ROCE,ROE
146,0.57,22.2,17.8

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022
Sales +,104,117,114,101,106,65,119,134,161,134,160,160,178
Expenses +,86,98,94,82,88,56,93,106,129,108,128,129,146
Operating Profit,19,19,20,19,18,9,26,28,32,25,32,32,32
OPM %,18%,16%,18%,19%,17%,14%,22%,21%,20%,19%,20%,20%,18%
Other Income +,0,1,0,0,0,0,0,0,0,0,0,0,1
Interest,2,3,3,3,3,2,2,2,3,3,3,3,1
Depreciation,5,5,5,5,5,5,6,5,6,6,7,7,7
Profit before tax,12,13,13,11,11,2,18,20,24,17,23,22,25
Tax %,27%,27%,20%,21%,22%,28%,26%,26%,24%,27%,23%,25%,30%
Net Profit +,9,9,10,9,9,2,13,15,18,12,18,17,17
EPS in Rs,3.13,3.32,3.72,3.13,3.09,0.53,4.76,5.28,6.50,4.32,6.24,5.51,5.54
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,267,301,346,405,438,479,631
Expenses +,221,251,284,335,361,384,511
Operating Profit,46,50,62,70,77,95,121
OPM %,17%,17%,18%,17%,18%,20%,19%
Other Income +,0,1,1,1,1,1,2
Interest,1,2,5,8,10,10,9
Depreciation,8,10,13,16,19,22,26
Profit before tax,37,38,45,48,48,64,87
Tax %,34%,37%,38%,33%,23%,25%,26%
Net Profit +,24,24,28,32,37,48,64
EPS in Rs,8.55,8.57,9.87,11.32,13.23,17.27,20.37
Dividend Payout %,37%,41%,40%,35%,37%,41%,39%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,14,14,14,14,14,14,16
Reserves,115,139,160,178,184,242,441
Borrowings +,29,54,98,112,118,108,44
Other Liabilities +,46,39,41,51,48,72,73
Total Liabilities,204,246,314,355,363,436,574
Fixed Assets +,81,108,133,191,202,239,262
CWIP,9,10,15,16,12,12,15
Investments,3,11,10,10,7,9,17
Other Assets +,111,117,156,138,142,177,281
Total Assets,204,246,314,355,363,436,574

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,38,23,7,83,60,61,2
Cash from Investing Activity +,-24,-34,-42,-76,-26,-51,-55
Cash from Financing Activity +,-14,11,35,-8,-34,-10,57
Net Cash Flow,0,-0,0,-0,0,0,4
Free Cash Flow,14,-17,-36,7,34,2,-51
CFO/OP,83%,72%,34%,138%,94%,80%,18%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,75,75,89,63,49,69,83
Inventory Days,65,88,116,84,89,113,108
Days Payable,39,35,40,33,32,51,32
Cash Conversion Cycle,101,128,166,114,106,130,159
Working Capital Days,50,44,30,1,1,16,105
ROCE %,,22%,21%,19%,19%,22%,22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.31%,33.09%,32.86%,32.76%,32.76%,32.69%,32.90%,33.03%,33.08%,33.07%,33.07%,33.19%
FIIs +,18.00%,17.82%,16.03%,14.14%,14.44%,13.12%,12.15%,10.97%,10.68%,10.93%,10.36%,9.69%
DIIs +,18.63%,18.48%,19.22%,22.18%,22.74%,23.67%,22.04%,20.08%,19.65%,19.80%,20.12%,20.95%
Public +,30.06%,30.61%,31.89%,30.92%,30.04%,30.51%,32.91%,35.92%,36.58%,36.18%,36.45%,36.17%
No. of Shareholders,"76,839","80,425","84,358","74,724","71,084","69,490","69,972","69,501","67,088","72,335","70,055","67,072"

--- CAGR BOXES ---




