--- ABOUT ---
"Morepen Laboratories Ltd is engaged in the business of manufacturing, producing, developing and marketing a wide range of Active Pharmaceutical Ingredients (APIs), branded and generic formulations and also the Home Health products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,712",49.5,66.4,36.4

Book Value,Dividend Yield,ROCE,ROE
22.8,0.40,8.05,6.20

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,364,401,422,445,423,455,438,453,466,425,412,484,485
Expenses +,348,375,388,394,375,404,394,417,424,401,381,438,460
Operating Profit,16,26,34,51,48,52,44,36,42,24,31,46,24
OPM %,4%,7%,8%,11%,11%,11%,10%,8%,9%,6%,7%,10%,5%
Other Income +,3,2,3,4,4,3,5,5,5,4,30,4,8
Interest,1,0,0,2,1,1,1,1,5,4,4,4,4
Depreciation,7,8,8,8,10,6,2,5,16,9,11,10,6
Profit before tax,11,21,29,44,42,48,46,35,26,16,46,35,23
Tax %,26%,29%,26%,27%,32%,25%,24%,24%,21%,26%,10%,22%,33%
Net Profit +,8,15,21,32,29,36,35,27,20,11,41,28,16
EPS in Rs,0.16,0.29,0.42,0.63,0.55,0.71,0.64,0.49,0.37,0.20,0.75,0.50,0.29
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,401,485,595,607,769,853,"1,188","1,547","1,418","1,690","1,812","1,806"
Expenses +,352,424,534,542,701,785,"1,070","1,410","1,338","1,532","1,638","1,680"
Operating Profit,48,62,61,65,68,69,119,137,80,159,174,126
OPM %,12%,13%,10%,11%,9%,8%,10%,9%,6%,9%,10%,7%
Other Income +,1,-3,4,4,4,9,12,10,6,14,18,47
Interest,9,10,8,4,2,2,2,-7,2,4,8,16
Depreciation,39,35,34,34,40,37,30,28,28,33,29,36
Profit before tax,2,13,24,30,29,39,99,127,56,135,155,120
Tax %,6%,-1%,0%,0%,1%,14%,1%,20%,31%,29%,24%,20%
Net Profit +,2,13,24,30,29,34,97,102,39,97,118,96
EPS in Rs,0.05,0.28,0.53,0.66,0.64,0.75,2.16,2.13,0.76,1.88,2.15,1.73
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,12%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,90,90,90,90,90,90,90,96,102,102,110,110
Reserves,78,91,106,136,163,194,335,483,651,745,"1,047","1,137"
Borrowings +,201,187,169,134,132,133,17,19,25,29,105,208
Other Liabilities +,121,156,173,226,230,246,416,473,332,417,517,482
Total Liabilities,489,524,538,586,615,663,858,"1,070","1,110","1,293","1,778","1,936"
Fixed Assets +,322,297,272,264,236,216,225,252,267,307,489,513
CWIP,0,0,0,0,0,0,2,14,17,24,28,22
Investments,0,0,0,0,0,1,1,0,0,1,85,124
Other Assets +,167,227,266,321,379,446,631,804,827,960,"1,176","1,277"
Total Assets,489,524,538,586,615,663,858,"1,070","1,110","1,293","1,778","1,936"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,51,50,41,63,17,11,51,-60,-91,73,32,33
Cash from Investing Activity +,-32,-27,-14,-27,-13,-12,-70,-32,-47,-83,-322,-123
Cash from Financing Activity +,-19,-27,-24,-38,-0,5,47,66,144,5,300,97
Net Cash Flow,-0,-4,3,-1,4,4,28,-26,6,-5,10,7
Free Cash Flow,46,41,31,37,6,-6,10,-127,-137,-8,-182,-127
CFO/OP,105%,81%,66%,98%,26%,25%,44%,-26%,-94%,70%,40%,46%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,51,66,57,73,64,59,56,59,68,70,65,67
Inventory Days,55,51,65,76,69,91,82,96,87,85,94,88
Days Payable,126,140,125,173,124,113,98,90,87,101,114,103
Cash Conversion Cycle,-20,-23,-3,-24,9,37,40,65,69,54,45,53
