--- ABOUT ---
Madras Rubber Factory Limited (MRF) is the parent company of the MRF Group. The Co is engaged in the business of manufacturing tyres [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"54,560","1,28,645","1,63,600",22.1

Book Value,Dividend Yield,ROCE,ROE
"49,455",0.18,15.7,12.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"5,842","6,440","6,217","6,162","6,349","7,196","6,881","7,001","7,075","7,676","7,379","8,050","8,044"
Expenses +,"4,988","5,310","5,060","5,108","5,437","6,037","5,870","6,166","6,000","6,604","6,253","6,651","6,739"
Operating Profit,854,"1,130","1,157","1,055",912,"1,160","1,011",835,"1,074","1,071","1,126","1,400","1,305"
OPM %,15%,18%,19%,17%,14%,16%,15%,12%,15%,14%,15%,17%,16%
Other Income +,70,75,71,78,94,84,113,98,115,126,108,50,153
Interest,92,84,86,90,93,85,84,94,98,98,90,91,86
Depreciation,330,333,351,360,385,396,410,415,433,429,445,438,442
Profit before tax,501,787,791,682,527,763,631,424,659,670,699,920,930
Tax %,32%,25%,26%,25%,25%,25%,25%,26%,23%,25%,25%,25%,24%
Net Profit +,341,589,587,510,396,571,471,315,510,500,526,695,702
EPS in Rs,803.19,"1,388.20","1,383.27","1,201.83",933.96,"1,346.40","1,109.85",743.79,"1,203.70","1,180.05","1,239.40","1,637.78","1,655.82"
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Sep 2014,Mar 2016 18m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"13,329","20,179","13,412","14,954","16,062","16,237","16,162","19,317","23,008","25,169","28,152","31,149"
Expenses +,"11,384","15,743","10,763","12,665","13,744","13,855","13,208","17,256","20,604","20,896","24,058","26,248"
Operating Profit,"1,945","4,437","2,649","2,288","2,317","2,382","2,954","2,061","2,404","4,272","4,095","4,901"
OPM %,15%,22%,20%,15%,14%,15%,18%,11%,10%,17%,15%,16%
Other Income +,63,317,327,330,416,335,205,315,245,306,406,441
Interest,232,361,257,259,273,301,282,263,326,361,368,366
Depreciation,424,737,611,707,808,982,"1,141","1,205","1,253","1,430","1,654","1,754"
Profit before tax,"1,353","3,656","2,109","1,653","1,652","1,434","1,737",908,"1,070","2,787","2,479","3,222"
Tax %,33%,31%,30%,32%,32%,1%,26%,26%,28%,25%,25%,25%
Net Profit +,908,"2,509","1,486","1,132","1,131","1,423","1,277",669,769,"2,081","1,869","2,426"
EPS in Rs,"2,141.71","5,916.93","3,504.33","2,668.20","2,665.82","3,354.22","3,011.15","1,577.96","1,813.04","4,907.26","4,407.54","5,720.45"
Dividend Payout %,2%,2%,2%,2%,2%,3%,5%,10%,10%,4%,5%,4%

--- BALANCE SHEET ---
,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,"4,535","7,220","8,637","9,734","10,833","12,210","13,409","14,028","14,703","16,699","18,484","20,970"
Borrowings +,"1,903","2,464","2,333","2,163","2,506","1,854","2,388","3,229","3,014","2,822","3,771","3,207"
Other Liabilities +,"3,391","3,566","4,075","4,577","5,098","5,373","6,780","5,799","6,648","7,325","7,307","7,772"
