--- ABOUT ---
"Incorporated in 1988, Nahar Poly Films Ltd manufactures transparent & metalized Flexible Packaging Films [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
621,253,369 / 200,7.88

Book Value,Dividend Yield,ROCE,ROE
353,0.40,10.7,9.45

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,149,156,137,154,153,168,169,173,157,197,172,167,168
Expenses +,137,153,121,154,151,153,146,158,133,169,145,147,136
Operating Profit,12,3,16,-0,2,15,23,15,23,28,28,20,31
OPM %,8%,2%,12%,-0%,1%,9%,13%,9%,15%,14%,16%,12%,19%
Other Income +,1,2,3,2,4,2,6,4,7,3,6,12,4
Interest,3,3,3,3,3,3,3,2,2,2,2,2,2
Depreciation,8,8,8,8,8,8,8,8,8,8,8,8,8
Profit before tax,1,-6,8,-9,-5,6,17,9,20,20,23,22,25
Tax %,24%,2%,8%,-5%,-61%,29%,33%,23%,34%,27%,30%,26%,21%
Net Profit +,4,-2,12,-5,1,8,17,8,14,18,21,19,20
EPS in Rs,1.62,-0.91,4.95,-2.11,0.37,3.38,7.08,3.05,5.75,7.42,8.45,7.86,8.34
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,302,260,255,252,266,277,303,489,723,600,666,704
Expenses +,262,215,223,232,252,235,238,370,642,579,590,597
Operating Profit,39,45,31,20,14,42,66,119,82,21,76,107
OPM %,13%,17%,12%,8%,5%,15%,22%,24%,11%,4%,11%,15%
Other Income +,2,2,2,3,1,4,5,4,5,11,18,24
Interest,13,8,5,3,1,0,0,3,12,12,10,8
Depreciation,22,22,22,14,2,2,2,6,32,32,32,32
Profit before tax,7,17,7,6,12,44,68,114,42,-12,51,91
Tax %,46%,36%,-25%,33%,32%,27%,25%,25%,26%,-24%,31%,26%
Net Profit +,11,15,19,11,12,37,63,98,43,6,47,79
EPS in Rs,4.51,6.10,7.66,4.66,4.97,15.16,25.46,39.74,17.57,2.31,19.27,32.06
Dividend Payout %,0%,8%,7%,11%,10%,7%,6%,6%,9%,66%,5%,5%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,197,210,394,444,445,378,513,900,767,786,789,854
Borrowings +,91,45,30,22,0,4,58,173,163,126,96,79
Other Liabilities +,9,15,9,8,11,10,69,58,36,34,51,54
Total Liabilities,309,282,445,487,468,404,653,"1,144",979,959,948,"1,000"
Fixed Assets +,89,67,45,32,31,29,28,293,269,237,210,180
CWIP,0,0,0,0,0,21,172,2,0,0,0,22
Investments,157,162,338,387,387,279,366,715,568,623,588,611
Other Assets +,63,53,62,67,50,75,87,135,142,98,150,186
Total Assets,309,282,445,487,468,404,653,"1,144",979,959,948,"1,000"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,24,24,23,18,40,94,-24,110,17,57,50
Cash from Investing Activity +,,-0,-0,-1,-6,-40,-136,-92,-37,-11,-3,-25
Cash from Financing Activity +,,-24,-23,-22,-11,-1,42,115,-41,-38,-41,-38
Net Cash Flow,,-0,0,0,1,-1,1,-0,32,-33,13,-13
Free Cash Flow,,24,24,22,17,19,-58,-125,103,16,51,26
CFO/OP,,60%,89%,137%,150%,119%,168%,-0%,148%,90%,84%,68%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,39,47,48,29,12,14,21,13,15,17,12
Inventory Days,16,16,30,30,30,37,40,75,34,35,39,55
Days Payable,7,7,12,10,11,11,118,11,8,9,9,11
Cash Conversion Cycle,47,48,64,68,48,39,-65,86,40,42,47,56
Working Capital Days,7,29,39,44,46,77,-2,57,18,23,40,34
ROCE %,,9%,3%,2%,3%,10%,14%,14%,5%,-0%,6%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.85%,71.05%,71.08%,71.48%,71.88%,71.88%,71.88%,72.22%,72.24%,72.28%,72.28%,72.51%
