--- ABOUT ---
"Incorporated in 1981, National Aluminium Company Limited (NALCO) manufactures and sells Alumina and Aluminium [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"69,057",376,445 / 180,11.9

Book Value,Dividend Yield,ROCE,ROE
118,2.79,39.6,29.4

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,671","3,179","3,043","3,348","3,579","2,856","4,001","4,662","5,268","3,807","4,292","4,731","5,013"
Expenses +,"2,931","2,600","2,666","2,592","2,491","1,935","2,469","2,351","2,525","2,329","2,370","2,558","2,663"
Operating Profit,740,579,378,756,"1,088",921,"1,533","2,311","2,743","1,478","1,923","2,173","2,349"
OPM %,20%,18%,12%,23%,30%,32%,38%,50%,52%,39%,45%,46%,47%
Other Income +,55,48,69,50,511,61,72,99,126,124,151,194,202
Interest,1,2,4,2,9,3,4,19,32,8,8,60,24
Depreciation,255,170,186,154,240,174,180,286,88,178,174,182,211
Profit before tax,539,455,256,650,"1,350",804,"1,420","2,105","2,748","1,415","1,892","2,126","2,316"
Tax %,8%,27%,27%,28%,26%,27%,26%,26%,25%,26%,24%,25%,26%
Net Profit +,495,334,187,471,997,588,"1,046","1,566","2,067","1,049","1,430","1,595","1,722"
EPS in Rs,2.70,1.82,1.02,2.56,5.43,3.20,5.70,8.53,11.26,5.71,7.79,8.69,9.38
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"7,383","6,817","7,543","9,509","11,499","8,472","8,956","14,181","14,257","13,149","16,788","17,843"
Expenses +,"5,510","5,858","6,464","8,113","8,607","7,985","7,174","9,665","11,917","10,348","9,280","9,915"
Operating Profit,"1,873",959,"1,079","1,397","2,893",487,"1,782","4,516","2,340","2,801","7,508","7,928"
OPM %,25%,14%,14%,15%,25%,6%,20%,32%,16%,21%,45%,44%
Other Income +,821,659,368,"1,124",327,273,147,298,234,678,357,666
Interest,167,3,3,2,2,6,7,23,13,17,59,100
Depreciation,414,426,480,480,476,530,606,837,716,750,728,745
Profit before tax,"2,113","1,189",964,"2,039","2,741",224,"1,316","3,954","1,845","2,712","7,078","7,749"
Tax %,37%,34%,31%,34%,37%,39%,1%,25%,22%,27%,26%,25%
Net Profit +,"1,322",787,668,"1,342","1,734",136,"1,299","2,951","1,435","1,988","5,268","5,797"
EPS in Rs,5.13,3.05,3.45,6.94,9.29,0.73,7.07,16.07,7.81,10.83,28.68,31.56
Dividend Payout %,34%,65%,81%,82%,62%,205%,49%,40%,58%,46%,37%,33%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"1,289","1,289",966,966,933,933,918,918,918,918,918,918
Reserves,"11,509","11,906","9,239","9,537","9,552","9,054","9,761","11,634","12,208","13,470","16,887","20,685"
Borrowings +,0,0,51,45,67,12,102,77,105,96,182,60
Other Liabilities +,"3,380","3,515","4,245","4,064","4,596","4,549","3,928","4,646","4,396","4,751","4,895","4,881"
Total Liabilities,"16,178","16,710","14,501","14,613","15,147","14,548","14,709","17,276","17,627","19,235","22,882","26,544"
Fixed Assets +,"6,645","6,596","7,144","7,139","7,286","7,485","7,660","7,343","7,303","7,383","7,748","7,650"
CWIP,550,688,566,915,883,"1,427","1,575","2,235","3,269","4,573","4,936","6,296"
Investments,950,"1,011","1,260",710,257,331,560,375,359,342,774,533
Other Assets +,"8,032","8,416","5,531","5,849","6,722","5,306","4,913","7,322","6,696","6,938","9,424","12,065"
Total Assets,"16,178","16,710","14,501","14,613","15,147","14,548","14,709","17,276","17,627","19,235","22,882","26,544"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,520,881,"1,436","1,590","2,409",-349,"2,199","3,958",908,"2,719","5,806","6,438"
