--- ABOUT ---
"Nava Bharat Ventures Ltd was established in 1972 as an Indian ferro alloys manufacturer, Nava Bharat is now a multinational company, operating in India, South East Asia and Africa with businesses in metals manufacturing, power, mining, agribusiness and healthcare. [1] It owns Ferro Alloy facilities which are situated in Paloncha (Telangana) and Kharagprasad (Odisha). It also owns power generation capacity of 434 MW from its 8 thermal power plants located in different states of India. [2] Its 65% owned subsidiary Maamba Collieries Ltd is Zambia’s largest coal mine concessionaire, which also led to the development of a 300 MW power plant in Zambia which represents 10% of Zambia’s total installed power generation capacity. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,606",622,739,22.4

Book Value,Dividend Yield,ROCE,ROE
309,1.29,13.0,9.63

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,881,"1,042",922,930,924,"1,222",900,842,"1,018","1,193",964,991,"1,143"
Expenses +,534,506,563,520,542,632,487,393,637,605,648,549,772
Operating Profit,347,536,359,410,382,590,414,450,382,588,315,443,371
OPM %,39%,51%,39%,44%,41%,48%,46%,53%,37%,49%,33%,45%,32%
Other Income +,117,37,40,180,27,36,45,32,37,39,26,70,52
Interest,91,80,95,46,53,9,7,6,5,1,3,1,7
Depreciation,78,78,78,81,82,86,88,88,90,90,94,116,91
Profit before tax,295,416,226,464,274,531,363,388,324,536,244,396,325
Tax %,-16%,18%,15%,-0%,7%,16%,9%,9%,7%,25%,27%,18%,58%
Net Profit +,341,343,193,465,255,446,332,353,303,399,178,326,136
EPS in Rs,8.50,9.00,5.11,11.31,7.11,12.26,8.65,8.63,8.28,10.88,4.58,7.84,4.49
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,814","1,612","1,350","2,348","2,946","2,759","2,548","3,348","3,528","3,818","3,984","4,291"
Expenses +,"1,504","1,246","1,163","1,555","1,585","1,565","1,479","2,029","1,959","2,087","2,148","2,574"
Operating Profit,310,366,187,793,"1,361","1,194","1,070","1,319","1,569","1,731","1,835","1,717"
OPM %,17%,23%,14%,34%,46%,43%,42%,39%,44%,45%,46%,40%
Other Income +,113,85,135,69,35,10,246,211,400,242,150,186
Interest,112,88,72,246,362,319,348,338,397,275,26,12
Depreciation,79,84,90,228,276,294,300,295,306,319,352,391
Profit before tax,233,280,159,388,757,590,668,896,"1,266","1,379","1,607","1,501"
Tax %,10%,-6%,42%,28%,55%,10%,18%,36%,3%,9%,11%,31%
Net Profit +,209,297,93,278,339,531,551,573,"1,222","1,256","1,434","1,039"
EPS in Rs,5.77,7.94,2.44,6.66,7.73,11.22,13.53,17.84,42.10,32.52,38.57,27.80
Dividend Payout %,22%,9%,21%,11%,10%,7%,9%,17%,7%,6%,21%,20%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,36,36,36,35,30,29,29,29,28,28
Reserves,"2,894","3,205","3,127","3,349","3,653","4,150","4,382","4,924","5,996","6,880","7,583","8,717"
Borrowings +,"1,538","3,708","4,389","4,008","3,438","3,492","3,392","3,587","3,074",414,893,"2,226"
Other Liabilities +,"1,463",792,890,838,"1,213","1,605","1,832","2,161","2,014","2,346","2,758","3,401"
Total Liabilities,"5,912","7,722","8,441","8,230","8,340","9,283","9,636","10,701","11,114","9,668","11,262","14,372"
Fixed Assets +,"2,065","2,156","2,148","6,143","5,965","6,019","5,639","5,546","5,664","5,559","5,528","5,753"
CWIP,"2,247","3,574","3,969",10,6,17,17,17,47,50,575,"2,185"
Investments,106,57,411,175,155,124,314,529,450,514,"1,042","1,408"
