--- ABOUT ---
"Incorporated in 2005. Nibe Ltd is in the business of manufacturing critical components for Defence, E-Vehicles and Software Development."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,771","1,815","1,836",492

Book Value,Dividend Yield,ROCE,ROE
233,0.07,4.79,1.94

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,63,26,41,63,152,110,136,149,113,82,73,59,260
Expenses +,58,23,35,56,133,95,118,142,93,75,78,69,208
Operating Profit,5,3,6,7,19,15,18,7,19,8,-4,-10,51
OPM %,8%,12%,14%,11%,13%,14%,13%,5%,17%,9%,-6%,-16%,20%
Other Income +,-3,0,0,2,1,1,1,2,1,1,1,1,2
Interest,1,1,1,2,2,2,2,2,2,2,2,4,7
Depreciation,1,1,1,1,3,4,5,5,4,5,7,8,8
Profit before tax,0,1,4,6,15,11,12,2,15,2,-13,-22,37
Tax %,664%,43%,27%,21%,31%,28%,26%,-1%,41%,42%,-26%,-13%,26%
Net Profit +,-0,1,3,4,10,8,9,2,9,1,-10,-19,28
EPS in Rs,-0.38,0.69,2.39,3.34,8.31,6.02,6.38,1.45,5.34,1.31,-5.82,-11.76,19.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,105,282,507,474
Expenses +,93,246,448,430
Operating Profit,12,36,60,45
OPM %,11%,13%,12%,9%
Other Income +,-2,4,5,4
Interest,3,7,8,15
Depreciation,4,6,17,30
Profit before tax,3,26,40,4
Tax %,52%,29%,31%,98%
Net Profit +,2,19,27,0
EPS in Rs,1.34,14.11,18.70,3.77
Dividend Payout %,7%,7%,7%,34%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,13,14,15
Reserves,63,148,218,333
Borrowings +,49,73,77,120
Other Liabilities +,30,82,133,185
Total Liabilities,153,316,442,653
Fixed Assets +,35,119,138,203
CWIP,10,22,33,62
Investments,1,17,10,1
Other Assets +,107,158,261,386
Total Assets,153,316,442,653

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-31,18,25,-35
Cash from Investing Activity +,-56,-124,-60,-77
Cash from Financing Activity +,96,111,30,127
Net Cash Flow,9,5,-5,15
Free Cash Flow,-87,-95,-43,-120
CFO/OP,-255%,58%,55%,-45%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,123,54,109,178
Inventory Days,52,44,11,43
Days Payable,20,46,76,129
Cash Conversion Cycle,155,53,43,92
Working Capital Days,95,54,46,51
ROCE %,,16%,16%,5%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,55.32%,49.96%,49.96%,49.96%,53.08%,53.08%,53.08%,53.74%,54.93%,55.01%,53.39%,52.27%
FIIs +,3.88%,10.43%,11.03%,9.58%,7.80%,8.27%,8.72%,7.81%,4.77%,5.99%,8.67%,11.01%
DIIs +,0.87%,0.78%,0.78%,0.74%,0.49%,0.46%,0.45%,0.59%,0.70%,0.35%,0.35%,0.45%
Public +,39.91%,38.83%,38.23%,39.70%,38.64%,38.19%,37.76%,37.85%,39.60%,38.67%,37.59%,36.26%
No. of Shareholders,"5,421","7,276","16,238","23,900","31,136","33,460","35,000","44,466","44,278","43,018","42,288","44,117"

--- CAGR BOXES ---




