--- ABOUT ---
NRB Bearings have pioneered in the manufacturing of needle roller bearings in India since 1965. More than 90% of the vehicles running on Indian roads are running on bearings manufactured by NRB. The Company is engaged in the business of manufacturing ball and roller bearings having its applications in automotive sector as well as across all mobility applications.

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,151",428,456,28.1

Book Value,Dividend Yield,ROCE,ROE
99.3,1.86,18.6,15.7

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,312,272,279,258,285,289,302,279,329,310,325,328,372
Expenses +,248,227,233,223,237,247,250,234,269,259,272,267,305
Operating Profit,64,45,46,36,47,42,52,45,60,51,54,60,67
OPM %,21%,17%,16%,14%,17%,15%,17%,16%,18%,17%,16%,18%,18%
Other Income +,-5,-1,5,192,12,5,10,2,-45,9,14,-3,7
Interest,7,6,6,6,4,3,3,3,2,3,2,2,2
Depreciation,10,11,11,11,11,11,12,12,12,13,13,14,16
Profit before tax,41,28,34,211,44,33,48,32,1,45,52,41,56
Tax %,15%,31%,27%,21%,28%,23%,25%,31%,284%,27%,21%,29%,25%
Net Profit +,35,19,25,166,32,26,36,22,-1,33,41,29,42
EPS in Rs,3.57,1.91,2.48,17.09,3.22,2.57,3.64,2.20,-0.21,3.31,4.19,2.95,4.27
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,669,673,726,855,965,776,762,943,"1,057","1,094","1,199","1,335"
Expenses +,545,562,608,686,779,689,658,796,881,918,999,"1,103"
Operating Profit,124,111,117,169,186,86,105,147,176,176,199,232
OPM %,19%,17%,16%,20%,19%,11%,14%,16%,17%,16%,17%,17%
Other Income +,4,3,8,12,22,16,15,10,12,205,-27,27
Interest,19,18,18,15,16,22,23,18,20,22,11,9
Depreciation,31,32,32,31,35,33,31,37,41,43,48,57
Profit before tax,78,64,75,135,157,47,66,102,128,316,113,194
Tax %,31%,32%,30%,31%,30%,29%,16%,26%,25%,24%,27%,25%
Net Profit +,54,43,53,93,110,33,56,76,96,242,82,146
EPS in Rs,5.49,4.33,5.33,9.36,11.17,3.31,5.58,7.56,9.70,24.71,8.20,14.73
Dividend Payout %,27%,32%,26%,28%,23%,24%,9%,26%,10%,17%,83%,54%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,235,260,285,359,451,438,498,569,648,841,899,943
Borrowings +,327,311,275,216,280,359,253,302,329,178,187,154
Other Liabilities +,153,142,144,195,197,167,186,183,215,201,201,239
Total Liabilities,735,732,723,789,948,983,956,"1,074","1,212","1,239","1,306","1,356"
Fixed Assets +,258,259,247,260,322,364,359,358,351,337,377,422
CWIP,4,5,9,15,15,16,10,11,28,43,40,43
Investments,0,0,6,14,13,12,12,34,36,44,58,74
Other Assets +,473,468,461,500,598,591,575,671,796,815,832,818
Total Assets,735,732,723,789,948,983,956,"1,074","1,212","1,239","1,306","1,356"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,71,92,85,133,71,102,158,16,61,115,84,241
Cash from Investing Activity +,-24,-10,-25,-46,-89,-65,-32,-50,-44,100,-60,-120
Cash from Financing Activity +,-25,-79,-69,-96,36,9,-129,22,-13,-222,-29,-140
Net Cash Flow,22,4,-10,-9,17,46,-3,-12,4,-7,-5,-18
Free Cash Flow,53,73,58,94,-21,37,122,-14,21,66,2,136
CFO/OP,80%,102%,95%,100%,66%,133%,164%,28%,56%,86%,61%,126%

--- RATIOS ---
