--- ABOUT ---
Nalwa Sons Investments Ltd is a non-NBFC Company engaged in the business of investing in shares and granting loans to the group companies. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,947","5,732","8,778 / 4,659",54.0

Book Value,Dividend Yield,ROCE,ROE
"29,541",0.00,0.48,0.34

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,9.58,25.17,26.65,25.66,10.92,39.65,59.75,13.55,12.28,37.09,24.73,11.94,27.38
Expenses +,1.21,1.32,1.09,5.29,6.20,0.90,15.27,2.39,43.05,4.33,3.34,0.65,17.88
Operating Profit,8.37,23.85,25.56,20.37,4.72,38.75,44.48,11.16,-30.77,32.76,21.39,11.29,9.50
OPM %,87.37%,94.76%,95.91%,79.38%,43.22%,97.73%,74.44%,82.36%,-250.57%,88.33%,86.49%,94.56%,34.70%
Other Income +,0.01,0.30,0.53,0.31,0.06,0.06,0.90,0.00,0.47,0.03,1.62,-0.02,0.01
Interest,0.41,0.15,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.21,0.02,0.17
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,7.97,24.00,26.09,20.68,4.78,38.81,45.37,11.12,-30.31,32.78,22.79,11.24,9.33
Tax %,30.11%,30.83%,20.81%,16.39%,63.18%,24.74%,22.75%,26.44%,-12.74%,21.35%,21.59%,33.10%,40.94%
Net Profit +,5.57,16.59,20.66,17.28,1.75,29.20,35.05,8.18,-26.45,25.78,17.86,7.52,5.51
EPS in Rs,11.29,33.88,38.88,33.55,3.25,56.77,68.14,15.89,-49.86,50.21,30.61,14.58,10.71
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,31,30,34,36,43,59,67,97,134,89,125,101
Expenses +,17,6,12,26,19,50,21,17,8,14,61,26
Operating Profit,13,24,22,10,24,9,46,80,125,75,64,76
OPM %,43%,80%,65%,29%,56%,16%,68%,82%,94%,84%,51%,75%
Other Income +,0,1,0,0,60,0,2,0,0,1,1,1
Interest,0,0,0,0,0,0,0,0,1,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,13,24,22,11,84,9,48,80,124,76,65,76
Tax %,9%,23%,18%,19%,7%,-110%,9%,18%,26%,25%,29%,26%
Net Profit +,12,19,18,8,79,19,43,66,93,56,46,57
EPS in Rs,23.54,36.53,36.47,22.21,151.96,38.18,83.74,128.64,177.02,109.56,90.94,106.13
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,5,5,5,5,5,5,5,5,5
Reserves,318,334,354,365,443,"3,182","5,101","7,934","7,988","12,600","16,678","15,168"
Borrowings +,31,33,32,33,1,2,0,0,0,0,0,3
Other Liabilities +,43,44,44,42,32,208,663,"1,477","1,448","1,951","2,264","2,009"
Total Liabilities,397,416,436,445,481,"3,397","5,769","9,417","9,442","14,556","18,947","17,184"
Fixed Assets +,0,0,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,167,197,232,235,254,"3,141","5,492","9,079","9,081","14,148","18,507","16,744"
Other Assets +,230,220,203,210,227,256,277,338,361,407,440,440
Total Assets,397,416,436,445,481,"3,397","5,769","9,417","9,442","14,556","18,947","17,184"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,17,18,24,22,25,20,50,42,72,41,62,49
