--- ABOUT ---
"Founded in 2017, Ola Electric Mobility Limited is an electric vehicle company that primarily manufactures electric vehicles and core components for electric vehicles. These components include battery packs, motors, and vehicle frames, all produced at the Ola Futurefactory. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"19,555",42.2,71.2,

Book Value,Dividend Yield,ROCE,ROE
7.60,0.00,-19.6,-43.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,243",873,"1,296","1,598","1,644","1,214","1,045",611,828,690,470,265
Expenses +,"1,461","1,308","1,597","1,910","1,849","1,593","1,505","1,306","1,065",893,741,546
Operating Profit,-218,-435,-301,-312,-205,-379,-460,-695,-237,-203,-271,-281
OPM %,-18%,-50%,-23%,-20%,-12%,-31%,-44%,-114%,-29%,-29%,-58%,-106%
Other Income +,34,49,71,73,51,100,127,117,68,66,34,39
Interest,36,46,43,61,67,84,93,122,94,109,80,77
Depreciation,47,92,103,116,126,132,138,170,165,172,170,177
Profit before tax,-267,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487,-496
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
Net Profit +,-267,-524,-376,-416,-347,-495,-564,-870,-428,-418,-487,-500
EPS in Rs,-1.37,-2.68,-1.92,-2.13,-1.45,-1.12,-1.28,-1.97,-0.97,-0.95,-1.10,-1.13
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,1,373,"2,631","5,010","4,514","2,253"
Expenses +,278,"1,174","3,883","6,276","6,249","3,225"
Operating Profit,-277,-800,"-1,252","-1,266","-1,735",-972
OPM %,"-32,228%",-214%,-48%,-25%,-38%,-43%
Other Income +,98,83,55,226,391,207
Interest,1,18,108,187,366,380
Depreciation,20,49,167,358,566,684
Profit before tax,-199,-784,"-1,472","-1,584","-2,276","-1,829"
Tax %,0%,0%,0%,0%,0%,0%
Net Profit +,-199,-784,"-1,472","-1,584","-2,276","-1,833"
EPS in Rs,"-199,230.00",-4.01,-7.53,-8.10,-5.16,-4.16
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,"1,955","1,955","1,955","4,411","4,411"
Reserves,"1,971",-98,"-1,409","-2,909",732,"-1,060"
Borrowings +,42,"2,608","3,505","5,684","3,556","2,763"
Other Liabilities +,100,931,"1,521","3,006","2,376","1,674"
Total Liabilities,"2,113","5,396","5,573","7,735","11,075","7,788"
Fixed Assets +,104,"1,025","1,219","2,491","3,154","3,352"
CWIP,43,83,507,713,702,496
Investments,455,"1,102",276,64,40,0
Other Assets +,"1,510","3,186","3,571","4,468","7,179","3,940"
Total Assets,"2,113","5,396","5,573","7,735","11,075","7,788"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-252,-885,"-1,507",-633,"-2,391",-775
Cash from Investing Activity +,549,"-1,322",-319,"-1,136","-2,864","2,002"
Cash from Financing Activity +,3,"3,085",659,"1,590","5,429","-1,201"
Net Cash Flow,300,878,"-1,167",-179,174,26
Free Cash Flow,-360,"-1,772","-2,350","-1,845","-3,367","-1,301"
CFO/OP,90%,111%,121%,49%,137%,80%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,161,15,12,12,1,5
Inventory Days,,216,83,58,77,63
Days Payable,,271,98,112,94,159
Cash Conversion Cycle,161,-40,-4,-43,-16,-91
Working Capital Days,"-37,922",-249,-93,-120,-33,-185
ROCE %,,-24%,-30%,-32%,-28%,-20%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,36.78%,36.78%,36.78%,36.78%,36.78%,34.59%,34.59%,32.96%
FIIs +,4.18%,2.11%,2.89%,4.47%,3.24%,4.08%,4.00%,5.12%
DIIs +,5.16%,4.55%,2.93%,2.87%,6.78%,7.28%,7.01%,11.24%
Public +,48.41%,51.25%,52.14%,50.70%,48.33%,49.21%,49.64%,46.13%
Others +,5.48%,5.33%,5.27%,5.18%,4.87%,4.83%,4.75%,4.53%
No. of Shareholders,"14,25,352","15,69,436","16,72,130","16,72,492","19,37,916","19,91,261","19,53,658","19,74,228"

--- CAGR BOXES ---




