--- ABOUT ---
"Omaxe ltd. is in the business of developing real estate properties for residential, commercial and retail purposes with a presence across 27 cities in 8 states of India. It has undertaken various projects in the areas of contractual construction, township development, building of commercial complexes, multi-storied apartments, etc. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,429",78.2,110,

Book Value,Dividend Yield,ROCE,ROE
-49.3,0.00,-110,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,289,213,266,599,536,342,389,289,541,282,321,302,349
Expenses +,399,306,333,637,682,493,613,416,647,452,490,457,550
Operating Profit,-109,-93,-67,-37,-146,-151,-224,-127,-106,-170,-169,-155,-202
OPM %,-38%,-43%,-25%,-6%,-27%,-44%,-58%,-44%,-20%,-60%,-53%,-51%,-58%
Other Income +,9,7,4,3,7,44,9,11,12,16,26,17,28
Interest,26,31,29,32,38,42,45,57,51,67,65,54,70
Depreciation,16,16,10,15,14,7,7,10,12,7,8,9,10
Profit before tax,-143,-132,-103,-82,-191,-157,-267,-183,-157,-228,-216,-201,-254
Tax %,-27%,-19%,-18%,-12%,-25%,-6%,-10%,-18%,-5%,-19%,-23%,-24%,-25%
Net Profit +,-104,-106,-84,-72,-144,-147,-239,-150,-149,-186,-166,-153,-191
EPS in Rs,-5.77,-5.81,-4.61,-3.66,-7.93,-8.06,-13.10,-8.23,-8.11,-10.16,-9.11,-8.38,-10.46
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,414","1,386","1,627","1,839","1,167","1,121",476,618,773,"1,614","1,561","1,253"
Expenses +,"1,180","1,144","1,343","1,579","1,038",924,594,665,"1,077","1,958","2,169","1,949"
Operating Profit,234,242,284,260,128,198,-119,-47,-303,-343,-608,-696
OPM %,17%,17%,17%,14%,11%,18%,-25%,-8%,-39%,-21%,-39%,-56%
Other Income +,34,54,59,59,34,28,39,20,25,21,76,86
Interest,144,147,155,169,74,108,161,121,113,130,195,255
Depreciation,14,10,9,9,9,73,63,47,65,54,37,35
Profit before tax,110,139,179,141,79,44,-305,-194,-457,-507,-764,-899
Tax %,46%,45%,41%,39%,38%,319%,-23%,-17%,-23%,-20%,-10%,-22%
Net Profit +,60,77,105,85,49,-97,-235,-162,-351,-406,-685,-697
EPS in Rs,3.28,4.20,5.58,4.59,2.68,-5.32,-12.86,-8.72,-19.02,-22.01,-37.51,-38.10
Dividend Payout %,15%,17%,13%,15%,26%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,183,183,183,183,183,183,183,183,183,183,183,183
Reserves,"1,794","1,848","1,936","2,014","1,558","1,456","1,222","1,062",715,298,-388,"-1,084"
Borrowings +,"1,346","1,328","1,503","1,802","1,856","1,672","1,530","1,128","1,107",796,796,"1,466"
Other Liabilities +,"3,585","4,353","4,704","4,129","7,163","7,239","8,108","9,545","11,555","12,546","14,300","15,958"
Total Liabilities,"6,908","7,712","8,326","8,128","10,760","10,549","11,042","11,918","13,560","13,822","14,891","16,522"
Fixed Assets +,118,600,604,604,599,747,671,627,582,565,606,170
