--- ABOUT ---
"Incorporated in 1971, Om Infra Ltd specializes in providing solutions for Hydro Mechanical Equipment for Hydropower & Irrigation projects, end-to-end solutions for water connectivity, hydro batteries, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
847,88.0,146,41.2

Book Value,Dividend Yield,ROCE,ROE
79.2,0.45,4.70,2.73

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,346.66,266.80,279.80,271.51,295.71,169.49,238.43,132.80,171.94,104.34,123.79,111.82,160.10
Expenses +,325.72,246.58,238.52,269.33,270.08,152.22,221.08,130.94,188.23,105.09,117.08,105.28,144.37
Operating Profit,20.94,20.22,41.28,2.18,25.63,17.27,17.35,1.86,-16.29,-0.75,6.71,6.54,15.73
OPM %,6.04%,7.58%,14.75%,0.80%,8.67%,10.19%,7.28%,1.40%,-9.47%,-0.72%,5.42%,5.85%,9.83%
Other Income +,19.34,1.34,9.98,19.58,8.26,1.62,3.77,12.57,18.04,5.25,1.55,5.89,5.20
Interest,8.75,5.69,6.42,7.80,16.24,4.87,6.88,3.73,6.68,4.79,4.60,4.96,4.81
Depreciation,2.51,1.69,1.47,1.91,1.57,1.48,1.42,1.35,1.36,1.11,1.12,1.24,1.36
Profit before tax,29.02,14.18,43.37,12.05,16.08,12.54,12.82,9.35,-6.29,-1.40,2.54,6.23,14.76
Tax %,73.12%,0.00%,45.58%,49.29%,80.10%,0.00%,69.34%,50.37%,-336.25%,-29.29%,-175.98%,-29.70%,56.23%
Net Profit +,7.64,14.29,23.68,6.14,3.15,12.53,3.93,4.64,14.79,-0.98,7.01,8.08,6.46
EPS in Rs,0.79,1.48,2.46,0.64,0.32,1.30,0.41,0.48,1.54,-0.10,0.65,0.84,0.67
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,335,239,244,306,213,187,236,313,799,"1,114",713,500
Expenses +,278,168,198,238,174,173,192,269,762,"1,035",692,472
Operating Profit,57,71,45,68,39,14,44,44,38,79,20,28
OPM %,17%,30%,19%,22%,18%,8%,19%,14%,5%,7%,3%,6%
Other Income +,17,17,12,24,17,35,13,22,30,39,36,18
Interest,24,35,22,19,20,25,26,36,28,25,22,19
Depreciation,9,10,11,12,10,9,8,8,7,7,6,5
Profit before tax,40,43,25,61,26,15,22,22,32,86,28,22
Tax %,29%,32%,35%,28%,41%,0%,61%,11%,60%,45%,-27%,7%
Net Profit +,28,29,13,39,16,15,9,26,13,47,36,21
EPS in Rs,2.94,3.03,1.36,4.06,1.64,1.58,0.92,2.75,1.34,4.91,3.73,2.13
Dividend Payout %,7%,10%,15%,9%,15%,13%,43%,9%,37%,0%,11%,23%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,526,652,590,619,622,604,617,652,673,714,736,753
Borrowings +,256,235,126,128,109,113,133,140,149,91,71,86
Other Liabilities +,102,166,122,96,356,394,414,398,708,642,606,616
Total Liabilities,894,"1,062",848,853,"1,096","1,120","1,174","1,199","1,540","1,456","1,423","1,464"
Fixed Assets +,344,483,173,164,135,141,135,147,505,503,497,499
CWIP,17,5,1,5,3,5,4,9,11,1,2,2
Investments,62,24,109,95,95,77,83,79,45,47,40,56
Other Assets +,471,551,565,589,865,897,952,965,979,905,884,907
Total Assets,894,"1,062",848,853,"1,096","1,120","1,174","1,199","1,540","1,456","1,423","1,464"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,62,128,-18,90,-10,-21,17,19,25,83,6,-4
Cash from Investing Activity +,-32,-138,21,-15,15,9,15,21,-285,1,43,-19
