--- ABOUT ---
Incorporated in One Point One Solutions Ltd is a customized Business Process Management service provider. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,533",58.3,66.0,39.0

Book Value,Dividend Yield,ROCE,ROE
17.0,0.00,10.9,9.22

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,36,36,40,42,52,61,62,66,67,69,71,77,96
Expenses +,27,27,26,27,38,44,45,50,55,54,54,58,74
Operating Profit,9,8,14,15,15,17,17,16,12,15,17,19,22
OPM %,24%,23%,34%,35%,28%,28%,27%,24%,18%,22%,24%,24%,23%
Other Income +,3,3,1,0,1,1,2,5,7,5,5,2,4
Interest,1,2,1,1,1,2,1,2,2,2,2,2,3
Depreciation,6,5,5,6,6,7,6,7,7,7,7,7,8
Profit before tax,5,5,8,8,9,9,11,11,10,12,13,13,14
Tax %,38%,38%,29%,29%,26%,20%,26%,27%,16%,20%,25%,32%,28%
Net Profit +,3,3,6,6,7,8,8,8,9,9,10,9,10
EPS in Rs,0.16,0.14,0.30,0.29,0.32,0.35,0.33,0.33,0.33,0.36,0.37,0.33,0.39
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,96,121,153,125,102,132,140,170,256,313
Expenses +,80,97,124,97,94,103,107,118,194,241
Operating Profit,16,24,29,28,8,28,33,51,62,73
OPM %,17%,20%,19%,22%,8%,21%,24%,30%,24%,23%
Other Income +,0,0,0,-16,7,7,4,5,14,16
Interest,2,3,1,9,9,8,5,5,7,8
Depreciation,4,10,16,29,27,22,19,22,26,29
Profit before tax,10,12,12,-26,-21,5,13,30,43,52
Tax %,35%,19%,17%,-25%,-33%,37%,31%,29%,22%,26%
Net Profit +,7,9,10,-20,-14,3,9,21,33,38
EPS in Rs,5.80,0.50,0.53,-1.05,-0.74,0.18,0.47,1.04,1.26,1.45
Dividend Payout %,0%,9%,2%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,17,17,25,25,38,38,43,52,53
Reserves,16,51,61,32,18,9,18,97,352,394
Borrowings +,29,0,10,94,20,53,59,58,47,220
Other Liabilities +,12,19,28,19,104,20,22,55,48,170
Total Liabilities,58,88,115,170,168,119,136,253,501,837
Fixed Assets +,30,42,51,122,108,62,69,126,142,447
CWIP,0,0,20,0,0,0,0,0,0,73
Investments,0,0,0,0,0,0,0,0,199,59
Other Assets +,29,45,43,48,60,57,67,127,160,258
Total Assets,58,88,115,170,168,119,136,253,501,837

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,12,9,32,22,-2,27,22,27,28,121
Cash from Investing Activity +,-23,-22,-43,-98,-4,-3,-8,-100,-224,-196
Cash from Financing Activity +,12,16,9,77,5,-24,-14,58,192,123
Net Cash Flow,1,3,-2,1,-1,0,1,-15,-5,47
Free Cash Flow,-11,-13,-11,-76,-6,23,14,-15,8,-187
CFO/OP,75%,48%,126%,102%,-31%,95%,68%,55%,57%,189%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,102,77,79,96,70,101,149,105,113
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,79,102,77,79,96,70,101,149,105,113
Working Capital Days,20,55,4,10,3,-12,-1,80,121,106
ROCE %,,25%,17%,1%,-11%,16%,17%,22%,13%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.79%,67.79%,62.67%,67.79%,60.68%,60.64%,51.45%,52.37%,52.30%,52.30%,52.29%,52.30%
FIIs +,1.40%,1.15%,1.13%,2.02%,5.13%,3.19%,16.53%,16.14%,15.91%,13.55%,7.02%,6.15%
DIIs +,0.00%,1.36%,1.25%,0.69%,0.60%,0.60%,0.72%,0.52%,0.36%,0.19%,1.03%,1.00%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.81%,1.81%,1.81%,1.81%
Public +,30.81%,29.71%,34.94%,29.51%,33.60%,35.57%,31.29%,30.96%,29.63%,32.15%,37.85%,38.75%
No. of Shareholders,"14,751","17,013","21,331","26,860","34,656","56,594","52,793","70,196","68,779","67,432","62,210","58,358"

--- CAGR BOXES ---




