--- ABOUT ---
"Incorporated in 1968, Oricon Enterprises Ltd manufactures petrochemical products, trading, liquid colorants and real estate, preform, metal and plastic closures [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
886,56.4,73.1,57.5

Book Value,Dividend Yield,ROCE,ROE
73.3,0.89,2.08,1.28

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,17.86,139.16,29.08,64.98,31.37,31.50,17.61,24.25,7.44,7.78,5.26,17.66,15.22
Expenses +,29.91,124.65,35.90,72.99,40.77,39.64,24.69,31.46,18.87,18.47,13.66,24.94,41.42
Operating Profit,-12.05,14.51,-6.82,-8.01,-9.40,-8.14,-7.08,-7.21,-11.43,-10.69,-8.40,-7.28,-26.20
OPM %,-67.47%,10.43%,-23.45%,-12.33%,-29.96%,-25.84%,-40.20%,-29.73%,-153.63%,-137.40%,-159.70%,-41.22%,-172.14%
Other Income +,15.50,7.40,17.62,11.46,21.43,19.64,140.87,12.91,9.81,28.55,21.41,23.80,18.25
Interest,1.92,2.08,2.30,2.53,3.05,3.56,2.29,0.43,-0.06,0.30,0.27,0.17,0.21
Depreciation,2.12,8.67,1.87,1.60,2.64,1.90,1.77,1.63,0.41,0.92,0.76,0.58,0.58
Profit before tax,-0.59,11.16,6.63,-0.68,6.34,6.04,129.73,3.64,-1.97,16.64,11.98,15.77,-8.74
Tax %,-506.78%,23.03%,-6.33%,-257.35%,-110.09%,-22.68%,0.87%,12.09%,-99.49%,26.02%,26.63%,44.07%,-52.06%
Net Profit +,2.41,8.60,7.05,1.06,13.31,7.41,128.60,3.20,-0.01,12.31,8.79,8.83,-4.19
EPS in Rs,0.15,0.55,0.45,0.07,0.85,0.47,8.19,0.20,-0.00,0.78,0.56,0.56,-0.27
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,048","1,165","1,167","1,014","1,119",890,437,510,146,146,172,42
Expenses +,956,"1,079","1,058",941,"1,014",793,420,485,179,178,202,92
Operating Profit,92,86,110,73,106,96,16,25,-33,-32,-29,-50
OPM %,9%,7%,9%,7%,9%,11%,4%,5%,-23%,-22%,-17%,-117%
Other Income +,90,47,55,49,37,35,25,144,56,69,183,89
Interest,16,28,22,18,18,17,14,13,7,10,7,1
Depreciation,38,56,66,72,75,90,33,33,8,8,9,3
Profit before tax,129,49,75,32,49,24,-6,124,8,19,138,36
Tax %,34%,34%,34%,30%,18%,-6%,27%,8%,-93%,-56%,-1%,29%
Net Profit +,85,32,50,22,40,26,-7,114,15,30,139,26
EPS in Rs,2.75,1.19,2.40,1.14,2.31,1.44,-0.12,8.14,0.95,1.91,8.86,1.64
Dividend Payout %,16%,42%,0%,44%,22%,56%,-401%,12%,53%,26%,6%,12%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,31,31,31,31,31,31,31,31,31,31,31,31
Reserves,600,612,865,821,846,834,892,"1,120","1,002","1,144","1,221","1,120"
Borrowings +,368,401,675,542,491,267,232,167,89,113,11,3
Other Liabilities +,517,486,394,384,418,367,309,215,113,148,72,78
Total Liabilities,"1,516","1,531","1,966","1,779","1,787","1,500","1,464","1,535","1,234","1,436","1,335","1,233"
Fixed Assets +,726,860,836,752,776,756,716,541,551,338,363,300
CWIP,39,33,10,15,14,29,22,20,23,16,18,17
Investments,181,195,349,281,329,188,286,505,232,395,599,604
Other Assets +,571,443,771,732,668,528,440,469,429,687,355,313
Total Assets,"1,516","1,531","1,966","1,779","1,787","1,500","1,464","1,535","1,234","1,436","1,335","1,233"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,139,248,-35,102,159,272,83,34,25,58,-32,-2
Cash from Investing Activity +,-224,-213,-200,59,-86,8,-53,118,74,-69,160,17
Cash from Financing Activity +,78,-38,267,-160,-91,-276,-15,-176,-91,1,-106,-15
Net Cash Flow,-7,-3,32,1,-18,4,15,-24,7,-10,23,-1
Free Cash Flow,57,5,-113,66,101,157,38,-18,-56,-24,426,6
CFO/OP,182%,321%,-18%,165%,155%,299%,518%,169%,-94%,-185%,16%,-12%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,74,57,63,73,95,75,122,94,289,92,94,211
Inventory Days,112,77,277,377,172,142,209,130,539,137,101,54
Days Payable,101,61,59,98,78,103,116,85,277,53,109,116
Cash Conversion Cycle,86,73,280,353,189,114,215,140,551,176,86,149
Working Capital Days,24,-43,69,94,3,14,47,55,523,"1,132",448,"2,938"
ROCE %,8%,5%,6%,3%,4%,3%,0%,1%,-2%,-1%,0%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.97%,66.96%,66.96%,66.96%,66.96%,66.96%,66.02%,65.70%,65.70%,65.70%,65.70%,65.70%
FIIs +,0.02%,0.03%,0.00%,0.01%,0.03%,0.07%,0.00%,0.01%,0.09%,0.28%,0.10%,0.08%
DIIs +,1.59%,1.59%,1.59%,1.59%,1.59%,1.59%,1.13%,0.32%,0.32%,0.32%,0.32%,0.31%
Public +,31.41%,31.41%,31.44%,31.43%,31.42%,31.38%,32.84%,33.97%,33.89%,33.71%,33.87%,33.91%
No. of Shareholders,"28,124","28,680","31,660","37,618","46,271","50,319","49,491","45,550","40,951","36,728","33,633","31,227"

--- CAGR BOXES ---




