--- ABOUT ---
"Incorporated in July 1997, Orient Technologies Limited is a rapidly expanding IT solutions provider based in Mumbai, Maharashtra, with deep expertise in creating specialized products and solutions within its business verticals. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,167",255,467,46.5

Book Value,Dividend Yield,ROCE,ROE
73.4,0.64,,7.46

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2025,Mar 2026
Sales +,200.10,184.07
Expenses +,197.24,179.60
Operating Profit,2.86,4.47
OPM %,1.43%,2.43%
Other Income +,-18.15,-3.01
Interest,1.49,2.17
Depreciation,3.27,6.37
Profit before tax,-20.05,-7.08
Tax %,-27.63%,-13.84%
Net Profit +,-14.64,-4.99
EPS in Rs,-3.20,-1.09
Raw PDF,,

--- ANNUAL RESULTS ---
,Mar 2026
Sales +,870
Expenses +,826
Operating Profit,43
OPM %,5%
Other Income +,-18
Interest,5
Depreciation,14
Profit before tax,6
Tax %,42%
Net Profit +,5
EPS in Rs,1.00
Dividend Payout %,0%

--- BALANCE SHEET ---
,Mar 2026
Equity Capital,46
Reserves,291
Borrowings +,62
Other Liabilities +,171
Total Liabilities,570
Fixed Assets +,97
CWIP,0
Investments,3
Other Assets +,470
Total Assets,570

--- CASH FLOW ---
,Mar 2026
Cash from Operating Activity +,-19
Cash from Investing Activity +,-84
Cash from Financing Activity +,52
Net Cash Flow,-51
Free Cash Flow,-82
CFO/OP,17%

--- RATIOS ---
,Mar 2026
Debtor Days,90
Inventory Days,8
Days Payable,60
Cash Conversion Cycle,37
Working Capital Days,62
ROCE %,

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.22%,73.22%,73.23%,73.24%,73.24%,73.24%,70.66%
FIIs +,3.56%,2.17%,1.45%,0.69%,0.16%,0.17%,0.03%
DIIs +,1.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,21.35%,24.60%,25.31%,26.07%,26.60%,26.59%,29.31%
No. of Shareholders,"71,546","76,349","87,509","84,577","84,066","85,134","93,232"

--- CAGR BOXES ---




