--- ABOUT ---
"Incorporated in 1981, Oswal Greentech Ltd is in the business of real estate activities and investment of surplus funds including inter corporate deposits [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
612,23.8,49.4,14.5

Book Value,Dividend Yield,ROCE,ROE
88.3,0.00,3.11,1.87

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,186,628,139,138,194,485,158,108,59,456,105,103
Expenses +,90,358,125,149,144,346,51,26,51,397,29,32
Operating Profit,96,270,14,-11,51,138,107,82,8,59,76,72
OPM %,52%,43%,10%,-8%,26%,29%,68%,76%,13%,13%,72%,69%
Other Income +,4,10,15,1,59,-24,-81,36,49,-6,-26,0
Interest,0,2,0,1,5,11,21,21,3,0,0,0
Depreciation,2,2,1,1,2,2,2,2,3,3,2,2
Profit before tax,98,276,27,-12,104,101,3,95,50,50,47,70
Tax %,0%,10%,13%,1%,21%,21%,126%,23%,21%,26%,-40%,40%
Net Profit +,97,250,24,-12,82,79,-1,63,29,37,66,42
EPS in Rs,3.79,9.73,0.93,-0.46,3.20,3.08,-0.04,2.45,1.14,1.42,2.57,1.64
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Equity Capital,257,257,257,257,257,257,257,257,257,257,257,257
Reserves,"1,334","1,583","1,610","1,596","1,678","1,758","1,760","1,822","1,850","1,908","1,969","2,011"
Borrowings +,15,88,1,3,95,276,175,135,-0,-0,-0,-0
Other Liabilities +,163,123,98,97,84,77,154,47,40,44,40,42
Total Liabilities,"1,768","2,051","1,966","1,953","2,114","2,368","2,345","2,261","2,147","2,209","2,266","2,310"
Fixed Assets +,26,24,23,24,24,20,15,130,127,126,125,123
CWIP,-0,0,0,0,3,0,-0,-0,-0,-0,-0,-0
Investments,7,134,7,597,32,31,71,366,84,153,138,47
Other Assets +,"1,735","1,893","1,936","1,331","2,056","2,316","2,259","1,764","1,935","1,930","2,003","2,140"
Total Assets,"1,768","2,051","1,966","1,953","2,114","2,368","2,345","2,261","2,147","2,209","2,266","2,310"

--- CASH FLOW ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Cash from Operating Activity +,-408,-362,-75,561,-433,-230,-116,375,-57,118,55,-15
Cash from Investing Activity +,11,-128,129,-592,597,140,84,-313,281,-216,-50,9
Cash from Financing Activity +,-246,71,-84,-1,-6,-12,-19,-62,-144,-1,-0,1
Net Cash Flow,-642,-419,-30,-32,158,-102,-51,0,80,-99,4,-4
Free Cash Flow,-410,-363,-76,558,-437,-233,-116,258,-58,116,55,-15
CFO/OP,-425%,-126%,-401%,"-4,983%",-862%,-143%,-96%,481%,-586%,205%,97%,8%

--- RATIOS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Debtor Days,450,161,575,373,7,17,3,3,6,24,-0,-0
Inventory Days,671,192,"1,725",591,555,194,"2,123",,,62,,
Days Payable,17,24,103,32,46,5,2,,,-0,,
Cash Conversion Cycle,"1,104",330,"2,197",932,516,206,"2,125",3,6,86,-0,-0
Working Capital Days,"1,826",899,"4,317","2,837","2,482",999,"1,752","4,295","9,051","1,106","4,002","4,218"
ROCE %,,16%,1%,-1%,4%,7%,5%,5%,2%,3%,3%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.33%,64.33%,64.33%,64.33%,64.33%,69.19%,69.19%,69.19%,69.19%,69.19%,70.01%,70.65%
FIIs +,1.55%,0.05%,0.01%,0.03%,0.01%,0.03%,0.00%,0.02%,0.00%,0.01%,0.01%,0.02%
DIIs +,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Public +,34.09%,35.60%,35.63%,35.63%,35.65%,30.76%,30.78%,30.76%,30.78%,30.78%,29.97%,29.32%
No. of Shareholders,"1,98,071","1,99,509","2,00,970","2,13,670","2,17,064","2,48,068","2,51,232","2,50,280","2,47,918","2,44,823","2,42,604","2,39,987"

--- CAGR BOXES ---




