--- ABOUT ---
"Incorporated in 1987, Apeejay Surrendra Park Hotels Ltd is in the business of providing Hospitality and Yacht on hire [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,582",121,168,38.6

Book Value,Dividend Yield,ROCE,ROE
62.9,0.41,9.43,5.09

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,144,131,135,159,152,135,142,177,177,154,167,200,184
Expenses +,99,91,91,103,102,96,99,113,115,109,118,129,131
Operating Profit,45,40,44,56,50,39,43,64,62,45,49,71,53
OPM %,31%,30%,33%,35%,33%,29%,30%,36%,35%,29%,29%,35%,29%
Other Income +,-1,0,7,5,3,3,15,1,3,2,1,1,-0
Interest,12,16,17,18,15,4,5,6,6,6,5,10,9
Depreciation,16,12,12,14,13,14,14,15,20,18,18,19,19
Profit before tax,15,12,21,29,26,25,39,45,39,22,28,42,25
Tax %,29%,33%,31%,4%,30%,108%,31%,29%,32%,40%,42%,42%,52%
Net Profit +,11,8,15,27,18,-2,27,32,27,13,16,24,12
EPS in Rs,0.61,0.46,0.85,1.57,0.86,-0.09,1.25,1.51,1.25,0.63,0.76,1.13,0.56
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,383,421,179,255,510,579,631,707
Expenses +,308,336,167,209,347,386,427,489
Operating Profit,75,85,12,46,163,193,205,218
OPM %,20%,20%,7%,18%,32%,33%,32%,31%
Other Income +,4,8,-4,12,14,12,22,3
Interest,42,50,57,60,62,66,17,30
Depreciation,31,31,38,40,49,51,62,74
Profit before tax,7,12,-87,-42,65,89,148,117
Tax %,218%,20%,-13%,-33%,27%,22%,44%,44%
Net Profit +,-8,10,-76,-28,48,69,84,66
EPS in Rs,-4.56,5.58,-4.34,-1.61,2.75,3.22,3.92,3.08
Dividend Payout %,0%,0%,0%,0%,0%,0%,13%,24%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,17,17,17,17,21,21,21
Reserves,564,570,519,491,538,"1,177","1,263","1,321"
Borrowings +,477,487,616,654,617,100,168,373
Other Liabilities +,150,161,129,113,189,178,219,339
Total Liabilities,"1,209","1,235","1,280","1,275","1,362","1,476","1,671","2,054"
Fixed Assets +,"1,070","1,078","1,157","1,142","1,192","1,218","1,254","1,572"
CWIP,23,31,27,29,35,57,75,80
Investments,3,0,0,0,0,0,56,77
Other Assets +,112,126,96,104,135,201,286,325
Total Assets,"1,209","1,235","1,280","1,275","1,362","1,476","1,671","2,054"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,60,99,27,58,176,168,158,182
Cash from Investing Activity +,-37,-61,-25,-22,-42,-101,-196,-303
Cash from Financing Activity +,-18,-42,-5,-37,-126,-40,4,115
Net Cash Flow,4,-4,-4,-1,8,28,-34,-7
Free Cash Flow,23,58,-15,32,135,51,10,-105
CFO/OP,84%,120%,231%,132%,105%,95%,92%,98%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,26,24,40,27,19,21,22,21
Inventory Days,103,74,,,,,,459
Days Payable,198,229,,,,,,220
Cash Conversion Cycle,-69,-132,40,27,19,21,22,260
Working Capital Days,1,9,-341,-255,-105,-42,16,18
ROCE %,,6%,,2%,11%,13%,12%,9%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,68.14%,68.14%,68.14%,68.14%,68.14%,68.14%,68.14%,68.14%,68.21%
FIIs +,5.08%,4.66%,5.58%,4.13%,3.97%,4.79%,2.19%,3.29%,4.00%
DIIs +,16.42%,15.19%,14.14%,11.18%,11.55%,9.83%,10.43%,9.51%,8.53%
Public +,10.35%,12.00%,12.13%,16.55%,16.33%,17.25%,19.26%,19.05%,19.25%
No. of Shareholders,"45,763","44,097","41,951","41,246","43,676","46,386","51,752","53,059","51,406"

--- CAGR BOXES ---




