--- ABOUT ---
"Incorporated in 2017, Pashupati Cotspin Ltd Cotton does ginning, manufacture and processing of yarn [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,379",87.4,118,133

Book Value,Dividend Yield,ROCE,ROE
10.4,0.06,9.98,6.53

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,155.72,344.69,164.54,128.26,118.50,240.21,158.84,170.27
Expenses +,147.98,328.76,159.97,122.04,113.93,230.82,153.72,163.32
Operating Profit,7.74,15.93,4.57,6.22,4.57,9.39,5.12,6.95
OPM %,4.97%,4.62%,2.78%,4.85%,3.86%,3.91%,3.22%,4.08%
Other Income +,1.51,2.90,2.40,8.09,3.85,1.90,2.85,0.83
Interest,3.59,6.66,3.70,2.73,3.54,3.06,2.56,2.32
Depreciation,2.33,4.67,1.99,2.51,2.20,2.37,2.29,2.02
Profit before tax,3.33,7.50,1.28,9.07,2.68,5.86,3.12,3.44
Tax %,31.23%,29.07%,25.78%,20.73%,27.99%,30.89%,12.50%,50.29%
Net Profit +,2.29,5.32,0.95,7.19,1.92,4.05,2.73,1.72
EPS in Rs,0.15,0.35,0.06,0.46,0.13,0.26,0.17,0.11
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,443,661,637,688
Expenses +,425,629,611,662
Operating Profit,17,32,27,26
OPM %,4%,5%,4%,4%
Other Income +,9,8,13,9
Interest,11,17,13,11
Depreciation,9,12,9,9
Profit before tax,6,11,18,15
Tax %,34%,26%,20%,31%
Net Profit +,4,8,14,10
EPS in Rs,0.25,0.54,0.89,0.66
Dividend Payout %,30%,14%,6%,8%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,16,16
Reserves,96,103,139,148
Borrowings +,173,151,114,99
Other Liabilities +,24,42,32,44
Total Liabilities,309,311,300,307
Fixed Assets +,115,138,130,121
CWIP,26,0,0,0
Investments,27,39,28,33
Other Assets +,140,134,143,153
Total Assets,309,311,300,307

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,59,56,14,37
Cash from Investing Activity +,-43,-15,14,-5
Cash from Financing Activity +,-17,-41,-28,-30
Net Cash Flow,-0,-1,0,2
Free Cash Flow,-2,47,14,39
CFO/OP,369%,177%,52%,148%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,53,34,30,28
Inventory Days,34,26,29,31
Days Payable,8,17,7,10
Cash Conversion Cycle,79,43,52,49
Working Capital Days,-8,-6,32,47
ROCE %,,10%,11%,10%

--- SHAREHOLDING PATTERN ---
,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Oct 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.83%,72.87%,73.04%,73.03%,73.03%,70.04%,67.82%,65.99%,65.99%,65.99%,65.99%,65.99%
FIIs +,0.00%,0.43%,0.43%,0.43%,0.43%,8.53%,10.12%,12.42%,12.76%,13.37%,13.41%,13.23%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.00%,0.19%,0.19%,0.19%
Public +,28.17%,26.70%,26.53%,26.54%,26.54%,21.43%,20.74%,21.59%,21.24%,20.46%,20.42%,20.60%
No. of Shareholders,146,139,129,131,131,203,212,"1,045",756,777,794,699

--- CAGR BOXES ---




