--- ABOUT ---
"Patel Engineering Ltd is engaged in the construction of dams, bridges, tunnels, roads, piling works, industrial structures and other kinds of heavy civil engineering works in areas like hydro, irrigation & water supply, urban infrastructure and transport. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,078",31.0,41.3,7.73

Book Value,Dividend Yield,ROCE,ROE
44.8,0.00,13.5,9.68

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,205","1,119","1,021","1,061","1,343","1,102","1,174","1,206","1,612","1,233","1,208","1,239","1,421"
Expenses +,"1,036",948,881,919,"1,106",933,"1,012","1,022","1,394","1,068","1,050","1,095","1,206"
Operating Profit,169,171,140,142,238,169,162,184,218,165,159,145,215
OPM %,14%,15%,14%,13%,18%,15%,14%,15%,14%,13%,13%,12%,15%
Other Income +,35,12,24,52,75,25,42,10,-62,39,32,-14,-53
Interest,104,88,92,89,93,84,79,80,79,73,76,68,79
Depreciation,21,22,23,23,29,26,24,24,26,25,26,26,26
Profit before tax,80,72,49,82,190,83,101,89,52,105,89,37,57
Tax %,-0%,42%,22%,16%,26%,43%,27%,10%,33%,24%,27%,-153%,44%
Net Profit +,82,43,38,69,140,55,73,82,38,81,73,72,44
EPS in Rs,0.90,0.43,0.41,0.76,1.38,0.54,0.74,0.80,0.36,0.78,0.72,0.71,0.42
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,415","4,041","3,884","2,275","2,362","2,617","1,995","3,380","3,891","4,544","5,093","5,103"
Expenses +,"2,919","3,642","3,463","1,743","1,985","2,432","1,750","2,850","3,330","3,854","4,345","4,419"
Operating Profit,496,399,421,531,377,185,244,530,562,690,749,684
OPM %,15%,10%,11%,23%,16%,7%,12%,16%,14%,15%,15%,13%
Other Income +,131,41,165,106,247,202,-115,83,149,163,-1,4
Interest,516,602,579,489,370,266,401,420,412,362,322,296
Depreciation,80,55,78,54,50,66,72,82,81,98,100,104
Profit before tax,32,-216,-71,94,204,55,-344,112,218,393,326,288
Tax %,69%,-9%,45%,-12%,22%,43%,-21%,39%,18%,26%,27%,6%
Net Profit +,10,-196,-103,105,154,11,-291,72,183,290,248,269
EPS in Rs,0.26,-6.04,-1.55,1.58,2.22,0.15,-3.54,0.85,2.02,3.19,2.50,2.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,16,16,16,41,47,48,77,77,84,99
Reserves,"1,885","1,705","2,123","2,144","2,260","2,506","2,273","2,336","2,811","3,076","3,700","4,341"
Borrowings +,"5,163","5,395","4,982","2,910","2,698","2,296","2,296","2,292","1,758","1,910","1,615","1,216"
Other Liabilities +,"2,183","2,404","2,555","2,344","3,226","3,485","3,471","3,835","4,111","3,933","4,180","3,866"
Total Liabilities,"9,239","9,512","9,676","7,414","8,201","8,328","8,087","8,510","8,757","8,996","9,580","9,522"
Fixed Assets +,658,622,629,556,578,607,683,"1,181","1,231","1,319","1,328","1,338"
CWIP,982,837,868,792,"1,063","1,141",679,283,294,233,171,126
Investments,182,164,138,140,116,79,68,82,135,155,181,53
Other Assets +,"7,417","7,889","8,040","5,926","6,443","6,501","6,658","6,965","7,096","7,289","7,900","8,005"
Total Assets,"9,239","9,512","9,676","7,414","8,201","8,328","8,087","8,510","8,757","8,996","9,580","9,522"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-1,-48,567,403,836,407,389,514,702,688,363,560
Cash from Investing Activity +,-244,272,-222,245,-327,-47,7,-121,-224,-132,-15,85
Cash from Financing Activity +,229,-311,-343,-578,-513,-367,-311,-340,-541,-429,-283,-516
Net Cash Flow,-16,-86,2,70,-4,-7,85,54,-63,126,66,129
Free Cash Flow,-241,87,459,552,523,361,275,371,534,541,275,452
CFO/OP,11%,4%,139%,54%,203%,186%,164%,112%,140%,114%,46%,89%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61,46,24,39,35,46,79,61,47,44,54,43
Inventory Days,,,,,,,,,,,,95
Days Payable,,,,,,,,,,,,210
Cash Conversion Cycle,61,46,24,39,35,46,79,61,47,44,54,-72
Working Capital Days,99,108,81,132,141,121,261,140,140,117,132,82
ROCE %,8%,7%,8%,11%,10%,6%,6%,12%,13%,14%,15%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,39.42%,39.42%,39.42%,39.42%,36.11%,36.11%,36.11%,36.11%,36.11%,36.11%,31.48%,31.48%
FIIs +,2.38%,2.36%,2.83%,3.37%,3.68%,3.09%,4.74%,5.01%,2.71%,2.53%,2.52%,2.86%
DIIs +,9.25%,6.25%,5.59%,4.48%,6.22%,4.45%,4.51%,4.70%,4.91%,4.75%,5.81%,6.17%
Public +,44.15%,47.18%,47.37%,47.93%,49.59%,51.96%,50.23%,49.80%,51.88%,52.21%,56.43%,55.74%
Others +,4.79%,4.79%,4.79%,4.79%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,3.74%,3.74%
No. of Shareholders,"1,37,056","2,00,941","2,18,582","2,59,605","3,40,851","4,32,445","4,40,768","4,46,112","4,47,535","4,41,763","4,57,741","4,62,930"

--- CAGR BOXES ---




