--- ABOUT ---
"Incorporated in 1962, Patel Integrated Logistics Ltd is in the business of Co-Loading of Airfreight and Logistics [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
103,14.8,18.9,10.8

Book Value,Dividend Yield,ROCE,ROE
17.8,2.02,8.05,7.82

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,89.74,86.63,94.13,88.39,96.74
Expenses +,87.39,84.53,91.56,86.27,93.05
Operating Profit,2.35,2.10,2.57,2.12,3.69
OPM %,2.62%,2.42%,2.73%,2.40%,3.81%
Other Income +,0.69,0.46,0.46,1.31,0.68
Interest,0.20,0.09,0.11,0.09,0.06
Depreciation,0.64,0.61,0.64,0.65,0.61
Profit before tax,2.20,1.86,2.28,2.69,3.70
Tax %,0.91%,0.00%,0.00%,0.00%,19.46%
Net Profit +,2.18,1.86,2.28,2.69,2.98
EPS in Rs,0.31,0.27,0.33,0.39,0.43
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2025,Mar 2026
Sales +,454,424,343,357
Expenses +,436,406,334,347
Operating Profit,18,17,9,10
OPM %,4%,4%,3%,3%
Other Income +,5,5,3,3
Interest,8,7,1,0
Depreciation,4,5,3,3
Profit before tax,10,11,8,10
Tax %,25%,23%,1%,7%
Net Profit +,8,8,8,10
EPS in Rs,1.15,1.15,1.09,1.38
Dividend Payout %,10%,15%,27%,29%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2025,Mar 2026
Equity Capital,16,17,70,70
Reserves,99,111,52,54
Borrowings +,62,68,13,6
Other Liabilities +,22,32,33,34
Total Liabilities,199,228,168,163
Fixed Assets +,52,58,47,46
CWIP,2,4,0,0
Investments,12,16,4,5
Other Assets +,133,150,117,113
Total Assets,199,228,168,163

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2025,Mar 2026
Cash from Operating Activity +,15,6,1,8
Cash from Investing Activity +,-18,-11,1,-1
Cash from Financing Activity +,-3,4,-5,-3
Net Cash Flow,-6,-2,-3,5
Free Cash Flow,3,-7,-0,7
CFO/OP,55%,26%,57%,36%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2025,Mar 2026
Debtor Days,70,89,72,74
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,70,89,72,74
Working Capital Days,37,44,49,52
ROCE %,,10%,,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,39.17%,37.31%,36.85%,36.85%,36.42%,35.52%,36.12%,35.91%,35.91%,35.91%,35.91%,35.99%
FIIs +,0.01%,0.08%,0.03%,0.02%,0.17%,0.00%,0.17%,0.14%,0.13%,0.17%,0.00%,0.00%
Government +,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,60.83%,62.61%,62.50%,63.13%,63.40%,64.47%,63.70%,63.93%,63.96%,63.91%,64.09%,64.00%
No. of Shareholders,"26,878","27,891","31,656","34,568","34,328","38,623","42,508","42,016","41,512","41,822","41,241","40,758"

--- CAGR BOXES ---




