--- ABOUT ---
"PDS Ltd is engaged in trading of garments, investment holding, design, development, marketing, sourcing and distribution of readymade garments of all kinds and other consumer products worldwide. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,791",339,435,42.9

Book Value,Dividend Yield,ROCE,ROE
125,0.97,11.6,6.54

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,742","2,115","2,463","2,580","3,215","2,621","3,306","3,125","3,526","2,999","3,419","3,172","3,519"
Expenses +,"2,609","2,048","2,326","2,505","3,102","2,549","3,163","3,027","3,386","2,949","3,316","3,064","3,399"
Operating Profit,133,67,136,75,114,72,144,98,139,51,103,108,120
OPM %,5%,3%,6%,3%,4%,3%,4%,3%,4%,2%,3%,3%,3%
Other Income +,3,6,9,16,10,20,12,9,10,40,28,5,28
Interest,27,23,24,31,28,33,34,30,29,34,43,36,34
Depreciation,23,22,23,23,26,23,25,27,36,30,33,32,36
Profit before tax,86,28,98,36,70,36,96,51,84,27,56,44,78
Tax %,11%,18%,10%,29%,6%,13%,8%,10%,11%,26%,13%,16%,8%
Net Profit +,77,23,88,26,65,31,89,45,75,20,48,37,72
EPS in Rs,4.32,1.44,4.95,1.11,3.47,1.51,4.80,1.96,2.85,0.92,2.12,1.39,3.47
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,872","4,277","4,616","4,924","6,486","6,648","6,213","8,828","10,577","10,373","12,578","13,110"
Expenses +,"3,818","4,235","4,559","4,886","6,350","6,444","5,972","8,495","10,102","9,959","12,097","12,727"
Operating Profit,54,42,57,38,136,204,241,334,475,414,481,383
OPM %,1%,1%,1%,1%,2%,3%,4%,4%,4%,4%,4%,3%
Other Income +,13,31,14,24,16,13,37,86,51,40,50,100
Interest,19,14,13,22,56,74,41,39,89,128,151,146
Depreciation,15,15,13,16,26,52,68,70,80,93,111,131
Profit before tax,34,44,45,24,69,91,170,310,357,232,268,205
Tax %,16%,2%,11%,13%,0%,10%,13%,6%,8%,13%,10%,14%
Net Profit +,29,43,38,20,69,81,148,293,327,203,241,178
EPS in Rs,1.67,2.14,1.10,-0.60,3.37,3.53,6.48,19.08,20.24,10.93,11.10,7.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,49%,25%,13%,29%,15%,21%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,26,26,26,26,26,26,26,26,26,26,28,28
Reserves,421,455,437,439,442,533,621,846,"1,028","1,140","1,622","1,735"
Borrowings +,475,485,465,552,700,747,562,740,719,"1,054","1,232","1,264"
Other Liabilities +,469,478,509,643,"1,003","1,038","1,136","1,782","1,336","1,841","1,856","2,238"
Total Liabilities,"1,391","1,445","1,437","1,660","2,172","2,344","2,345","3,395","3,109","4,062","4,738","5,266"
Fixed Assets +,192,195,210,273,354,479,464,463,484,504,701,858
CWIP,11,23,20,30,15,21,5,3,8,115,1,0
