--- ABOUT ---
"Incorporated in 1991, Pioneer Embroideries Ltd is a manufacturer of Special Polyester Filament Yarn (SPFY), Embroidery & Lace Products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
76.0,24.7,49.0,

Book Value,Dividend Yield,ROCE,ROE
50.7,0.00,2.24,-2.32

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,74.41,73.72,82.51,85.32,94.65,96.40,93.81,96.10,88.76,86.12,82.70,81.21,86.03
Expenses +,69.75,69.58,77.95,79.34,87.26,90.15,86.53,88.47,84.71,82.81,81.93,77.01,80.72
Operating Profit,4.66,4.14,4.56,5.98,7.39,6.25,7.28,7.63,4.05,3.31,0.77,4.20,5.31
OPM %,6.26%,5.62%,5.53%,7.01%,7.81%,6.48%,7.76%,7.94%,4.56%,3.84%,0.93%,5.17%,6.17%
Other Income +,0.35,0.34,0.77,0.57,2.30,0.84,0.82,0.64,4.01,4.68,0.31,0.57,5.70
Interest,0.99,0.97,2.16,3.20,2.92,2.98,3.20,1.38,2.04,2.62,2.32,1.83,2.53
Depreciation,2.14,2.17,3.10,3.31,3.97,3.83,3.93,3.93,3.96,3.96,3.97,4.09,2.80
Profit before tax,1.88,1.34,0.07,0.04,2.80,0.28,0.97,2.96,2.06,1.41,-5.21,-1.15,5.68
Tax %,51.06%,23.88%,71.43%,50.00%,11.07%,25.00%,29.90%,25.68%,33.01%,24.82%,-27.06%,-28.70%,26.76%
Net Profit +,0.92,1.02,0.02,0.02,2.50,0.21,0.68,2.19,1.38,1.07,-3.80,-0.83,4.17
EPS in Rs,0.42,0.39,0.05,0.01,0.85,0.07,0.22,0.71,0.45,0.35,-1.23,-0.27,1.35
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,272,255,236,262,274,238,226,292,297,336,375,336
Expenses +,252,234,220,253,255,219,199,267,285,314,350,322
Operating Profit,20,21,16,10,19,19,27,25,12,22,25,14
OPM %,7%,8%,7%,4%,7%,8%,12%,8%,4%,7%,7%,4%
Other Income +,17,20,-16,2,1,4,2,2,12,4,6,11
Interest,12,9,11,9,8,6,4,3,4,9,10,9
Depreciation,19,15,8,9,9,9,8,8,8,13,16,15
Profit before tax,6,17,-19,-6,4,8,16,15,12,4,6,1
Tax %,0%,0%,0%,0%,0%,0%,-18%,28%,31%,17%,29%,18%
Net Profit +,11,17,-19,-6,4,8,19,11,8,4,4,1
EPS in Rs,6.21,9.31,-8.96,-2.46,1.59,3.29,7.24,4.15,3.20,1.26,1.46,0.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,3%,7%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,19,22,24,25,25,27,27,27,29,31,31
Reserves,61,45,53,47,53,61,83,94,102,116,124,125
Borrowings +,143,109,70,69,57,37,32,32,97,110,96,91
Other Liabilities +,44,41,59,60,60,50,46,47,68,76,71,79
Total Liabilities,265,213,203,200,196,173,188,199,293,332,322,326
Fixed Assets +,94,98,107,96,93,85,80,78,75,186,182,159
CWIP,5,3,0,3,2,0,0,8,72,0,0,3
Investments,8,7,0,0,0,0,0,1,12,12,11,11
Other Assets +,159,105,95,101,100,87,108,112,135,135,128,152
Total Assets,265,213,203,200,196,173,188,199,293,332,322,326

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,29,22,36,17,19,26,18,13,10,12,33,19
Cash from Investing Activity +,6,-10,-24,-7,-4,3,-8,-10,-65,-34,-8,-3
Cash from Financing Activity +,-35,-14,-12,-10,-16,-28,-5,-8,60,16,-23,-16
Net Cash Flow,0,-2,-0,0,-1,1,5,-5,5,-6,1,-1
Free Cash Flow,25,14,11,10,15,29,10,7,-45,-22,24,15
CFO/OP,148%,106%,228%,173%,101%,135%,67%,56%,90%,51%,131%,137%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30,39,38,39,40,29,37,31,33,33,30,28
