--- ABOUT ---
"PNC Infratech Limited was incorporated on 9th August 1999 as PNC Construction Company Private Limited. The Company was converted into a limited company in 2001 and was renamed PNC Infratech limited in 2007. PNC Infratech Limited is one of the front-ending infrastructure development, construction, and management companies in the country. The company undertakes infrastructure projects, including highways, bridges, flyovers, power transmission lines and towers, airport runways, industrial area development, and other infrastructure activities. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,798",226,332 / 158,12.9

Book Value,Dividend Yield,ROCE,ROE
266,0.27,8.46,7.00

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,305","2,092","1,911","2,047","2,600","2,168","1,427","1,470","1,704","1,423","1,128","1,201","1,617"
Expenses +,"1,894","1,655","1,512","1,615","1,864","1,199","1,071","1,091","1,342","1,055",875,962,"1,340"
Operating Profit,411,436,400,432,736,969,356,379,362,367,253,239,277
OPM %,18%,21%,21%,21%,28%,45%,25%,26%,21%,26%,22%,20%,17%
Other Income +,24,20,21,17,24,30,37,42,63,353,194,37,50
Interest,133,147,161,169,183,190,204,224,233,187,129,128,137
Depreciation,57,48,41,44,44,40,40,74,41,31,26,30,35
Profit before tax,244,262,219,235,533,768,149,124,151,502,292,118,155
Tax %,40%,31%,32%,21%,26%,25%,44%,34%,50%,14%,26%,35%,30%
Net Profit +,146,181,148,185,396,575,83,81,75,431,216,77,108
EPS in Rs,5.69,7.04,5.77,7.21,15.43,22.42,3.25,3.17,2.94,16.82,8.41,2.99,4.20
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,861","2,837","2,252","2,411","3,774","5,603","5,788","7,208","7,956","8,650","6,769","5,368"
Expenses +,"1,581","2,214","1,647","1,648","2,768","4,275","4,370","5,674","6,356","6,645","4,703","4,231"
Operating Profit,280,622,605,763,"1,007","1,328","1,418","1,534","1,600","2,005","2,066","1,137"
OPM %,15%,22%,27%,32%,27%,24%,24%,21%,20%,23%,31%,21%
Other Income +,12,12,39,24,47,182,116,87,81,82,172,634
Interest,93,257,310,309,348,439,426,425,470,660,852,582
Depreciation,60,213,242,262,346,351,363,390,253,177,195,122
Profit before tax,139,164,92,216,360,719,744,806,957,"1,249","1,192","1,067"
Tax %,34%,-27%,-28%,-12%,2%,24%,33%,28%,31%,27%,32%,22%
Net Profit +,91,209,118,243,351,550,497,580,658,909,815,832
EPS in Rs,4.59,8.13,4.61,9.47,13.70,21.43,19.39,22.62,25.67,35.45,31.79,32.42
Dividend Payout %,7%,6%,11%,5%,4%,2%,3%,2%,2%,2%,2%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,40,51,51,51,51,51,51,51,51,51,51,51
Reserves,831,"1,307","1,410","1,637","1,973","2,503","3,002","3,577","4,234","5,134","5,938","6,762"
Borrowings +,"1,692","1,649","1,906","2,021","2,775","3,515","4,188","4,793","6,282","8,025","9,364","5,170"
Other Liabilities +,534,"1,829","1,851","2,192","2,455","2,421","2,334","2,224","2,066","2,400","2,705","1,875"
Total Liabilities,"3,097","4,835","5,219","5,902","7,254","8,490","9,575","10,645","12,632","15,610","18,059","13,858"
Fixed Assets +,683,"2,447","2,405","2,279","2,234","1,978","1,797","1,482","1,291","1,159",992,692
CWIP,"1,482",2,8,11,6,0,3,0,0,0,0,4
Investments,94,66,103,169,263,444,579,424,312,511,790,788
Other Assets +,838,"2,320","2,703","3,443","4,752","6,068","7,196","8,740","11,030","13,940","16,276","12,375"
Total Assets,"3,097","4,835","5,219","5,902","7,254","8,490","9,575","10,645","12,632","15,610","18,059","13,858"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,247,94,285,591,197,525,186,-499,"-1,454",-231,-56,"4,593"
Cash from Investing Activity +,-968,-170,-202,-252,-444,-230,-248,25,343,-250,-261,-67
Cash from Financing Activity +,647,117,-135,-211,400,254,63,148,"1,005","1,067",456,"-4,796"
Net Cash Flow,-74,41,-51,129,153,549,1,-326,-106,586,139,-270
Free Cash Flow,-739,-108,78,460,-86,436,2,-559,"-1,510",-278,-86,"4,763"
CFO/OP,106%,15%,49%,77%,22%,53%,29%,-18%,-74%,6%,17%,421%

--- RATIOS ---
