--- ABOUT ---
"Incorporated in 1995, Pondy Oxides and Chemicals Ltd manufactures Lead Metal and Alloys and other Non-ferrous metals [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,098","1,343","1,619 / 689",30.9

Book Value,Dividend Yield,ROCE,ROE
258,0.26,23.2,19.2

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,437,325,397,457,363,445,579,509,524,603,640,780,935
Expenses +,414,313,381,433,344,422,550,484,496,562,587,723,876
Operating Profit,23,13,16,25,18,23,29,25,28,41,54,57,59
OPM %,5%,4%,4%,5%,5%,5%,5%,5%,5%,7%,8%,7%,6%
Other Income +,30,1,1,-1,2,1,1,1,-0,1,1,1,1
Interest,3,4,5,6,3,2,4,4,2,3,2,2,4
Depreciation,4,3,3,4,3,4,4,4,5,5,7,7,6
Profit before tax,46,6,9,15,14,18,21,18,21,34,46,49,50
Tax %,11%,34%,35%,31%,16%,27%,28%,27%,20%,27%,27%,28%,25%
Net Profit +,41,4,6,10,12,13,15,13,17,25,34,35,38
EPS in Rs,17.62,1.77,2.45,4.37,4.74,5.14,5.85,4.71,5.91,8.37,11.10,11.57,12.30
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,104,165,175,228,320,307,358,457,"1,476","1,542","2,057","2,958"
Expenses +,97,153,179,205,300,296,347,443,"1,397","1,470","1,951","2,748"
Operating Profit,7,12,-4,23,20,11,11,14,79,73,106,211
OPM %,7%,7%,-2%,10%,6%,3%,3%,3%,5%,5%,5%,7%
Other Income +,0,1,5,1,2,2,4,1,32,2,2,5
Interest,2,4,6,7,8,6,8,8,8,18,13,10
Depreciation,1,2,2,2,3,3,2,2,11,13,17,25
Profit before tax,4,8,-7,15,11,4,5,4,92,44,78,180
Tax %,34%,37%,7%,20%,33%,33%,32%,33%,18%,28%,26%,27%
Net Profit +,3,5,-7,12,7,3,3,3,75,32,58,132
EPS in Rs,0.73,1.22,-1.76,3.00,1.85,0.66,0.73,0.65,32.35,12.65,20.64,43.22
Dividend Payout %,41%,25%,-7%,10%,19%,38%,34%,38%,8%,20%,17%,12%

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,11,11,11,12,13,14,15
Reserves,9,13,8,19,25,25,27,29,253,345,579,773
Borrowings +,19,20,36,60,58,50,76,75,156,103,113,152
Other Liabilities +,9,13,7,16,30,16,27,26,52,22,32,42
Total Liabilities,48,56,61,105,123,102,141,141,472,482,737,983
Fixed Assets +,11,14,15,23,26,21,23,22,148,162,174,252
CWIP,2,1,0,1,2,2,1,3,12,9,75,3
Investments,0,0,0,0,0,0,0,0,0,0,0,5
