--- ABOUT ---
"Polyplex Corporation is engaged in manufacturing of BOPP, Blown PP/PE and CPP films used in the flexible packaging industry and in industrial usages like release liners, tapes, labels etc. They have 35 Years Of Experience in Plastic Films. They have 7 Manufacturing Facilities In 5 Countries with Multiple Warehouses & Liaison Offices Worldwide. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,986",951,"1,270 / 740",66.4

Book Value,Dividend Yield,ROCE,ROE
"1,351",1.42,0.98,1.12

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,667","1,561","1,572","1,496","1,679","1,686","1,739","1,721","1,740","1,739","1,794","1,682","1,871"
Expenses +,"1,612","1,499","1,451","1,446","1,582","1,522","1,548","1,600","1,676","1,739","1,692","1,577","1,783"
Operating Profit,55,61,121,50,97,164,191,121,64,-1,103,105,88
OPM %,3%,4%,8%,3%,6%,10%,11%,7%,4%,-0%,6%,6%,5%
Other Income +,64,12,24,45,17,26,100,107,18,30,23,27,62
Interest,11,12,10,10,10,13,11,12,11,14,13,13,13
Depreciation,78,75,75,75,82,70,79,76,76,86,89,94,94
Profit before tax,31,-13,59,8,21,107,202,142,-6,-71,23,25,43
Tax %,34%,-20%,18%,-102%,-48%,10%,19%,26%,54%,-15%,-43%,-19%,12%
Net Profit +,20,-10,48,17,31,97,164,105,-9,-60,34,30,38
EPS in Rs,2.42,-0.99,8.90,1.47,2.68,17.05,27.97,18.40,3.22,-6.15,7.87,4.70,7.90
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,204","3,202","3,201","3,572","4,570","4,487","4,918","6,624","7,652","6,307","6,885","7,086"
Expenses +,"2,919","2,849","2,758","3,078","3,838","3,706","3,701","5,316","6,705","5,940","6,189","6,737"
Operating Profit,285,353,443,494,732,781,"1,217","1,308",947,367,696,349
OPM %,9%,11%,14%,14%,16%,17%,25%,20%,12%,6%,10%,5%
Other Income +,70,-32,177,44,163,131,59,128,95,58,95,88
Interest,56,48,47,39,29,18,18,16,35,42,46,53
Depreciation,216,209,197,185,209,253,280,273,296,307,300,363
Profit before tax,83,64,376,314,657,640,979,"1,147",711,76,445,20
Tax %,6%,75%,4%,9%,11%,23%,12%,16%,13%,-14%,20%,-101%
Net Profit +,78,16,361,284,584,494,862,965,616,86,358,41
EPS in Rs,11.87,9.08,72.44,49.85,103.18,88.18,163.04,181.19,110.97,12.05,66.64,14.32
Dividend Payout %,21%,34%,10%,82%,50%,20%,102%,58%,81%,25%,21%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,33,33,33,33,33,33,32,32,32,32,32,32
Reserves,"2,088","2,289","2,270","2,516","2,739","2,997","3,021","3,284","3,451","3,479","3,731","4,208"
Borrowings +,"1,655","1,294",810,863,786,758,695,946,799,748,882,935
Other Liabilities +,968,951,"1,243","1,457","1,648","1,952","2,420","2,954","3,091","3,124","3,309","3,739"
Total Liabilities,"4,744","4,566","4,356","4,868","5,205","5,739","6,168","7,216","7,373","7,383","7,954","8,914"
Fixed Assets +,"2,569","2,406","2,184","2,218","2,242","2,824","2,759","3,152","3,252","3,002","3,944","4,226"
CWIP,8,3,10,8,181,30,325,126,196,628,36,70
Investments,16,1,100,133,123,233,288,276,275,374,340,348
Other Assets +,"2,151","2,157","2,062","2,509","2,658","2,652","2,796","3,663","3,650","3,379","3,634","4,270"
Total Assets,"4,744","4,566","4,356","4,868","5,205","5,739","6,168","7,216","7,373","7,383","7,954","8,914"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,376,448,441,307,551,731,"1,102",560,802,455,438,537
Cash from Investing Activity +,-0,86,-246,-106,-265,-323,-451,41,16,-804,-464,-509
Cash from Financing Activity +,-234,-473,-436,-42,-312,-298,-660,-232,-657,-152,-38,-133
Net Cash Flow,142,61,-240,159,-26,110,-8,369,160,-501,-64,-105
Free Cash Flow,220,400,375,170,181,261,576,160,532,-56,-47,150
