--- ABOUT ---
"Incorporated in 1984, Powerica Ltd is a power solutions company specializing in diesel generator sets (DG sets) for main and backup use. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,477",591,599,28.0

Book Value,Dividend Yield,ROCE,ROE
,0.00,15.7,17.4

Face Value
5.00

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,704,722,832,763,801
Expenses +,623,654,703,685,717
Operating Profit,82,68,129,78,84
OPM %,12%,9%,15%,10%,10%
Other Income +,5,22,9,13,6
Interest,9,8,6,6,7
Depreciation,30,29,27,28,35
Profit before tax,48,53,105,58,48
Tax %,37%,29%,20%,-69%,5%
Net Profit +,30,37,84,98,45
EPS in Rs,10.20,13.48,7.32,8.81,3.36
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,890,"1,488","2,378","2,210","2,653","3,012"
Expenses +,762,"1,302","2,045","1,848","2,317","2,636"
Operating Profit,128,186,333,362,337,376
OPM %,14%,12%,14%,16%,13%,12%
Other Income +,37,36,44,147,67,54
Interest,39,47,56,41,32,25
Depreciation,111,117,136,128,116,117
Profit before tax,14,59,186,341,255,287
Tax %,205%,66%,43%,34%,31%,3%
Net Profit +,-16,20,106,226,167,277
EPS in Rs,-4.56,5.73,30.86,83.17,61.32,21.12
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,17,17,14,14,63
Reserves,729,674,778,899,"1,071","1,928"
Borrowings +,399,386,279,182,312,572
Other Liabilities +,584,"1,072","1,052",990,"1,018","1,368"
Total Liabilities,"1,729","2,149","2,126","2,085","2,415","3,931"
Fixed Assets +,981,863,"1,091",951,865,"1,211"
CWIP,11,320,4,23,352,179
Investments,204,242,394,333,395,403
Other Assets +,532,724,636,777,802,"2,137"
Total Assets,"1,729","2,149","2,126","2,085","2,415","3,931"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,219,214,238,283,256,453
Cash from Investing Activity +,-95,-78,-80,-14,-346,"-1,394"
Cash from Financing Activity +,-80,-135,-165,-268,86,"1,001"
Net Cash Flow,44,0,-6,2,-4,60
Free Cash Flow,-20,152,191,154,-51,-121
CFO/OP,178%,117%,78%,95%,93%,121%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54,63,40,53,55,41
Inventory Days,56,54,47,68,42,60
Days Payable,71,95,55,77,53,72
Cash Conversion Cycle,39,21,33,44,44,29
Working Capital Days,-47,-107,-84,-23,-16,3
ROCE %,,10%,21%,27%,22%,16%

--- SHAREHOLDING PATTERN ---
,Apr 2026
Promoters +,77.18%
FIIs +,4.76%
DIIs +,15.37%
Public +,2.68%
No. of Shareholders,"23,806"

--- CAGR BOXES ---




