--- ABOUT ---
"Incorporated in 1994, Prajay Engineers Syndicate Ltd is in the business of Real Estate Construction and Management and Hospitality Services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
148,21.2,33.9,

Book Value,Dividend Yield,ROCE,ROE
68.4,0.00,-2.62,-3.86

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,11.58,7.51,2.78,20.80,26.37,4.71,25.67,11.52,15.56,14.71,8.55,8.07,7.09
Expenses +,26.07,8.66,7.72,27.10,50.57,9.74,31.19,15.45,29.79,20.40,15.25,9.55,15.38
Operating Profit,-14.49,-1.15,-4.94,-6.30,-24.20,-5.03,-5.52,-3.93,-14.23,-5.69,-6.70,-1.48,-8.29
OPM %,-125.13%,-15.31%,-177.70%,-30.29%,-91.77%,-106.79%,-21.50%,-34.11%,-91.45%,-38.68%,-78.36%,-18.34%,-116.93%
Other Income +,16.94,0.91,0.74,0.52,1.30,0.81,0.85,1.15,1.28,3.71,1.47,1.85,1.65
Interest,0.98,0.55,1.62,0.04,0.12,0.08,0.13,0.06,0.18,0.09,0.12,0.14,0.22
Depreciation,0.99,0.95,0.95,0.96,0.95,0.95,1.02,0.92,0.79,0.83,0.83,0.93,0.89
Profit before tax,0.48,-1.74,-6.77,-6.78,-23.97,-5.25,-5.82,-3.76,-13.92,-2.90,-6.18,-0.70,-7.75
Tax %,14.58%,29.31%,-2.07%,0.88%,0.63%,2.29%,6.70%,7.45%,2.95%,10.00%,4.85%,44.29%,3.87%
Net Profit +,0.41,-2.26,-6.63,-6.84,-24.12,-5.37,-6.21,-4.04,-14.34,-3.20,-6.47,-1.02,-8.06
EPS in Rs,0.07,-0.32,-0.95,-0.92,-3.38,-0.67,-0.83,-0.47,-1.99,-0.43,-0.93,-0.16,-1.14
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,109,93,69,41,49,50,38,93,30,57,57,38
Expenses +,122,106,74,45,49,49,34,88,50,94,86,61
Operating Profit,-13,-14,-5,-4,-1,1,5,5,-20,-37,-29,-22
OPM %,-12%,-15%,-8%,-10%,-1%,3%,12%,6%,-67%,-64%,-50%,-58%
Other Income +,1,8,5,6,5,3,1,2,19,3,4,9
Interest,6,14,16,19,15,5,6,5,4,2,0,1
Depreciation,6,6,6,5,4,4,4,4,4,4,4,3
Profit before tax,-25,-27,-22,-21,-15,-4,-4,-2,-9,-39,-29,-18
Tax %,-1%,9%,9%,4%,-6%,20%,22%,32%,3%,2%,4%,7%
Net Profit +,-24,-29,-24,-22,-15,-5,-5,-2,-9,-40,-30,-19
EPS in Rs,-3.53,-4.08,-3.33,-3.17,-2.05,-0.75,-0.71,-0.35,-1.31,-5.57,-3.96,-2.66
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,70,70,70,70,70,70,70,70,70,70,70,70
Reserves,556,574,550,528,509,505,500,497,486,447,417,408
Borrowings +,296,269,274,260,207,195,193,187,173,182,174,163
Other Liabilities +,371,377,388,446,497,458,456,399,214,201,179,164
Total Liabilities,"1,293","1,290","1,282","1,304","1,283","1,228","1,218","1,153",943,900,839,804
Fixed Assets +,156,149,144,139,135,132,134,132,128,126,151,152
CWIP,180,197,215,236,266,271,271,275,111,114,90,103
Investments,57,57,57,57,57,57,57,57,57,57,57,57
Other Assets +,899,887,865,872,825,767,756,689,647,604,541,492
Total Assets,"1,293","1,290","1,282","1,304","1,283","1,228","1,218","1,153",943,900,839,804

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,52,56,33,49,15,7,5,7,24,19,24
Cash from Investing Activity +,-21,-17,-20,-20,-30,-6,-6,-5,-1,-3,-6,-14
