--- ABOUT ---
"Praj Industries Ltd., founded in 1983  is a leading biotechnology and engineering company globally. It offers sustainable solutions in bioenergy, water purification, process equipment, breweries, and wastewater treatment. Company is focused on the environment , energy and farm-to-fuel technology solution. Company has global offices in Thailand, Philippines, and the USA. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,259",340,514,323

Book Value,Dividend Yield,ROCE,ROE
71.2,1.76,6.31,1.44

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,004",737,882,829,"1,019",699,816,853,860,640,842,841,845
Expenses +,896,661,798,731,888,607,730,780,784,609,786,800,821
Operating Profit,108,75,84,98,131,92,86,73,75,31,56,41,23
OPM %,11%,10%,10%,12%,13%,13%,11%,9%,9%,5%,7%,5%,3%
Other Income +,16,12,11,9,11,40,14,14,10,9,5,-23,33
Interest,2,1,1,4,4,5,5,4,5,5,5,5,5
Depreciation,9,9,9,11,15,20,21,23,22,25,27,27,27
Profit before tax,113,78,85,92,123,107,74,59,58,10,30,-13,24
Tax %,22%,24%,26%,23%,25%,21%,28%,30%,32%,44%,35%,-4%,51%
Net Profit +,88,59,62,70,92,84,54,41,40,5,19,-12,12
EPS in Rs,4.80,3.19,3.39,3.83,5.00,4.58,2.93,2.24,2.17,0.29,1.05,-0.67,0.63
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,012","1,024",915,917,"1,141","1,102","1,305","2,343","3,528","3,466","3,228","3,168"
Expenses +,919,910,846,865,"1,062","1,024","1,192","2,149","3,220","3,094","2,913","3,016"
Operating Profit,93,114,69,52,79,78,112,194,308,372,315,152
OPM %,9%,11%,8%,6%,7%,7%,9%,8%,9%,11%,10%,5%
Other Income +,34,18,22,27,32,30,26,36,45,59,89,24
Interest,2,2,1,1,1,3,3,3,5,10,19,20
Depreciation,38,25,22,24,23,22,22,23,30,44,86,106
Profit before tax,86,105,68,53,88,83,113,205,319,377,299,50
Tax %,9%,22%,34%,26%,22%,15%,28%,27%,25%,25%,27%,52%
Net Profit +,78,82,45,39,68,70,81,150,240,283,219,24
EPS in Rs,4.30,4.63,2.49,2.18,3.73,3.85,4.42,8.18,13.05,15.42,11.91,1.30
Dividend Payout %,38%,35%,65%,74%,57%,70%,49%,51%,34%,39%,50%,278%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,35,36,36,36,37,37,37,37,37,37,37,37
Reserves,587,620,674,690,708,683,765,879,"1,041","1,238","1,345","1,272"
Borrowings +,17,16,4,6,0,0,18,21,42,169,195,173
Other Liabilities +,504,485,473,401,502,442,774,"1,281","1,499","1,450","1,581","1,574"
Total Liabilities,"1,144","1,157","1,187","1,133","1,247","1,162","1,594","2,218","2,619","2,894","3,157","3,056"
Fixed Assets +,302,272,270,297,290,294,284,286,317,474,567,561
CWIP,1,1,31,4,2,2,1,2,7,43,18,6
Investments,158,145,134,201,211,164,335,463,543,497,428,418
Other Assets +,682,738,752,631,744,702,975,"1,467","1,752","1,880","2,144","2,072"
Total Assets,"1,144","1,157","1,187","1,133","1,247","1,162","1,594","2,218","2,619","2,894","3,157","3,056"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,150,51,20,101,33,15,225,188,162,199,43,200
Cash from Investing Activity +,-77,2,-8,-69,-3,66,-164,-137,-78,-6,75,-6
Cash from Financing Activity +,-40,-68,-4,-25,-43,-98,-6,-44,-93,-124,-161,-187
Net Cash Flow,33,-15,9,8,-14,-18,55,6,-9,70,-42,6
Free Cash Flow,154,39,-16,85,19,8,217,169,127,111,-1,157
CFO/OP,151%,76%,59%,221%,68%,42%,213%,120%,73%,82%,46%,178%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,101,131,118,105,98,109,127,80,82,68,63,64
Inventory Days,164,79,82,63,76,73,64,86,55,41,56,60
Days Payable,128,162,167,137,140,124,169,106,84,92,106,132
Cash Conversion Cycle,137,48,33,30,33,59,21,60,54,16,12,-8
Working Capital Days,26,46,66,51,39,65,12,4,8,16,32,63
ROCE %,12%,16%,10%,6%,11%,11%,15%,23%,31%,29%,18%,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
