--- ABOUT ---
"Incorporated in 1996, Prakash Steelage Ltd manufactures and exports stainless Steel tubes & pipes [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
79.1,4.52,6.60,

Book Value,Dividend Yield,ROCE,ROE
6.31,0.00,-10.6,-45.1

Face Value
1.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2014,Mar 2015,Mar 2016
Sales +,"1,025","1,123",565
Expenses +,957,"1,055",606
Operating Profit,68,68,-41
OPM %,7%,6%,-7%
Other Income +,5,2,-9
Interest,35,36,29
Depreciation,8,11,8
Profit before tax,30,22,-87
Tax %,29%,33%,1%
Net Profit +,21,15,-88
EPS in Rs,1.22,0.84,-5.02
Dividend Payout %,8%,6%,0%

--- BALANCE SHEET ---
,Mar 2014,Mar 2015,Mar 2016
Equity Capital,18,18,18
Reserves,167,180,93
Borrowings +,264,245,203
Other Liabilities +,193,361,183
Total Liabilities,642,803,497
Fixed Assets +,84,81,19
CWIP,1,1,5
Investments,0,0,3
Other Assets +,557,721,470
Total Assets,642,803,497

--- CASH FLOW ---
,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity +,-8,51,25
Cash from Investing Activity +,-9,-0,45
Cash from Financing Activity +,23,-58,-71
Net Cash Flow,5,-8,-2
Free Cash Flow,-23,40,67
CFO/OP,-4%,84%,-62%

--- RATIOS ---
,Mar 2014,Mar 2015,Mar 2016
Debtor Days,99,119,193
Inventory Days,84,99,29
Days Payable,64,116,76
Cash Conversion Cycle,120,102,146
Working Capital Days,42,51,79
ROCE %,,15%,-11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.41%,33.48%,33.51%,33.52%,33.52%,33.55%,33.55%,33.56%,33.56%,33.56%,33.56%,33.56%
FIIs +,0.00%,0.00%,0.00%,0.08%,0.06%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%
Government +,0.15%,0.15%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,66.44%,66.38%,66.34%,66.40%,66.41%,66.45%,66.44%,66.44%,66.29%,66.44%,66.44%,66.45%
No. of Shareholders,"93,633","1,06,626","1,19,612","1,52,747","1,51,951","1,55,594","1,65,045","1,65,630","1,63,099","1,59,800","1,57,335","1,53,992"

--- CAGR BOXES ---




