--- ABOUT ---
"Incorporated in 1992, Precision Camshafts Limited is manufacturer and supplier of camshafts in India and globally. It supplies more than 150 varieties of camshafts for passenger vehicles, tractors, light commercial vehicles and locomotive engine applications. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,447",152,263,32.6

Book Value,Dividend Yield,ROCE,ROE
88.0,0.66,8.30,5.45

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,279,263,254,258,256,255,225,195,190,195,198,179,201
Expenses +,254,240,227,229,235,231,202,186,165,180,185,164,175
Operating Profit,25,23,28,28,22,24,23,8,26,15,13,14,26
OPM %,9%,9%,11%,11%,8%,10%,10%,4%,13%,7%,7%,8%,13%
Other Income +,8,7,5,32,6,8,14,2,44,27,19,8,7
Interest,3,2,2,2,2,2,2,2,3,2,2,1,2
Depreciation,19,19,21,21,20,15,15,13,14,13,12,10,10
Profit before tax,11,9,11,36,5,15,20,-5,53,27,18,11,22
Tax %,2%,53%,20%,32%,30%,22%,57%,41%,24%,31%,28%,18%,54%
Net Profit +,11,4,8,24,3,12,8,-6,40,19,13,9,10
EPS in Rs,1.17,0.43,0.89,2.58,0.35,1.22,0.88,-0.67,4.26,1.98,1.39,0.97,1.06
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,532,440,442,421,695,746,709,895,"1,080","1,031",865,773
Expenses +,390,322,343,342,570,635,648,781,970,931,784,704
Operating Profit,143,118,99,80,125,112,61,114,111,101,82,68
OPM %,27%,27%,22%,19%,18%,15%,9%,13%,10%,10%,9%,9%
Other Income +,-8,34,42,40,-10,19,41,46,33,50,67,62
Interest,11,9,7,5,9,9,8,7,8,8,8,7
Depreciation,41,39,37,45,78,86,79,92,75,82,57,45
Profit before tax,83,103,97,69,28,35,15,61,60,60,83,79
Tax %,44%,34%,31%,33%,75%,28%,105%,24%,23%,33%,35%,35%
Net Profit +,46,69,67,46,7,26,-1,46,46,40,54,51
EPS in Rs,5.67,7.25,7.02,4.86,1.21,3.68,0.24,4.84,4.87,4.25,5.70,5.40
Dividend Payout %,1%,14%,21%,21%,82%,26%,415%,23%,21%,24%,18%,19%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,82,95,95,95,95,95,95,95,95,95,95,95
Reserves,150,399,464,487,510,523,548,587,622,653,698,741
Borrowings +,222,166,111,107,169,200,176,136,105,110,120,54
Other Liabilities +,141,111,112,196,256,214,202,239,281,178,164,160
Total Liabilities,595,771,781,885,"1,030","1,031","1,020","1,057","1,102","1,037","1,077","1,050"
Fixed Assets +,231,191,216,349,490,444,426,360,311,325,286,307
CWIP,16,14,9,9,26,34,9,34,82,28,58,65
Investments,62,76,117,154,100,130,196,194,177,225,320,357
Other Assets +,285,490,440,373,414,423,388,469,532,459,413,321
Total Assets,595,771,781,885,"1,030","1,031","1,020","1,057","1,102","1,037","1,077","1,050"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,120,78,64,103,40,58,120,88,103,131,143,120
Cash from Investing Activity +,-97,-300,-2,-22,-33,-57,-85,-39,-37,-94,-124,-78
Cash from Financing Activity +,2,194,-67,-71,-10,3,-37,-61,-60,-13,-14,-58
Net Cash Flow,24,-28,-5,10,-3,4,-2,-13,6,25,5,-16
Free Cash Flow,53,24,20,35,-33,-14,91,31,41,67,91,52
CFO/OP,107%,103%,102%,155%,50%,76%,230%,97%,117%,150%,200%,214%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72,74,87,96,74,84,79,67,70,62,69,59
Inventory Days,96,110,88,161,169,185,160,196,171,130,139,113
Days Payable,151,177,187,219,153,134,144,98,97,106,116,108
Cash Conversion Cycle,17,8,-11,39,91,135,96,166,144,86,92,64
Working Capital Days,-36,-29,-14,11,49,78,26,33,35,30,17,196
ROCE %,26%,19%,16%,11%,8%,6%,0%,4%,8%,6%,6%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%
FIIs +,0.07%,0.11%,0.12%,0.12%,0.12%,0.15%,0.23%,0.40%,0.15%,0.20%,0.13%,0.12%
DIIs +,0.12%,0.13%,0.13%,0.08%,0.08%,0.08%,0.02%,0.00%,0.00%,0.01%,0.00%,0.09%
Public +,34.46%,34.40%,34.39%,34.43%,34.43%,34.40%,34.37%,34.22%,34.48%,34.42%,34.50%,34.41%
No. of Shareholders,"49,156","48,520","47,767","50,444","51,094","51,315","54,184","54,612","56,997","63,733","62,248","60,950"

--- CAGR BOXES ---




