--- ABOUT ---
"Prestige Estate Projects has diversified business model across various segments, viz Residential, Office, Retail, Hospitality, Property Management and Warehouses with operations in more than 12 major locations in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"64,493","1,497","1,814",54.0

Book Value,Dividend Yield,ROCE,ROE
378,0.12,10.4,7.54

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,632","1,681","2,236","1,796","2,164","1,862","2,304","1,654","1,528","2,307","2,432","3,873","4,074"
Expenses +,"1,950","1,158","1,651","1,261","1,336","1,079","1,684","1,071",999,"1,430","1,522","3,013","3,063"
Operating Profit,682,522,585,535,828,784,620,583,529,877,910,860,"1,010"
OPM %,26%,31%,26%,30%,38%,42%,27%,35%,35%,38%,37%,22%,25%
Other Income +,341,285,"1,020",175,108,162,119,43,61,161,278,36,70
Interest,235,238,264,293,424,346,356,345,286,384,385,384,430
Depreciation,168,166,174,180,197,190,200,205,217,216,219,234,238
Profit before tax,620,404,"1,167",237,314,409,183,77,87,439,584,278,413
Tax %,19%,21%,22%,31%,25%,25%,-28%,58%,51%,29%,22%,12%,29%
Net Profit +,505,318,910,165,236,307,235,32,43,312,457,245,292
EPS in Rs,11.68,6.66,21.23,2.90,3.49,5.80,4.46,0.41,0.58,6.79,9.99,5.17,5.81
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,420","5,531","4,774","5,499","5,172","8,125","7,242","6,390","8,315","7,877","7,349","12,685"
Expenses +,"2,426","4,464","3,855","4,222","3,718","5,769","5,308","4,872","6,227","5,379","4,833","8,993"
Operating Profit,994,"1,068",920,"1,277","1,454","2,356","1,934","1,517","2,088","2,498","2,516","3,692"
OPM %,29%,19%,19%,23%,28%,29%,27%,24%,25%,32%,34%,29%
Other Income +,99,288,99,82,232,161,"3,036","1,018",780,"1,560",386,510
Interest,321,346,316,566,723,"1,023",979,555,807,"1,219","1,334","1,582"
Depreciation,140,127,164,155,323,667,593,471,647,716,812,906
Profit before tax,631,882,539,638,640,827,"3,398","1,509","1,414","2,122",756,"1,714"
Tax %,42%,26%,31%,33%,31%,34%,15%,20%,25%,23%,18%,24%
Net Profit +,367,653,373,425,442,549,"2,878","1,215","1,067","1,629",617,"1,305"
EPS in Rs,8.86,16.26,7.06,9.90,11.08,10.06,69.41,28.69,23.49,34.28,10.85,27.76
Dividend Payout %,17%,7%,17%,12%,14%,15%,2%,5%,6%,5%,17%,7%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,375,375,375,375,375,401,401,401,401,401,431,431
Reserves,"3,446","3,825","4,040","4,358","3,852","4,959","7,600","8,694","9,574","10,888","14,992","15,842"
Borrowings +,"4,071","5,374","5,739","7,416","8,487","9,272","4,898","7,412","9,420","13,458","13,180","17,659"
Other Liabilities +,"4,463","6,886","6,676","6,754","15,720","14,844","12,201","13,664","16,876","23,227","29,634","39,436"
Total Liabilities,"12,355","16,460","16,830","18,902","28,433","29,476","25,100","30,171","36,271","47,974","58,237","73,368"
Fixed Assets +,"3,010",932,"3,622","5,135","6,732","8,986","3,780","5,858","6,780","8,669","10,545","11,965"
