--- ABOUT ---
"Incorporated in 1982, Prime Securities Ltd is in the business of providing financial services including Non-Banking Finance Services, Insurance, and Capital Markets [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,018",300,325,107

Book Value,Dividend Yield,ROCE,ROE
75.6,0.50,8.25,4.09

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,12,21,15,18,13,29,30,21,12,47,31,30,30
Expenses +,7,14,11,8,10,17,12,11,12,30,25,26,35
Operating Profit,5,7,5,10,3,13,18,10,1,17,6,4,-5
OPM %,43%,34%,32%,57%,20%,43%,61%,49%,6%,36%,20%,13%,-17%
Other Income +,1,0,0,0,0,4,0,0,0,0,0,0,-11
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,1,1,1,1
Profit before tax,6,7,5,10,2,16,18,10,1,16,5,3,-18
Tax %,30%,24%,14%,20%,28%,24%,4%,18%,-35%,34%,-165%,10%,-27%
Net Profit +,4,5,4,8,2,12,17,8,1,10,14,2,-13
EPS in Rs,1.25,1.54,1.20,2.41,0.50,3.61,5.13,2.44,0.23,3.12,4.09,0.62,-3.90
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 18m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,-9,12,20,24,47,74,44,46,47,67,89,137
Expenses +,8,4,-35,8,30,62,33,26,32,42,47,115
Operating Profit,-17,8,55,16,17,12,11,20,15,24,42,21
OPM %,,68%,281%,67%,36%,16%,24%,44%,32%,37%,47%,16%
Other Income +,6,8,-35,2,-0,-0,2,3,2,0,4,-10
Interest,3,0,0,0,0,0,0,0,1,0,0,1
Depreciation,1,1,0,0,0,1,1,1,1,1,1,3
Profit before tax,-15,15,19,17,16,11,11,21,15,23,45,7
Tax %,1%,4%,31%,17%,23%,27%,23%,21%,26%,21%,14%,-117%
Net Profit +,-15,14,13,14,13,8,8,17,11,19,38,13
EPS in Rs,-5.75,5.36,5.06,5.39,4.76,2.98,3.10,5.45,3.46,5.58,11.39,3.88
Dividend Payout %,0%,0%,0%,0%,0%,0%,145%,41%,14%,18%,13%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,13,13,16,16,17,17,17
Reserves,-28,-14,-18,-3,20,32,44,96,111,141,189,239
Borrowings +,110,89,17,8,4,0,0,5,0,0,0,2
Other Liabilities +,146,114,10,4,11,16,24,14,14,19,24,30
Total Liabilities,241,203,22,22,49,62,81,131,141,177,230,288
Fixed Assets +,5,3,3,3,2,4,3,3,3,2,5,12
CWIP,0,0,0,0,0,0,0,1,0,0,0,0
Investments,57,49,2,2,3,2,17,44,56,109,176,214
Other Assets +,180,150,18,17,44,56,62,83,83,66,49,62
Total Assets,241,203,22,22,49,62,81,131,141,177,230,288

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-14,-0,7,7,-1,15,40,1,-5,13,28,-2
Cash from Investing Activity +,7,9,20,0,-2,-3,-27,-48,3,-18,-26,7
Cash from Financing Activity +,6,-7,-25,-9,4,-3,-0,34,-6,4,-1,-3
Net Cash Flow,-1,1,3,-2,1,9,13,-13,-8,-1,0,2
Free Cash Flow,-14,-0,7,6,-3,12,40,-1,-6,13,26,-12
CFO/OP,79%,-2%,15%,92%,13%,186%,438%,14%,-28%,79%,82%,32%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,"-4,828","3,787",80,20,172,22,7,28,117,67,89,39
Inventory Days,0,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,"-4,828","3,787",80,20,172,22,7,28,117,67,89,39
Working Capital Days,"-2,755","-1,767",-297,-49,205,112,-59,34,111,48,36,644
ROCE %,-14%,20%,18%,105%,60%,27%,21%,22%,12%,17%,23%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,5.59%,8.45%,7.04%,5.88%,6.04%,5.26%,4.38%,4.59%,4.48%,4.47%,4.93%,4.96%
DIIs +,0.04%,0.04%,0.04%,0.04%,4.85%,4.85%,4.84%,4.95%,4.95%,4.95%,5.08%,5.08%
Public +,94.37%,91.50%,92.91%,94.08%,89.12%,89.89%,90.79%,90.46%,90.57%,90.58%,89.98%,89.95%
No. of Shareholders,"18,927","18,320","17,934","17,980","17,538","17,695","19,014","21,539","20,623","19,426","18,508","18,094"

--- CAGR BOXES ---




