--- ABOUT ---
"Incorporated in 1975, Punjab Chemicals & Crop Protection Ltd is in the business of Performance Chemicals [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,278","1,043","1,666",19.5

Book Value,Dividend Yield,ROCE,ROE
345,0.29,18.6,16.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,195,281,242,214,197,242,242,214,202,320,255,247,209
Expenses +,174,244,207,188,183,215,217,195,177,285,229,217,181
Operating Profit,21,38,35,26,13,28,26,19,26,34,26,30,28
OPM %,11%,13%,15%,12%,7%,11%,11%,9%,13%,11%,10%,12%,13%
Other Income +,1,0,2,1,0,1,2,0,-4,4,6,-0,2
Interest,7,4,7,7,4,4,5,4,5,4,4,4,5
Depreciation,5,5,6,5,6,6,6,7,7,6,7,7,9
Profit before tax,10,29,25,15,4,18,17,8,10,28,22,19,16
Tax %,69%,26%,27%,27%,32%,26%,25%,28%,32%,25%,15%,26%,32%
Net Profit +,3,22,18,11,2,13,12,6,7,21,19,14,11
EPS in Rs,2.61,17.83,14.78,9.13,1.97,10.96,10.09,4.95,5.75,16.82,15.12,11.26,8.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,564,537,525,493,643,550,678,933,"1,006",934,901,"1,030"
Expenses +,517,497,509,450,576,507,583,793,883,821,801,912
Operating Profit,47,41,16,44,67,42,96,140,123,113,99,118
OPM %,8%,8%,3%,9%,10%,8%,14%,15%,12%,12%,11%,11%
Other Income +,21,40,12,12,-2,13,2,1,3,3,-3,12
Interest,35,50,31,18,17,18,13,12,18,21,18,17
Depreciation,19,17,16,14,19,15,15,17,19,22,25,29
Profit before tax,14,14,-19,24,29,22,69,112,89,73,54,84
Tax %,4%,4%,4%,29%,42%,51%,29%,25%,31%,27%,27%,24%
Net Profit +,14,13,-20,17,17,11,49,83,61,54,39,64
EPS in Rs,11.58,10.83,-16.25,14.01,13.70,8.77,40.03,68.06,49.83,43.70,31.75,52.16
Dividend Payout %,0%,0%,0%,11%,11%,17%,5%,4%,6%,7%,9%,6%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,-47,49,46,62,79,85,132,213,268,318,352,411
Borrowings +,321,191,151,117,91,99,88,93,94,123,168,154
Other Liabilities +,196,205,229,165,189,197,219,238,241,187,268,245
Total Liabilities,482,457,439,356,371,394,451,557,616,640,801,823
Fixed Assets +,232,235,224,177,180,168,189,212,222,236,253,276
CWIP,7,4,6,4,7,15,16,7,20,12,14,17
Investments,0,0,1,1,1,1,1,1,2,8,4,2
Other Assets +,243,219,207,174,184,210,245,337,372,384,529,528
Total Assets,482,457,439,356,371,394,451,557,616,640,801,823

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,57,105,62,61,68,34,43,34,58,30,25,86
Cash from Investing Activity +,-0,28,-5,-18,-20,-15,-9,-27,-38,-36,-31,-44
Cash from Financing Activity +,-72,-141,-61,-43,-4,-19,-24,-11,-20,4,12,-44
Net Cash Flow,-14,-8,-4,1,45,1,10,-3,0,-2,7,-2
Free Cash Flow,54,114,48,41,42,9,15,2,22,-1,-8,40
CFO/OP,126%,260%,401%,143%,111%,91%,59%,38%,76%,50%,36%,91%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,48,52,44,31,36,32,45,44,52,77,95,72
Inventory Days,95,78,85,83,75,97,91,99,97,85,151,145
Days Payable,78,76,148,133,103,100,102,85,80,75,136,102
Cash Conversion Cycle,64,54,-19,-19,7,28,34,58,69,86,110,115
Working Capital Days,-88,-37,-83,-45,-43,-24,3,24,38,49,63,56
ROCE %,13%,14%,5%,20%,29%,17%,38%,45%,31%,22%,15%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,39.22%,39.22%,39.22%,39.22%,39.22%,39.22%,39.22%,39.22%,39.22%,39.22%,39.22%,39.24%
FIIs +,2.97%,2.99%,2.98%,3.00%,3.02%,2.97%,2.94%,3.06%,2.99%,3.02%,3.01%,3.01%
DIIs +,0.20%,0.15%,0.15%,0.42%,0.42%,0.39%,0.50%,0.55%,0.55%,0.56%,0.56%,0.62%
Public +,57.60%,57.65%,57.65%,57.36%,57.34%,57.42%,57.33%,57.17%,57.25%,57.20%,57.20%,57.14%
No. of Shareholders,"21,946","22,168","21,183","21,336","20,685","21,302","21,267","21,044","20,205","20,641","19,450","19,299"

--- CAGR BOXES ---




