--- ABOUT ---
"Incorporated in 1991, PVP Ventures Ltd develops urban infrastructure and investments in various ventures [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
777,29.8,39.9,

Book Value,Dividend Yield,ROCE,ROE
8.38,0.00,6.22,-2.35

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,1.79,0.45,0.03,4.32,3.67,2.52,3.18,2.48,19.03,17.21,17.09,13.96,41.44
Expenses +,6.00,3.26,3.29,6.87,6.88,6.13,8.07,6.74,13.82,12.17,14.70,10.04,34.22
Operating Profit,-4.21,-2.81,-3.26,-2.55,-3.21,-3.61,-4.89,-4.26,5.21,5.04,2.39,3.92,7.22
OPM %,-235.20%,-624.44%,"-10,866.67%",-59.03%,-87.47%,-143.25%,-153.77%,-171.77%,27.38%,29.29%,13.98%,28.08%,17.42%
Other Income +,-117.64,0.03,0.07,73.31,7.26,2.63,3.23,2.78,-3.93,3.74,3.89,3.13,9.43
Interest,-0.17,0.96,0.66,2.89,0.85,1.12,1.49,0.49,0.86,8.27,8.44,7.53,9.27
Depreciation,0.28,0.22,0.22,0.71,0.75,0.60,0.61,0.59,0.24,1.01,1.42,1.37,9.87
Profit before tax,-121.96,-3.96,-4.07,67.16,2.45,-2.70,-3.76,-2.56,0.18,-0.50,-3.58,-1.85,-2.49
Tax %,5.23%,0.00%,0.00%,0.00%,-202.45%,-16.67%,-19.95%,-71.48%,"1,527.78%",-78.00%,-27.09%,118.92%,28.11%
Net Profit +,-128.33,-3.95,-4.07,67.16,7.42,-2.25,-3.01,-0.74,-2.57,-0.11,-2.60,-4.06,-3.19
EPS in Rs,-4.99,-0.16,-0.01,2.59,0.28,-0.08,-0.10,-0.02,-0.06,0.01,-0.12,-0.14,-0.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,53.36,143.77,155.60,58.43,36.81,43.72,17.84,48.76,175.68,8.47,27.20,89.71
Expenses +,64.53,140.32,110.98,67.40,80.94,64.42,31.38,41.51,46.28,20.41,34.74,71.15
Operating Profit,-11.17,3.45,44.62,-8.97,-44.13,-20.70,-13.54,7.25,129.40,-11.94,-7.54,18.56
OPM %,-20.93%,2.40%,28.68%,-15.35%,-119.89%,-47.35%,-75.90%,14.87%,73.66%,-140.97%,-27.72%,20.69%
Other Income +,2.96,53.44,2.09,0.45,-11.20,1.66,-3.80,-33.45,216.10,80.23,4.71,20.19
Interest,21.84,51.18,47.18,50.88,59.25,69.15,61.32,68.16,10.09,5.39,3.98,33.50
Depreciation,0.60,1.16,1.11,1.09,1.71,2.46,1.96,0.87,1.12,1.90,2.04,13.67
Profit before tax,-30.65,4.55,-1.58,-60.49,-116.29,-90.65,-80.62,-95.23,334.29,61.00,-8.85,-8.42
Tax %,8.58%,92.75%,-620.25%,2.61%,0.03%,2.98%,0.00%,0.00%,7.42%,-8.13%,-3.16%,18.29%
Net Profit +,-33.29,0.33,8.22,-62.06,-116.32,-93.36,-80.62,-95.22,309.51,65.96,-8.56,-9.97
EPS in Rs,-1.04,0.01,0.34,-2.53,-4.75,-2.48,-2.30,-2.43,8.79,2.55,-0.26,-0.26
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,243.96,243.96,243.96,243.96,243.96,243.96,243.96,243.96,243.96,260.40,260.40,260.40
Reserves,142.60,-9.28,4.61,-31.89,-114.17,-176.39,-232.72,-289.65,-95.89,-30.87,-38.41,-42.17
Borrowings +,142.74,362.91,302.40,348.87,369.93,358.67,355.27,372.93,119.20,43.23,23.25,256.43
Other Liabilities +,151.90,223.12,224.80,167.26,169.67,184.87,199.32,178.11,71.41,106.44,129.63,319.29
Total Liabilities,681.20,820.71,775.77,728.20,669.39,611.11,565.83,505.35,338.68,379.20,374.87,793.95
Fixed Assets +,69.48,3.80,4.20,13.36,12.39,13.78,4.81,3.93,3.88,43.43,36.62,322.98
CWIP,0.10,2.76,8.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
Investments,150.19,51.81,51.85,43.88,32.99,29.04,17.57,14.21,9.48,7.74,2.17,6.05
Other Assets +,461.43,762.34,711.06,670.96,624.01,568.29,543.45,487.21,325.32,328.03,336.08,464.60
Total Assets,681.20,820.71,775.77,728.20,669.39,611.11,565.83,505.35,338.68,379.20,374.87,793.95

--- CASH FLOW ---
