--- ABOUT ---
"Incorporated in 1998, Radaan Mediaworks India Ltd is in the media & entertainment business. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
16.8,3.11,4.60 / 2.30,

Book Value,Dividend Yield,ROCE,ROE
-2.99,0.00,-38.0,

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,5.91,2.08,3.33,4.06,11.87,14.79,3.42,2.36,2.30,0.29,1.89,1.57,1.65
Expenses +,3.06,2.34,4.17,4.33,7.90,13.59,2.60,1.66,2.23,1.23,4.01,2.23,2.08
Operating Profit,2.85,-0.26,-0.84,-0.27,3.97,1.20,0.82,0.70,0.07,-0.94,-2.12,-0.66,-0.43
OPM %,48.22%,-12.50%,-25.23%,-6.65%,33.45%,8.11%,23.98%,29.66%,3.04%,-324.14%,-112.17%,-42.04%,-26.06%
Other Income +,0.01,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.01,1.02,0.00,0.07
Interest,0.66,0.71,0.76,0.85,0.75,0.66,0.56,0.67,0.55,0.56,0.42,0.32,0.41
Depreciation,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,2.19,-0.99,-1.59,-1.12,3.21,0.53,0.25,0.02,-0.49,-1.50,-1.53,-0.99,-0.78
Tax %,-0.46%,-1.01%,0.63%,0.00%,-0.93%,-1.89%,-4.00%,-50.00%,-2.04%,-0.67%,0.00%,1.01%,-1.28%
Net Profit +,2.20,-0.98,-1.60,-1.11,3.24,0.53,0.25,0.03,-0.49,-1.49,-1.54,-0.99,-0.78
EPS in Rs,0.41,-0.18,-0.30,-0.20,0.60,0.10,0.05,0.01,-0.09,-0.28,-0.28,-0.18,-0.14
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,35.54,32.40,30.81,29.12,28.04,10.20,9.36,9.89,12.03,21.33,22.87,5.40
Expenses +,32.65,29.70,28.27,26.71,34.24,17.04,14.81,13.29,11.26,18.73,20.11,9.56
Operating Profit,2.89,2.70,2.54,2.41,-6.20,-6.84,-5.45,-3.40,0.77,2.60,2.76,-4.16
OPM %,8.13%,8.33%,8.24%,8.28%,-22.11%,-67.06%,-58.23%,-34.38%,6.40%,12.19%,12.07%,-77.04%
Other Income +,-0.03,0.13,0.15,0.18,0.14,-0.10,0.00,1.28,0.01,0.04,0.01,1.10
Interest,1.09,1.28,1.09,1.13,1.20,1.25,1.52,1.96,2.43,3.06,2.43,1.71
Depreciation,0.64,0.63,0.51,0.59,0.51,0.56,0.48,0.26,0.07,0.06,0.05,0.05
Profit before tax,1.13,0.92,1.09,0.87,-7.77,-8.75,-7.45,-4.34,-1.72,-0.48,0.29,-4.82
Tax %,1.77%,5.43%,5.50%,13.79%,2.57%,0.46%,-0.67%,0.23%,-1.74%,-6.25%,-13.79%,-0.41%
Net Profit +,1.11,0.88,1.02,0.75,-7.97,-8.79,-7.39,-4.34,-1.69,-0.45,0.33,-4.79
EPS in Rs,0.20,0.16,0.19,0.14,-1.47,-1.62,-1.36,-0.80,-0.31,-0.08,0.06,-0.88
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83
Reserves,7.93,8.80,6.83,7.54,-0.44,-9.23,-16.62,-20.97,-22.66,-22.58,-22.25,-27.05
Borrowings +,5.99,7.84,8.61,7.28,16.13,18.04,24.16,29.39,34.05,33.89,29.36,14.65
Other Liabilities +,7.49,9.16,7.73,7.37,8.49,8.90,10.41,7.26,11.63,16.39,11.25,9.22
Total Liabilities,32.24,36.63,34.00,33.02,35.01,28.54,28.78,26.51,33.85,38.53,29.19,7.65
Fixed Assets +,3.12,2.63,2.05,2.31,1.88,1.33,0.88,0.59,0.52,0.50,0.45,0.41
CWIP,0.00,0.00,0.84,0.00,11.16,12.07,14.99,16.51,17.48,18.44,19.20,0.00
Investments,0.75,0.75,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.00,0.00,0.00
Other Assets +,28.37,33.25,30.38,29.98,21.25,14.42,12.19,8.69,15.13,19.59,9.54,7.24
Total Assets,32.24,36.63,34.00,33.02,35.01,28.54,28.78,26.51,33.85,38.53,29.19,7.65

--- CASH FLOW ---
