--- ABOUT ---
"Incorporated in 1985, Rajshree Sugars & Chemicals Ltd is in the business of Sugar, Distillery, Power and Biotechnology [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
112,33.8,50.5 / 22.8,4.25

Book Value,Dividend Yield,ROCE,ROE
46.7,0.00,11.0,22.3

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,416,381,433,584,738,836,951,923,711,713,667,552
Expenses +,356,372,348,447,671,735,828,860,708,673,527,518
Operating Profit,60,8,84,136,67,102,123,64,3,40,140,34
OPM %,14%,2%,20%,23%,9%,12%,13%,7%,0%,6%,21%,6%
Other Income +,-4,-6,1,9,-23,-7,4,4,7,32,3,63
Interest,20,18,31,51,57,67,85,79,72,72,72,60
Depreciation,12,12,16,25,25,28,37,38,32,28,26,25
Profit before tax,25,-28,38,70,-38,0,5,-50,-95,-28,45,12
Tax %,15%,-19%,33%,34%,-11%,134%,-14%,-31%,-31%,-31%,35%,-120%
Net Profit +,21,-22,26,46,-34,-0,6,-34,-66,-19,29,27
EPS in Rs,,,,,-14.11,-0.06,2.32,-14.44,-27.61,-7.73,10.46,9.42
Dividend Payout %,38%,0%,9%,15%,0%,0%,0%,0%,0%,0%,10%,0%

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Equity Capital,23,23,23,23,24,24,24,24,24,25,28,28
Reserves,77,55,78,117,88,88,95,60,-10,-27,77,103
Borrowings +,244,344,438,486,536,636,639,713,736,780,615,458
Other Liabilities +,162,210,154,177,160,219,297,316,223,171,393,170
Total Liabilities,506,631,692,803,808,966,"1,055","1,113",974,949,"1,112",760
Fixed Assets +,242,248,477,448,481,504,636,621,588,562,551,528
CWIP,25,178,5,8,27,139,15,3,2,2,2,2
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,240,206,210,347,300,323,404,490,384,386,560,230
Total Assets,506,631,692,803,808,966,"1,055","1,113",974,949,"1,112",760

--- CASH FLOW ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Cash from Operating Activity +,42,85,21,12,73,122,136,21,12,15,204,129
Cash from Investing Activity +,-89,-177,-52,7,-42,-163,-51,-10,2,-0,1,32
Cash from Financing Activity +,66,72,44,-4,-45,34,-87,71,-100,-16,-151,-215
Net Cash Flow,19,-20,12,16,-14,-7,-2,82,-86,-2,55,-54
Free Cash Flow,1,-92,-32,19,31,-41,84,10,9,13,202,125
CFO/OP,78%,"1,008%",29%,10%,110%,120%,112%,31%,453%,36%,146%,412%

--- RATIOS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Debtor Days,27,20,11,16,19,33,23,13,19,28,31,31
Inventory Days,158,161,167,239,112,106,161,170,183,186,285,129
Days Payable,123,206,114,93,53,55,74,100,126,84,157,118
Cash Conversion Cycle,62,-25,64,161,78,84,110,83,75,130,159,42
Working Capital Days,77,19,65,117,-50,-54,-74,-36,-55,-73,-87,-89
ROCE %,,0%,15%,21%,7%,12%,12%,4%,-3%,2%,16%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.71%,40.71%,40.71%,40.71%,40.71%
FIIs +,0.00%,0.03%,0.00%,0.04%,0.00%,0.29%,0.09%,0.01%,0.14%,0.04%,0.00%,0.00%
DIIs +,12.38%,11.80%,4.90%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%,2.88%
Public +,46.94%,47.49%,54.43%,56.42%,56.45%,56.15%,56.37%,56.39%,56.26%,56.36%,56.40%,56.39%
No. of Shareholders,"24,117","25,219","25,596","30,879","32,316","32,660","32,650","32,638","32,114","32,427","31,976","31,409"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,4%
5 Years:,-10%
3 Years:,-8%
TTM:,-17%

Compounded Profit Growth
10 Years:,15%
5 Years:,38%
3 Years:,34%
TTM:,-10%

Stock Price CAGR
10 Years:,-6%
5 Years:,5%
3 Years:,-7%
1 Year:,-28%

Return on Equity
10 Years:,-1%
5 Years:,-28%
3 Years:,5%
Last Year:,22%

