--- ABOUT ---
"Ramky Infrastructure Limited is a flagship company of the Ramky Group. The Co is engaged in the business of construction, infrastructure development and management. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,956",427,706,13.1

Book Value,Dividend Yield,ROCE,ROE
312,0.00,13.7,11.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,576,557,582,441,581,569,527,459,489,379,472,489,507
Expenses +,481,400,401,364,486,453,399,369,487,303,389,413,511
Operating Profit,96,157,181,77,96,116,129,90,2,76,83,76,-4
OPM %,17%,28%,31%,17%,16%,20%,24%,20%,0%,20%,18%,16%,-1%
Other Income +,"1,319",37,41,40,43,36,36,40,55,61,57,62,74
Interest,89,40,46,45,28,29,30,26,35,22,18,18,16
Depreciation,11,11,12,12,13,12,13,13,13,14,15,15,14
Profit before tax,"1,314",143,164,59,97,111,122,90,8,101,108,105,40
Tax %,18%,26%,26%,37%,41%,36%,32%,34%,245%,24%,30%,26%,-29%
Net Profit +,"1,078",105,121,38,58,71,83,60,-12,77,76,78,52
EPS in Rs,155.65,14.64,16.28,5.27,8.29,9.77,11.30,8.15,-1.94,10.75,10.87,11.35,6.21
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,644","2,048","1,719","1,578","1,749","1,387","1,056","1,459","1,705","2,161","2,045","1,846"
Expenses +,"1,802","2,118","1,601","1,567","1,572","1,432",954,"1,253","1,367","1,649","1,708","1,616"
Operating Profit,-158,-69,118,11,177,-45,103,205,338,512,336,230
OPM %,-10%,-3%,7%,1%,10%,-3%,10%,14%,20%,24%,16%,12%
Other Income +,52,503,391,525,253,169,185,322,"1,456",158,166,255
Interest,515,397,399,369,378,341,325,373,363,158,120,73
Depreciation,92,66,59,55,48,45,32,31,42,48,51,57
Profit before tax,-712,-29,50,111,3,-263,-70,123,"1,389",463,331,354
Tax %,-32%,22%,68%,41%,102%,1%,-128%,67%,17%,31%,36%,20%
Net Profit +,-483,-45,-12,33,-0,-266,19,40,"1,153",321,210,283
EPS in Rs,-84.44,-8.16,-1.06,5.00,2.51,-28.62,2.83,3.41,164.83,44.48,28.54,39.17
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,57,57,57,57,60,69,69,69,69,69,69,69
Reserves,745,299,293,352,389,251,271,207,"1,342","1,643","1,835","2,093"
Borrowings +,"3,671","3,221","3,095","2,970","2,721","2,470","2,303","2,124","1,650",834,570,591
Other Liabilities +,"2,062","1,798","2,130","1,616","1,446","1,517","1,734","2,153","1,579","1,709","1,706","1,370"
Total Liabilities,"6,535","5,374","5,576","4,996","4,616","4,308","4,377","4,552","4,641","4,256","4,181","4,124"
Fixed Assets +,"1,315",354,303,298,280,239,202,265,329,217,206,186
