--- ABOUT ---
Rashtriya Chemicals & Fertilizers is a public sector undertaking (PSU) with 75% stake owned by GOI. Company is engaged in manufacturing and marketing of fertilizers and industrial chemicals. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,539",137,164,19.0

Book Value,Dividend Yield,ROCE,ROE
92.8,0.97,10.2,8.02

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"4,684","4,043","4,155","4,904","3,880","4,396","4,290","4,518","3,730","3,371","5,293","4,236","5,581"
Expenses +,"4,499","3,914","4,050","4,819","3,687","4,280","4,088","4,339","3,551","3,213","5,079","3,992","5,258"
Operating Profit,185,129,105,84,193,116,202,179,178,158,214,244,322
OPM %,4%,3%,3%,2%,5%,3%,5%,4%,5%,5%,4%,6%,6%
Other Income +,116,58,67,38,44,30,43,43,54,39,51,52,113
Interest,44,39,44,48,52,70,76,53,54,56,55,103,79
Depreciation,59,56,56,56,64,60,62,63,78,66,70,75,80
Profit before tax,197,92,72,17,120,16,106,105,100,75,141,118,276
Tax %,19%,26%,29%,35%,21%,34%,26%,24%,28%,28%,25%,31%,32%
Net Profit +,160,68,51,11,95,11,79,80,72,54,105,81,187
EPS in Rs,2.89,1.23,0.92,0.20,1.73,0.20,1.43,1.45,1.31,0.99,1.91,1.47,3.38
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"7,694","8,241","7,099","7,255","8,885","9,698","8,281","12,812","21,452","16,981","16,934","18,480"
Expenses +,"6,840","7,766","6,680","6,986","8,448","9,111","7,527","11,820","19,968","16,461","16,253","17,542"
Operating Profit,853,475,419,268,437,586,754,992,"1,483",520,681,938
OPM %,11%,6%,6%,4%,5%,6%,9%,8%,7%,3%,4%,5%
Other Income +,66,81,66,61,104,26,133,263,236,204,169,256
Interest,123,147,96,64,157,239,181,130,234,190,259,293
Depreciation,263,148,141,137,156,171,175,184,212,233,263,292
Profit before tax,533,262,249,128,229,202,530,942,"1,273",301,328,609
Tax %,35%,35%,28%,39%,42%,-3%,28%,25%,24%,25%,26%,30%
Net Profit +,346,169,179,79,133,207,384,702,966,225,242,427
EPS in Rs,6.27,3.06,3.25,1.43,2.41,3.75,6.96,12.73,17.52,4.08,4.39,7.75
Dividend Payout %,29%,36%,34%,42%,32%,76%,43%,30%,30%,30%,30%,17%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,552,552,552,552,552,552,552,552,552,552,552,552
Reserves,"2,165","2,265","2,373","2,378","2,477","2,627","2,800","3,330","4,038","4,054","4,194","4,570"
Borrowings +,"2,000","2,997","1,769","1,331","3,462","4,814","2,079","2,979","1,877","3,297","2,762","4,128"
Other Liabilities +,"1,569","1,858","1,866","2,087","2,452","2,316","2,240","3,698","3,267","3,575","3,772","7,452"
Total Liabilities,"6,285","7,672","6,559","6,348","8,942","10,309","7,669","10,558","9,734","11,477","11,280","16,701"
Fixed Assets +,"1,552","1,507","1,547","1,910","1,950","2,130","2,182","2,134","2,543","2,558","2,905","3,294"
CWIP,62,150,107,152,276,433,406,513,211,431,579,810
Investments,0,49,45,62,80,256,645,935,994,992,"1,095","1,380"
Other Assets +,"4,672","5,966","4,860","4,223","6,636","7,490","4,437","6,977","5,986","7,497","6,700","11,216"
Total Assets,"6,285","7,672","6,559","6,348","8,942","10,309","7,669","10,558","9,734","11,477","11,280","16,701"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,212,-633,"1,595","1,078","-1,636",-522,"5,211",-592,787,-422,"2,364",-471
Cash from Investing Activity +,-201,-259,-180,-496,-310,-531,-610,-379,-316,-464,-681,"-1,299"
Cash from Financing Activity +,3,811,"-1,406",-588,"1,945","1,052","-3,131",599,"-1,560","1,032",-853,908
Net Cash Flow,14,-82,9,-5,-2,-1,"1,470",-372,"-1,088",145,831,-863
Free Cash Flow,5,-900,"1,409",584,"-1,934",-948,"4,970",-752,402,-840,"1,538","-1,545"
CFO/OP,54%,-111%,398%,412%,-352%,-72%,706%,-38%,79%,-68%,356%,-39%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,156,192,187,144,187,171,64,86,44,76,67,93
Inventory Days,101,122,97,90,139,78,82,138,80,95,58,51
Days Payable,60,63,75,82,106,80,91,137,61,71,80,50
Cash Conversion Cycle,198,251,209,151,220,170,55,87,63,101,45,94
Working Capital Days,78,66,83,79,67,54,7,16,35,30,4,27
ROCE %,15%,8%,7%,4%,7%,8%,11%,15%,21%,6%,7%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,2.27%,2.55%,2.92%,2.58%,2.40%,2.32%,2.26%,2.46%,2.28%,2.31%,2.50%,2.60%
DIIs +,0.35%,0.34%,0.35%,0.34%,0.35%,0.29%,0.29%,0.30%,0.31%,0.33%,0.41%,0.39%
Public +,22.37%,22.10%,21.74%,22.08%,22.25%,22.39%,22.45%,22.24%,22.41%,22.36%,22.08%,22.00%
No. of Shareholders,"2,40,878","2,40,298","2,60,182","2,93,160","3,18,133","3,59,401","3,60,280","3,59,464","3,60,386","3,53,478","3,43,881","3,39,059"

--- CAGR BOXES ---




