--- ABOUT ---
"Reliance was founded by Dhirubhai Ambani and is now promoted and managed by his elder son, Mukesh Dhirubhai Ambani. Ambani's family has about 50% shareholding in the conglomerate."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,72,085","1,310","1,612",22.8

Book Value,Dividend Yield,ROCE,ROE
668,0.46,10.3,8.91

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"212,834","207,559","231,886","225,086","236,533","231,784","231,535","239,986","261,388","243,632","254,623","264,905","294,059"
Expenses +,"174,478","169,466","190,918","184,430","194,017","193,019","192,477","196,197","217,556","200,727","208,738","218,887","249,918"
Operating Profit,"38,356","38,093","40,968","40,656","42,516","38,765","39,058","43,789","43,832","42,905","45,885","46,018","44,141"
OPM %,18%,18%,18%,18%,18%,17%,17%,18%,17%,18%,18%,17%,15%
Other Income +,"2,996","3,813","3,841","3,869","4,534","3,983","4,876","4,214","4,905","15,119","4,482","4,914","4,447"
Interest,"5,819","5,837","5,731","5,789","5,761","5,918","6,017","6,179","6,155","7,036","6,827","6,613","6,585"
Depreciation,"11,452","11,775","12,585","12,903","13,569","13,596","12,880","13,181","13,479","13,842","14,416","14,622","14,808"
Profit before tax,"24,081","24,294","26,493","25,833","27,720","23,234","25,037","28,643","29,103","37,146","29,124","29,697","27,195"
Tax %,11%,25%,25%,25%,24%,25%,24%,24%,23%,17%,24%,25%,24%
Net Profit +,"21,327","18,258","19,878","19,641","21,243","17,445","19,323","21,930","22,611","30,783","22,092","22,290","20,589"
EPS in Rs,14.26,11.83,12.85,12.76,14.01,11.19,12.24,13.70,14.34,19.95,13.42,13.78,12.54
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"374,372","272,583","303,954","390,823","568,337","596,679","466,307","694,673","876,396","899,041","962,820","1,055,780"
Expenses +,"336,923","230,802","257,647","326,508","484,087","507,413","385,517","586,092","734,078","736,543","797,222","876,715"
Operating Profit,"37,449","41,781","46,307","64,315","84,250","89,266","80,790","108,581","142,318","162,498","165,598","179,065"
OPM %,10%,15%,15%,16%,15%,15%,17%,16%,16%,18%,17%,17%
Other Income +,"8,528","12,212","9,222","9,869","8,406","8,570","22,432","19,600","12,020","15,792","17,824","28,846"
Interest,"3,316","3,691","3,849","8,052","16,495","22,027","21,189","14,584","19,571","23,118","24,269","27,061"
Depreciation,"11,547","11,565","11,646","16,706","20,934","22,203","26,572","29,782","40,303","50,832","53,136","57,688"
Profit before tax,"31,114","38,737","40,034","49,426","55,227","53,606","55,461","83,815","94,464","104,340","106,017","123,162"
Tax %,24%,23%,25%,27%,28%,26%,3%,19%,22%,25%,24%,22%
Net Profit +,"23,640","29,861","29,833","36,080","39,837","39,880","53,739","67,845","74,088","79,020","81,309","95,754"
EPS in Rs,17.07,21.51,21.55,26.69,29.28,29.10,38.75,44.87,49.29,51.45,51.47,59.69
Dividend Payout %,12%,10%,11%,10%,10%,10%,9%,9%,9%,10%,11%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"2,943","2,948","2,959","5,922","5,926","6,339","6,445","6,765","6,766","6,766","13,532","13,532"
Reserves,"215,556","228,608","260,750","287,584","381,186","442,827","693,727","772,720","709,106","786,715","829,668","890,498"
Borrowings +,"168,251","194,714","217,475","239,843","307,714","355,133","278,962","319,158","451,664","350,719","374,313","402,962"
Other Liabilities +,"117,736","172,727","225,618","277,924","302,804","358,716","340,931","399,979","438,346","610,848","732,200","870,554"
Total Liabilities,"504,486","598,997","706,802","811,273","997,630","1,163,015","1,320,065","1,498,622","1,605,882","1,755,048","1,949,713","2,177,546"
Fixed Assets +,"156,458","184,910","198,526","403,885","398,374","532,658","541,258","627,798","724,805","779,985","999,393","1,124,795"
CWIP,"166,462","228,697","324,837","187,022","179,463","109,106","125,953","172,506","293,752","338,855","262,358","237,686"
Investments,"76,451","84,015","82,899","82,862","235,635","276,767","364,828","394,264","235,560","225,672","242,381","248,332"
Other Assets +,"105,115","101,375","100,540","137,504","184,158","244,484","288,026","304,054","351,765","410,536","445,581","566,733"
Total Assets,"504,486","598,997","706,802","811,273","997,630","1,163,015","1,320,065","1,498,622","1,605,882","1,755,048","1,949,713","2,177,546"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"34,374","38,134","49,550","71,459","42,346","94,877","26,958","110,654","115,032","158,788","178,703","192,113"
