--- ABOUT ---
"Religare Enterprise Ltd, incorporated in 1984, is a diversified financial services company with presence all over India, operating through its subsidiaries. The Co. provides loans to SMEs, Affordable Housing Finance, Health Insurance and Retail Broking. REL’s subsidiaries service over 11 lakh clients from over 1,275 locations having presence in more than 400 cities. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,435",253,314,98.1

Book Value,Dividend Yield,ROCE,ROE
87.4,0.00,3.06,3.17

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,396","1,285","1,584","1,511","1,856","1,710","1,952","1,668","2,042","1,861","2,077","2,056","2,467"
Expenses +,"1,149","1,147","1,483","1,455","1,833","1,653","1,876","1,730","1,805","1,846","2,010","2,151","2,325"
Operating Profit,247,138,101,56,23,57,76,-61,237,15,67,-95,143
OPM %,18%,11%,6%,4%,1%,3%,4%,-4%,12%,1%,3%,-5%,6%
Other Income +,"3,354",18,1,27,249,5,19,2,8,10,12,12,6
Interest,29,26,25,24,18,13,13,5,6,7,10,9,10
Depreciation,14,19,18,18,17,16,15,14,17,13,12,11,12
Profit before tax,"3,557",112,59,41,236,33,67,-79,222,6,57,-103,127
Tax %,1%,17%,32%,18%,23%,18%,-2%,-20%,32%,-42%,20%,-26%,25%
Net Profit +,"3,517",93,40,34,181,27,69,-63,151,8,46,-77,96
EPS in Rs,107.61,1.94,0.78,0.59,3.80,0.55,1.55,-1.30,2.98,0.31,1.17,-1.36,2.47
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,128","4,895","3,709","2,675","2,371","2,384","2,513","3,227","4,679","6,266","7,385","8,459"
Expenses +,"2,006","3,710","1,659","2,841","3,005","2,341","2,235","3,592","4,196","5,898","7,029","8,324"
Operating Profit,"2,122","1,184","2,050",-167,-634,43,278,-364,483,368,356,136
OPM %,51%,24%,55%,-6%,-27%,2%,11%,-11%,10%,6%,5%,2%
Other Income +,58,"1,012",-316,60,10,-157,17,137,"3,473",263,12,34
Interest,"1,658","1,879","1,840","1,271",854,855,733,750,641,112,63,36
Depreciation,37,36,31,30,26,61,59,53,56,72,62,47
Profit before tax,485,282,-136,"-1,407","-1,504","-1,030",-497,"-1,031","3,259",448,243,87
Tax %,34%,79%,-10%,-16%,-0%,1%,-4%,49%,3%,22%,25%,16%
Net Profit +,321,61,-124,"-1,181","-1,501","-1,038",-478,"-1,539","3,169",347,183,73
EPS in Rs,8.62,-2.67,-9.77,-58.56,-59.33,-36.12,-19.60,-48.43,95.24,7.06,3.79,2.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,178,178,178,178,217,258,259,319,324,330,331,333
Reserves,"3,705","3,660","2,549","1,658",616,-157,-306,"-1,301","1,734","2,013","2,185","2,575"
Borrowings +,"16,491","20,247","14,956","9,945","6,717","5,356","4,940","4,878",841,443,233,493
Other Liabilities +,"5,064","3,344","3,355","2,081","2,023","2,673","3,832","5,467","5,193","6,686","8,480","11,104"
Total Liabilities,"25,439","27,429","21,038","13,862","9,573","8,130","8,725","9,362","8,092","9,472","11,229","14,506"
Fixed Assets +,"2,128","1,785",103,80,83,175,117,127,196,161,145,136
CWIP,4,4,12,11,14,13,12,2,5,6,8,0
Investments,"4,363","2,700","1,983","1,197","1,438","2,023","3,190","3,836","5,094","6,718","8,700","11,203"
Other Assets +,"18,944","22,941","18,940","12,574","8,038","5,919","5,406","5,397","2,797","2,587","2,376","3,166"
Total Assets,"25,439","27,429","21,038","13,862","9,573","8,130","8,725","9,362","8,092","9,472","11,229","14,506"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-706,"-2,154","5,871","5,802","3,555","2,433","1,373","1,596","1,506","1,500","1,572","1,820"
Cash from Investing Activity +,-612,499,"2,149",-457,-31,-436,"-1,181",-689,-939,"-1,348","-1,185","-2,176"
Cash from Financing Activity +,"1,094","1,853","-7,696","-6,455","-3,819","-1,743",-314,559,"-2,079",-156,-285,690
Net Cash Flow,-224,198,324,"-1,110",-295,254,-122,"1,466","-1,512",-4,102,334
Free Cash Flow,-732,"-2,202","5,847","5,776","3,522","2,410","1,355","1,557","1,466","1,479","1,547","1,809"
CFO/OP,-30%,-173%,287%,"-3,525%",-565%,"5,635%",497%,-438%,312%,407%,441%,"1,342%"

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,52,35,60,42,53,14,28,21,14,8,4,5
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,52,35,60,42,53,14,28,21,14,8,4,5
Working Capital Days,-326,-257,-187,-250,-224,-267,-264,-387,-275,-291,-334,-289
ROCE %,11%,9%,10%,-1%,-7%,-0%,4%,-6%,16%,9%,8%,3%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.67%,25.83%,25.83%,26.27%,30.27%,30.55%
FIIs +,11.75%,9.89%,7.91%,8.49%,8.01%,8.05%,8.25%,8.10%,7.81%,7.61%,7.85%,8.70%
DIIs +,7.84%,7.75%,8.17%,10.99%,13.43%,13.14%,11.76%,11.62%,10.27%,9.33%,8.52%,9.05%
Public +,80.41%,82.36%,83.92%,80.51%,78.56%,78.82%,54.32%,54.45%,56.11%,56.79%,53.36%,51.69%
No. of Shareholders,"61,535","69,311","84,527","83,050","79,946","80,236","74,213","74,058","85,873","81,959","73,411","72,345"

--- CAGR BOXES ---




