--- ABOUT ---
"Incorporated in 1989, Renaissance Global Ltd is a manufacturer of diamond studded Jewellery and trader of cut and polished diamonds [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,195",111,148,12.0

Book Value,Dividend Yield,ROCE,ROE
141,0.00,8.00,6.88

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,499,473,442,655,537,445,412,710,514,530,546,963,773
Expenses +,463,440,411,604,494,408,378,659,476,494,506,902,716
Operating Profit,36,34,30,52,42,37,34,51,38,36,41,61,58
OPM %,7%,7%,7%,8%,8%,8%,8%,7%,7%,7%,7%,6%,7%
Other Income +,2,3,1,2,3,2,1,2,3,-7,2,2,-1
Interest,12,11,12,14,14,13,14,14,12,11,11,13,12
Depreciation,8,7,8,7,8,7,7,7,8,8,8,8,9
Profit before tax,18,18,12,32,23,19,14,32,20,9,24,42,37
Tax %,-7%,20%,14%,14%,9%,20%,20%,24%,-14%,29%,15%,21%,17%
Net Profit +,20,14,10,28,21,15,11,24,23,7,20,33,30
EPS in Rs,2.15,1.51,1.10,2.91,2.05,1.62,1.16,2.27,2.34,0.59,1.80,2.99,3.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,276","1,320","1,473","1,811","2,591","2,502","2,031","2,190","2,237","2,107","2,081","2,813"
Expenses +,"1,219","1,241","1,410","1,745","2,469","2,352","1,936","2,014","2,063","1,943","1,915","2,618"
Operating Profit,57,79,63,66,122,150,95,176,173,164,166,195
OPM %,4%,6%,4%,4%,5%,6%,5%,8%,8%,8%,8%,7%
Other Income +,17,4,18,34,2,16,16,30,4,10,8,-3
Interest,12,11,13,14,25,30,25,35,51,59,58,47
Depreciation,17,15,14,11,18,31,31,35,32,30,30,33
Profit before tax,46,57,54,74,81,106,55,136,94,85,85,112
Tax %,13%,17%,21%,14%,4%,17%,23%,22%,7%,14%,14%,19%
Net Profit +,40,47,43,64,77,88,42,106,87,74,74,90
EPS in Rs,4.21,4.97,4.41,6.68,8.13,9.32,4.50,11.21,9.22,7.53,7.10,8.39
Dividend Payout %,5%,8%,0%,0%,0%,0%,20%,15%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,19,19,18,19,19,19,19,19,19,19,21,21
Reserves,380,442,494,530,646,681,824,905,"1,007","1,129","1,370","1,487"
Borrowings +,272,252,344,348,567,524,528,706,611,655,661,641
Other Liabilities +,258,314,247,328,422,349,275,372,283,222,288,262
Total Liabilities,929,"1,027","1,103","1,225","1,654","1,573","1,646","2,002","1,920","2,026","2,340","2,412"
Fixed Assets +,78,71,72,49,82,98,80,218,258,258,306,309
